problem,algorithm_a,algorithm_b,seed,fitness_a,fitness_b
T100,IMOMA,PPO,2,0.376144,0.3874587416
T100,IMOMA,PPO,3,0.377043,0.3885411966
T100,IMOMA,PPO,4,0.377288,0.3895215333
T100,IMOMA,PPO,5,0.376491,0.3900117016
T100,IMOMA,PPO,6,0.380004,0.3919111038
T100,IMOMA,PPO,7,0.377165,0.3882552651
T100,IMOMA,PPO,8,0.378329,0.3886024677
T100,IMOMA,PPO,9,0.37498,0.3889905176
T100,IMOMA,PPO,10,0.378922,0.3887862808
T100,IMOMA,DSAC-DE,1,0.37835,0.324207
T100,IMOMA,DSAC-DE,2,0.376144,0.323775
T100,IMOMA,DSAC-DE,3,0.377043,0.324175
T100,IMOMA,DSAC-DE,4,0.377288,0.324333
T100,IMOMA,DSAC-DE,5,0.376491,0.323807
T100,IMOMA,DSAC-DE,6,0.380004,0.324249
T100,IMOMA,DSAC-DE,7,0.377165,0.324007
T100,IMOMA,DSAC-DE,8,0.378329,0.324639
T100,IMOMA,DSAC-DE,9,0.37498,0.326507
T100,IMOMA,DSAC-DE,10,0.378922,0.330086
T100,PPO,DSAC-DE,1,0.3873770469,0.324207
T100,PPO,DSAC-DE,2,0.3874587416,0.323775
T100,PPO,DSAC-DE,3,0.3885411966,0.324175
T100,PPO,DSAC-DE,4,0.3895215333,0.324333
T100,PPO,DSAC-DE,5,0.3900117016,0.323807
T100,PPO,DSAC-DE,6,0.3919111038,0.324249
T100,PPO,DSAC-DE,7,0.3882552651,0.324007
T100,PPO,DSAC-DE,8,0.3886024677,0.324639
T100,PPO,DSAC-DE,9,0.3889905176,0.326507
T100,PPO,DSAC-DE,10,0.3887862808,0.330086
T200,CCHIHH-full,CCHIHH-noCC,1,0.0371113,0.055202
T200,CCHIHH-full,CCHIHH-noCC,2,0.0380103,0.0605726
T200,CCHIHH-full,CCHIHH-noCC,3,0.0364965,0.0600895
T200,CCHIHH-full,CCHIHH-noCC,4,0.0368001,0.0536944
T200,CCHIHH-full,CCHIHH-noCC,5,0.0385649,0.0593619
T200,CCHIHH-full,CCHIHH-noCC,6,0.0368768,0.0601585
T200,CCHIHH-full,CCHIHH-noCC,7,0.0371497,0.0539274
T200,CCHIHH-full,CCHIHH-noCC,8,0.038311,0.0602201
T200,CCHIHH-full,CCHIHH-noCC,9,0.0414599,0.0560422
T200,CCHIHH-full,CCHIHH-noCC,10,0.0419295,0.0575964
T200,CCHIHH-full,CCHIHH-noCB,1,0.0371113,0.0480908
T200,CCHIHH-full,CCHIHH-noCB,2,0.0380103,0.0486941
T200,CCHIHH-full,CCHIHH-noCB,3,0.0364965,0.0465974
T200,CCHIHH-full,CCHIHH-noCB,4,0.0368001,0.0465011
T200,CCHIHH-full,CCHIHH-noCB,5,0.0385649,0.045255
T200,CCHIHH-full,CCHIHH-noCB,6,0.0368768,0.0501723
T200,CCHIHH-full,CCHIHH-noCB,7,0.0371497,0.0478699
T200,CCHIHH-full,CCHIHH-noCB,8,0.038311,0.047253
T200,CCHIHH-full,CCHIHH-noCB,9,0.0414599,0.0495471
T200,CCHIHH-full,CCHIHH-noCB,10,0.0419295,0.0479016
T200,CCHIHH-full,CCHIHH-noMig,1,0.0371113,0.0447738
T200,CCHIHH-full,CCHIHH-noMig,2,0.0380103,0.0528554
T200,CCHIHH-full,CCHIHH-noMig,3,0.0364965,0.0398658
T200,CCHIHH-full,CCHIHH-noMig,4,0.0368001,0.0471413
T200,CCHIHH-full,CCHIHH-noMig,5,0.0385649,0.0439247
T200,CCHIHH-full,CCHIHH-noMig,6,0.0368768,0.0456305
T200,CCHIHH-full,CCHIHH-noMig,7,0.0371497,0.0481957
T200,CCHIHH-full,CCHIHH-noMig,8,0.038311,0.0439191
T200,CCHIHH-full,CCHIHH-noMig,9,0.0414599,0.0462242
T200,CCHIHH-full,CCHIHH-noMig,10,0.0419295,0.0399262
T200,CCHIHH-full,IMOMA,1,0.0371113,0.0561089
T200,CCHIHH-full,IMOMA,2,0.0380103,0.0576837
T200,CCHIHH-full,IMOMA,3,0.0364965,0.0604564
T200,CCHIHH-full,IMOMA,4,0.0368001,0.0559108
T200,CCHIHH-full,IMOMA,5,0.0385649,0.056316
T200,CCHIHH-full,IMOMA,6,0.0368768,0.0581088
T200,CCHIHH-full,IMOMA,7,0.0371497,0.0598028
T200,CCHIHH-full,IMOMA,8,0.038311,0.0579043
T200,CCHIHH-full,IMOMA,9,0.0414599,0.0558003
T200,CCHIHH-full,IMOMA,10,0.0419295,0.05789
T200,CCHIHH-full,PPO,1,0.0371113,0.0698432241
T200,CCHIHH-full,PPO,2,0.0380103,0.0694646888
T200,CCHIHH-full,PPO,3,0.0364965,0.0682176149
T200,CCHIHH-full,PPO,4,0.0368001,0.0718451304
T200,CCHIHH-full,PPO,5,0.0385649,0.0696056903
T200,CCHIHH-full,PPO,6,0.0368768,0.072833433
T200,CCHIHH-full,PPO,7,0.0371497,0.0670860105
T200,CCHIHH-full,PPO,8,0.038311,0.0893340474
T200,CCHIHH-full,PPO,9,0.0414599,0.0692226247
T200,CCHIHH-full,PPO,10,0.0419295,0.070172081
T200,CCHIHH-full,DSAC-DE,1,0.0371113,0.0455815
T200,CCHIHH-full,DSAC-DE,2,0.0380103,0.0482269
T200,CCHIHH-full,DSAC-DE,3,0.0364965,0.0465502
T200,CCHIHH-full,DSAC-DE,4,0.0368001,0.0498508
T200,CCHIHH-full,DSAC-DE,5,0.0385649,0.0459053
T200,CCHIHH-full,DSAC-DE,6,0.0368768,0.0477472
T200,CCHIHH-full,DSAC-DE,7,0.0371497,0.0463102
T200,CCHIHH-full,DSAC-DE,8,0.038311,0.0470571
T200,CCHIHH-full,DSAC-DE,9,0.0414599,0.0491592
T200,CCHIHH-full,DSAC-DE,10,0.0419295,0.0448205
T200,CCHIHH-noCC,CCHIHH-noCB,1,0.055202,0.0480908
T200,CCHIHH-noCC,CCHIHH-noCB,2,0.0605726,0.0486941
T200,CCHIHH-noCC,CCHIHH-noCB,3,0.0600895,0.0465974
T200,CCHIHH-noCC,CCHIHH-noCB,4,0.0536944,0.0465011
T200,CCHIHH-noCC,CCHIHH-noCB,5,0.0593619,0.045255
T200,CCHIHH-noCC,CCHIHH-noCB,6,0.0601585,0.0501723
T200,CCHIHH-noCC,CCHIHH-noCB,7,0.0539274,0.0478699
T200,CCHIHH-noCC,CCHIHH-noCB,8,0.0602201,0.047253
T200,CCHIHH-noCC,CCHIHH-noCB,9,0.0560422,0.0495471
T200,CCHIHH-noCC,CCHIHH-noCB,10,0.0575964,0.0479016
T200,CCHIHH-noCC,CCHIHH-noMig,1,0.055202,0.0447738
T200,CCHIHH-noCC,CCHIHH-noMig,2,0.0605726,0.0528554
T200,CCHIHH-noCC,CCHIHH-noMig,3,0.0600895,0.0398658
T200,CCHIHH-noCC,CCHIHH-noMig,4,0.0536944,0.0471413
