problem,run,generation_window,block,operator,selection_count,selection_probability
T500,1,750-800,seq,SWAP,191,0.4775
T500,1,750-800,seq,VNS,120,0.3
T500,1,750-800,seq,RESAMPLE,0,0.0
T500,1,750-800,dev,DE,54,0.135
T500,1,750-800,dev,GDE,330,0.825
T500,1,750-800,dev,LEVY,16,0.04
T500,1,750-800,dev,RESAMPLE,0,0.0
T500,1,800-850,offload,GA,72,0.18
T500,1,800-850,offload,DE,319,0.7975
T500,1,800-850,offload,BITFLIP,9,0.0225
T500,1,800-850,offload,RESAMPLE,0,0.0
T500,1,800-850,seq,GA,70,0.175
T500,1,800-850,seq,SWAP,164,0.41
T500,1,800-850,seq,VNS,166,0.415
T500,1,800-850,seq,RESAMPLE,0,0.0
T500,1,800-850,dev,DE,94,0.235
T500,1,800-850,dev,GDE,290,0.725
T500,1,800-850,dev,LEVY,16,0.04
T500,1,800-850,dev,RESAMPLE,0,0.0
T500,1,850-900,offload,GA,65,0.1625
T500,1,850-900,offload,DE,329,0.8225
T500,1,850-900,offload,BITFLIP,6,0.015
T500,1,850-900,offload,RESAMPLE,0,0.0
T500,1,850-900,seq,GA,81,0.2025
T500,1,850-900,seq,SWAP,156,0.39
T500,1,850-900,seq,VNS,163,0.4075
T500,1,850-900,seq,RESAMPLE,0,0.0
T500,1,850-900,dev,DE,68,0.17
T500,1,850-900,dev,GDE,322,0.805
T500,1,850-900,dev,LEVY,10,0.025
T500,1,850-900,dev,RESAMPLE,0,0.0
T500,1,900-950,offload,GA,42,0.105
T500,1,900-950,offload,DE,355,0.8875
T500,1,900-950,offload,BITFLIP,3,0.0075
T500,1,900-950,offload,RESAMPLE,0,0.0
T500,1,900-950,seq,GA,95,0.2375
T500,1,900-950,seq,SWAP,146,0.365
T500,1,900-950,seq,VNS,159,0.3975
T500,1,900-950,seq,RESAMPLE,0,0.0
T500,1,900-950,dev,DE,139,0.3475
T500,1,900-950,dev,GDE,250,0.625
T500,1,900-950,dev,LEVY,11,0.0275
T500,1,900-950,dev,RESAMPLE,0,0.0
T500,1,950-1000,offload,GA,83,0.2075
T500,1,950-1000,offload,DE,312,0.78
T500,1,950-1000,offload,BITFLIP,5,0.0125
T500,1,950-1000,offload,RESAMPLE,0,0.0
T500,1,950-1000,seq,GA,91,0.2275
T500,1,950-1000,seq,SWAP,110,0.275
T500,1,950-1000,seq,VNS,199,0.4975
T500,1,950-1000,seq,RESAMPLE,0,0.0
T500,1,950-1000,dev,DE,107,0.2675
T500,1,950-1000,dev,GDE,286,0.715
T500,1,950-1000,dev,LEVY,7,0.0175
T500,1,950-1000,dev,RESAMPLE,0,0.0
T500,1,1000-1050,offload,GA,61,0.1525
T500,1,1000-1050,offload,DE,336,0.84
T500,1,1000-1050,offload,BITFLIP,3,0.0075
T500,1,1000-1050,offload,RESAMPLE,0,0.0
T500,1,1000-1050,seq,GA,93,0.2325
T500,1,1000-1050,seq,SWAP,109,0.2725
T500,1,1000-1050,seq,VNS,198,0.495
T500,1,1000-1050,seq,RESAMPLE,0,0.0
T500,1,1000-1050,dev,DE,59,0.1475
T500,1,1000-1050,dev,GDE,331,0.8275
T500,1,1000-1050,dev,LEVY,10,0.025
T500,1,1000-1050,dev,RESAMPLE,0,0.0
T500,1,1050-1100,offload,GA,61,0.1525
T500,1,1050-1100,offload,DE,335,0.8375
T500,1,1050-1100,offload,BITFLIP,4,0.01
T500,1,1050-1100,offload,RESAMPLE,0,0.0
T500,1,1050-1100,seq,GA,98,0.245
T500,1,1050-1100,seq,SWAP,117,0.2925
T500,1,1050-1100,seq,VNS,185,0.4625
T500,1,1050-1100,seq,RESAMPLE,0,0.0
T500,1,1050-1100,dev,DE,115,0.2875
T500,1,1050-1100,dev,GDE,271,0.6775
T500,1,1050-1100,dev,LEVY,14,0.035
T500,1,1050-1100,dev,RESAMPLE,0,0.0
T500,1,1100-1150,offload,GA,88,0.22
T500,1,1100-1150,offload,DE,302,0.755
T500,1,1100-1150,offload,BITFLIP,10,0.025
T500,1,1100-1150,offload,RESAMPLE,0,0.0
T500,1,1100-1150,seq,GA,136,0.34
T500,1,1100-1150,seq,SWAP,123,0.3075
T500,1,1100-1150,seq,VNS,141,0.3525
T500,1,1100-1150,seq,RESAMPLE,0,0.0
T500,1,1100-1150,dev,DE,137,0.3425
T500,1,1100-1150,dev,GDE,256,0.64
T500,1,1100-1150,dev,LEVY,7,0.0175
T500,1,1100-1150,dev,RESAMPLE,0,0.0
T500,1,1150-1200,offload,GA,95,0.2375
T500,1,1150-1200,offload,DE,264,0.66
T500,1,1150-1200,offload,BITFLIP,26,0.065
T500,1,1150-1200,offload,RESAMPLE,15,0.0375
T500,1,1150-1200,seq,GA,97,0.2425
T500,1,1150-1200,seq,SWAP,140,0.35
T500,1,1150-1200,seq,VNS,163,0.4075
T500,1,1150-1200,seq,RESAMPLE,0,0.0
T500,1,1150-1200,dev,DE,126,0.315
T500,1,1150-1200,dev,GDE,258,0.645
T500,1,1150-1200,dev,LEVY,16,0.04
T500,1,1150-1200,dev,RESAMPLE,0,0.0
T500,1,1200-1250,offload,GA,86,0.215
T500,1,1200-1250,offload,DE,312,0.78
T500,1,1200-1250,offload,BITFLIP,2,0.005
T500,1,1200-1250,offload,RESAMPLE,0,0.0
T500,1,1200-1250,seq,GA,40,0.1
T500,1,1200-1250,seq,SWAP,186,0.465
T500,1,1200-1250,seq,VNS,174,0.435
T500,1,1200-1250,seq,RESAMPLE,0,0.0
T500,1,1200-1250,dev,DE,130,0.325
T500,1,1200-1250,dev,GDE,257,0.6425
T500,1,1200-1250,dev,LEVY,13,0.0325
T500,1,1200-1250,dev,RESAMPLE,0,0.0
T500,1,1250-1300,offload,GA,76,0.19
T500,1,1250-1300,offload,DE,322,0.805
T500,1,1250-1300,offload,BITFLIP,2,0.005
T500,1,1250-1300,offload,RESAMPLE,0,0.0
T500,1,1250-1300,seq,GA,89,0.2225
T500,1,1250-1300,seq,SWAP,178,0.445
T500,1,1250-1300,seq,VNS,133,0.3325
T500,1,1250-1300,seq,RESAMPLE,0,0.0
T500,1,1250-1300,dev,DE,113,0.2825
T500,1,1250-1300,dev,GDE,277,0.6925
T500,1,1250-1300,dev,LEVY,10,0.025
T500,1,1250-1300,dev,RESAMPLE,0,0.0
T500,1,1300-1350,offload,GA,76,0.19
T500,1,1300-1350,offload,DE,317,0.7925
T500,1,1300-1350,offload,BITFLIP,7,0.0175
T500,1,1300-1350,offload,RESAMPLE,0,0.0
T500,1,1300-1350,seq,GA,81,0.2025
T500,1,1300-1350,seq,SWAP,228,0.57
T500,1,1300-1350,seq,VNS,91,0.2275
T500,1,1300-1350,seq,RESAMPLE,0,0.0
T500,1,1300-1350,dev,DE,139,0.3475
T500,1,1300-1350,dev,GDE,249,0.6225
T500,1,1300-1350,dev,LEVY,12,0.03
T500,1,1300-1350,dev,RESAMPLE,0,0.0
T500,1,1350-1400,offload,GA,112,0.28
T500,1,1350-1400,offload,DE,276,0.69
T500,1,1350-1400,offload,BITFLIP,12,0.03
T500,1,1350-1400,offload,RESAMPLE,0,0.0
T500,1,1350-1400,seq,GA,97,0.2425
T500,1,1350-1400,seq,SWAP,218,0.545
T500,1,1350-1400,seq,VNS,85,0.2125
T500,1,1350-1400,seq,RESAMPLE,0,0.0
T500,1,1350-1400,dev,DE,156,0.39
T500,1,1350-1400,dev,GDE,241,0.6025
T500,1,1350-1400,dev,LEVY,3,0.0075
T500,1,1350-1400,dev,RESAMPLE,0,0.0
T500,1,1400-1450,offload,GA,108,0.27
T500,1,1400-1450,offload,DE,290,0.725
T500,1,1400-1450,offload,BITFLIP,2,0.005
T500,1,1400-1450,offload,RESAMPLE,0,0.0
T500,1,1400-1450,seq,GA,81,0.2025
T500,1,1400-1450,seq,SWAP,179,0.4475
T500,1,1400-1450,seq,VNS,140,0.35
T500,1,1400-1450,seq,RESAMPLE,0,0.0
T500,1,1400-1450,dev,DE,166,0.415
T500,1,1400-1450,dev,GDE,222,0.555
T500,1,1400-1450,dev,LEVY,12,0.03
T500,1,1400-1450,dev,RESAMPLE,0,0.0
T500,1,1450-1500,offload,GA,94,0.235
T500,1,1450-1500,offload,DE,298,0.745
T500,1,1450-1500,offload,BITFLIP,8,0.02
T500,1,1450-1500,offload,RESAMPLE,0,0.0
T500,1,1450-1500,seq,GA,84,0.21
T500,1,1450-1500,seq,SWAP,161,0.4025
T500,1,1450-1500,seq,VNS,155,0.3875
T500,1,1450-1500,seq,RESAMPLE,0,0.0
T500,1,1450-1500,dev,DE,198,0.495
T500,1,1450-1500,dev,GDE,173,0.4325
T500,1,1450-1500,dev,LEVY,16,0.04
T500,1,1450-1500,dev,RESAMPLE,13,0.0325
T500,1,1500-1550,offload,GA,75,0.1875
T500,1,1500-1550,offload,DE,322,0.805
T500,1,1500-1550,offload,BITFLIP,3,0.0075
T500,1,1500-1550,offload,RESAMPLE,0,0.0
T500,1,1500-1550,seq,GA,70,0.175
T500,1,1500-1550,seq,SWAP,203,0.5075
T500,1,1500-1550,seq,VNS,127,0.3175
T500,1,1500-1550,seq,RESAMPLE,0,0.0
T500,1,1500-1550,dev,DE,108,0.27
T500,1,1500-1550,dev,GDE,286,0.715
T500,1,1500-1550,dev,LEVY,6,0.015
T500,1,1500-1550,dev,RESAMPLE,0,0.0
T500,1,1550-1600,offload,GA,102,0.255
T500,1,1550-1600,offload,DE,295,0.7375
T500,1,1550-1600,offload,BITFLIP,3,0.0075
T500,1,1550-1600,offload,RESAMPLE,0,0.0
T500,1,1550-1600,seq,GA,118,0.295
T500,1,1550-1600,seq,SWAP,186,0.465
T500,1,1550-1600,seq,VNS,96,0.24
T500,1,1550-1600,seq,RESAMPLE,0,0.0
T500,1,1550-1600,dev,DE,141,0.3525
T500,1,1550-1600,dev,GDE,253,0.6325
T500,1,1550-1600,dev,LEVY,6,0.015
T500,1,1550-1600,dev,RESAMPLE,0,0.0
T500,1,1600-1650,offload,GA,98,0.245
T500,1,1600-1650,offload,DE,265,0.6625
T500,1,1600-1650,offload,BITFLIP,37,0.0925
T500,1,1600-1650,offload,RESAMPLE,0,0.0
T500,1,1600-1650,seq,GA,53,0.1325
T500,1,1600-1650,seq,SWAP,208,0.52
T500,1,1600-1650,seq,VNS,138,0.345
T500,1,1600-1650,seq,RESAMPLE,1,0.0025
T500,1,1600-1650,dev,DE,113,0.2825
T500,1,1600-1650,dev,GDE,277,0.6925
T500,1,1600-1650,dev,LEVY,10,0.025
T500,1,1600-1650,dev,RESAMPLE,0,0.0
T500,1,1650-1700,offload,GA,106,0.265
T500,1,1650-1700,offload,DE,292,0.73
