problem,algorithm,seed,final_fitness
T200,PPO,1,0.0698432241
T200,PPO,2,0.0694646888
T200,PPO,3,0.0682176149
T200,PPO,4,0.0718451304
T200,PPO,5,0.0696056903
T200,PPO,6,0.072833433
T200,PPO,7,0.0670860105
T200,PPO,8,0.0893340474
T200,PPO,9,0.0692226247
T200,PPO,10,0.070172081
T200,DSAC-DE,1,0.0455815
T200,DSAC-DE,2,0.0482269
T200,DSAC-DE,3,0.0465502
T200,DSAC-DE,4,0.0498508
T200,DSAC-DE,5,0.0459053
T200,DSAC-DE,6,0.0477472
T200,DSAC-DE,7,0.0463102
T200,DSAC-DE,8,0.0470571
T200,DSAC-DE,9,0.0491592
T200,DSAC-DE,10,0.0448205
T500,CCHIHH-full,1,0.0254842
T500,CCHIHH-full,2,0.0277064
T500,CCHIHH-full,3,0.02531
T500,CCHIHH-full,4,0.0264753
T500,CCHIHH-full,5,0.0258709
T500,CCHIHH-full,6,0.0249303
T500,CCHIHH-full,7,0.0259156
T500,CCHIHH-full,8,0.0250476
T500,CCHIHH-full,9,0.0263369
T500,CCHIHH-full,10,0.0273569
T500,CCHIHH-noCC,1,0.0431578
T500,CCHIHH-noCC,2,0.0470936
T500,CCHIHH-noCC,3,0.0445433
T500,CCHIHH-noCC,4,0.042992
T500,CCHIHH-noCC,5,0.0449355
T500,CCHIHH-noCC,6,0.0431245
T500,CCHIHH-noCC,7,0.0393865
T500,CCHIHH-noCC,8,0.0434538
T500,CCHIHH-noCC,9,0.0439895
T500,CCHIHH-noCC,10,0.0417754
T500,CCHIHH-noHI,1,REQUIRES RERUN
T500,CCHIHH-noHI,2,REQUIRES RERUN
T500,CCHIHH-noHI,3,REQUIRES RERUN
T500,CCHIHH-noHI,4,REQUIRES RERUN
T500,CCHIHH-noHI,5,REQUIRES RERUN
T500,CCHIHH-noHI,6,REQUIRES RERUN
T500,CCHIHH-noHI,7,REQUIRES RERUN
T500,CCHIHH-noHI,8,REQUIRES RERUN
T500,CCHIHH-noHI,9,REQUIRES RERUN
T500,CCHIHH-noHI,10,REQUIRES RERUN
T500,CCHIHH-noCB,1,0.0343515
T500,CCHIHH-noCB,2,0.0341972
T500,CCHIHH-noCB,3,0.0335139
T500,CCHIHH-noCB,4,0.0332945
T500,CCHIHH-noCB,5,0.0345129
T500,CCHIHH-noCB,6,0.0330361
T500,CCHIHH-noCB,7,0.0339517
T500,CCHIHH-noCB,8,0.0331807
T500,CCHIHH-noCB,9,0.033824
T500,CCHIHH-noCB,10,0.0338261
T500,CCHIHH-noMig,1,0.0345692
T500,CCHIHH-noMig,2,0.0388982
T500,CCHIHH-noMig,3,0.0305052
T500,CCHIHH-noMig,4,0.0355795
T500,CCHIHH-noMig,5,0.0382108
T500,CCHIHH-noMig,6,0.0417196
T500,CCHIHH-noMig,7,0.0373108
T500,CCHIHH-noMig,8,0.0394205
T500,CCHIHH-noMig,9,0.0422398
T500,CCHIHH-noMig,10,0.037068
T500,CCHIHH-noGate,1,0.026005
T500,CCHIHH-noGate,2,NOT FOUND
T500,CCHIHH-noGate,3,0.0262751
T500,CCHIHH-noGate,4,0.0277896
T500,CCHIHH-noGate,5,NOT FOUND
T500,CCHIHH-noGate,6,NOT FOUND
T500,CCHIHH-noGate,7,NOT FOUND
T500,CCHIHH-noGate,8,0.0272274
T500,CCHIHH-noGate,9,NOT FOUND
T500,CCHIHH-noGate,10,0.0268924
T500,GA,1,REQUIRES RERUN
T500,GA,2,REQUIRES RERUN
T500,GA,3,REQUIRES RERUN
T500,GA,4,REQUIRES RERUN
T500,GA,5,REQUIRES RERUN
T500,GA,6,REQUIRES RERUN
T500,GA,7,REQUIRES RERUN
T500,GA,8,REQUIRES RERUN
T500,GA,9,REQUIRES RERUN
T500,GA,10,REQUIRES RERUN
T500,DE,1,REQUIRES RERUN
T500,DE,2,REQUIRES RERUN
T500,DE,3,REQUIRES RERUN
T500,DE,4,REQUIRES RERUN
T500,DE,5,REQUIRES RERUN
T500,DE,6,REQUIRES RERUN
T500,DE,7,REQUIRES RERUN
T500,DE,8,REQUIRES RERUN
T500,DE,9,REQUIRES RERUN
