gen,nsubpop=1 mean,nsubpop=1 var,nsubpop=8 mean,nsubpop=8 var
6100,54.78369,0.0007868849000000131,54.66014,0.0001957484000000123
6150,54.78322000000001,0.0007903275999999783,54.66014,0.0001957484000000123
6200,54.782849999999996,0.0008049684999999595,54.66014,0.0001957484000000123
6250,54.78177000000001,0.0008615760999999761,54.66014,0.0001957484000000123
6300,54.78149,0.0008328128999999671,54.65983,0.00018994210000000474
6350,54.780899999999995,0.0008593059999999683,54.65952,0.0001980795999999941
6400,54.780899999999995,0.0008593059999999683,54.65952,0.0001980795999999941
6450,54.78002,0.0008247175999999614,54.659209999999995,0.00020528089999998652
6500,54.77972,0.0008409595999999615,54.659209999999995,0.00020528089999998652
6550,54.7792,0.0008582859999999694,54.659209999999995,0.00020528089999998652
6600,54.77849,0.0008286528999999782,54.659209999999995,0.00020528089999998652
6650,54.77809,0.0008250448999999818,54.659209999999995,0.00020528089999998652
6700,54.77711000000001,0.0007900928999999909,54.659180000000006,0.00020695759999996265
6750,54.77596,0.000827746399999992,54.659180000000006,0.00020695759999996265
6800,54.77569,0.0008209828999999807,54.659180000000006,0.00020695759999996265
6850,54.77485,0.000777926500000026,54.659180000000006,0.00020695759999996265
6900,54.77445,0.0007782865000000264,54.659180000000006,0.00020695759999996265
6950,54.773360000000004,0.0007409104000000008,54.659180000000006,0.00020695759999996265
7000,54.771879999999996,0.0006876796000000057,54.659029999999994,0.00020839009999996938
7050,54.771820000000005,0.0006902295999999994,54.659029999999994,0.00020839009999996938
7100,54.77118,0.0007045295999999997,54.659029999999994,0.00020839009999996938
7150,54.77109,0.0007083069000000062,54.659029999999994,0.00020839009999996938
7200,54.77082,0.0007203515999999934,54.65872,0.0002265715999999887
7250,54.77073,0.0007242260999999693,54.65872,0.0002265715999999887
7300,54.770039999999995,0.0007441663999999975,54.65841,0.00022372889999998456
7350,54.770039999999995,0.0007441663999999975,54.65841,0.00022372889999998456
7400,54.76974,0.0007590403999999977,54.65841,0.00022372889999998456
7450,54.76943,0.0007761121000000174,54.658069999999995,0.00023035209999998393
7500,54.76875,0.0008196185000000093,54.658069999999995,0.00023035209999998393
