generation,block,config,intra_diversity,global_diversity,inter_diversity
3550,dev,noMig,0.04442595435500756,0.08765448486039634,0.04724211550446648
3600,offload,noMig,2.042245927688305e-05,0.05920487967490772,0.05918680313247344
3600,seq,noMig,0.01597914716716902,0.05918950526928045,0.04459330790838609
3600,dev,noMig,0.04446637669966613,0.08764548436325652,0.04719211132670902
3650,offload,noMig,2.356602862734765e-05,0.05914491355959719,0.05912405176142505
3650,seq,noMig,0.01597511361977704,0.05918620241746544,0.044593704150153
3650,dev,noMig,0.04477365854103913,0.08752260299964715,0.04675227694497096
3700,offload,noMig,2.302879787976789e-05,0.05909221653471557,0.05907182805692801
3700,seq,noMig,0.01606808795288407,0.05920362755821876,0.04452401600481767
3700,dev,noMig,0.0450678992351887,0.08749035332514564,0.04642385584239977
3750,offload,noMig,2.207462599438422e-05,0.05911622516586915,0.05909668249488922
3750,seq,noMig,0.01552694276866656,0.05911778761521789,0.04494531538938779
3750,dev,noMig,0.04531569871918462,0.08746168464846193,0.04614530794361959
3800,offload,noMig,2.57782981986426e-05,0.05905443316720826,0.05903160847265951
3800,seq,noMig,0.01563855385852412,0.05911442606841977,0.04483678723207532
3800,dev,noMig,0.04547821421809724,0.08744279794559086,0.04596237683918653
3850,offload,noMig,2.43608718791654e-05,0.05908751889856211,0.05906595080188642
3850,seq,noMig,0.01563855385852412,0.05911442606841977,0.04483678723207532
3850,dev,noMig,0.04549241618622395,0.08745714386145861,0.04596386905620228
3900,offload,noMig,2.587727936488517e-05,0.05913285533288356,0.05910994681284455
3900,seq,noMig,0.01563855385852412,0.05911442606841977,0.04483678723207532
3900,dev,noMig,0.04549241618622395,0.08745714386145861,0.04596386905620228
3950,offload,noMig,2.499264677507971e-05,0.05911962543127962,0.05909749947050367
3950,seq,noMig,0.01563855385852412,0.05911442606841977,0.04483678723207532
3950,dev,noMig,0.04550155892081766,0.08743668644711704,0.04593237461965872
4000,offload,noMig,2.468042818110583e-05,0.05910895770514654,0.05908710766889549
4000,seq,noMig,0.01576556178195151,0.05918877958005047,0.04479381811313118
4000,dev,noMig,0.04555033734105571,0.08739104452169713,0.04583374201114173
4050,offload,noMig,2.613524397314592e-05,0.05908569241642186,0.05906255319540753
4050,seq,noMig,0.01577867218542509,0.05919051751515815,0.04478326088890788
4050,dev,noMig,0.04555033734105571,0.08739104452169713,0.04583374201114173
4100,offload,noMig,3.82271163411275e-05,0.05908127461890494,0.05904742856939042
4100,seq,noMig,0.0158409652537215,0.05920806519727772,0.04474266935794289
4100,dev,noMig,0.04564340104151758,0.08733903705068279,0.04568385237420707
4150,offload,noMig,3.531235731201743e-05,0.05907265293272632,0.05904138719651952
4150,seq,noMig,0.01588279475677104,0.05921463479394422,0.04471003101860727
4150,dev,noMig,0.04564497942479003,0.08732447495141918,0.04566635234992201
4200,offload,noMig,3.531235731201743e-05,0.05907265293272632,0.05904138719651952
4200,seq,noMig,0.01588279475677104,0.05921463479394422,0.04471003101860727
4200,dev,noMig,0.04564675593524399,0.08732260758766784,0.04566253418272759
4250,offload,noMig,3.531235731201743e-05,0.05907265293272632,0.05904138719651952
4250,seq,noMig,0.01588279475677104,0.05921463479394422,0.04471003101860727
4250,dev,noMig,0.04564526513303081,0.08731868247022827,0.04565973331607607
4300,offload,noMig,3.531235731201743e-05,0.05907265293272632,0.05904138719651952
4300,seq,noMig,0.01588279475677104,0.05921463479394422,0.04471003101860727
4300,dev,noMig,0.04564556701095042,0.08731164743508472,0.04565173952506751
4350,offload,noMig,3.531235731201743e-05,0.05907265293272632,0.05904138719651952
4350,seq,noMig,0.01579042214808185,0.05921304223668814,0.04479541340063475
4350,dev,noMig,0.04564556701095042,0.08731164743508472,0.04565173952506751
4400,offload,noMig,3.531235731201743e-05,0.05907265293272632,0.05904138719651952
4400,seq,noMig,0.01582057416015996,0.05921735285087446,0.04477145467846783
4400,dev,noMig,0.04564611380952341,0.08731021013538917,0.04564962122486048
4450,offload,noMig,3.531235731201743e-05,0.05907265293272632,0.05904138719651952
4450,seq,noMig,0.01582057416015996,0.05921735285087446,0.04477145467846783
4450,dev,noMig,0.04564171952362697,0.08729703954271184,0.04563961515849455
4500,offload,noMig,3.531235731201743e-05,0.05907265293272632,0.05904138719651952
4500,seq,noMig,0.01582057416015996,0.05921735285087446,0.04477145467846783
