generation,block,config,intra_diversity,global_diversity,inter_diversity
2400,seq,noHI,0.002353639441384022,0.002353639441384022,0
2400,dev,noHI,0.0713911920849561,0.0713911920849561,0
2450,offload,noHI,0.001407785571397297,0.001407785571397297,0
2450,seq,noHI,0.002353639441384022,0.002353639441384022,0
2450,dev,noHI,0.07139001520534273,0.07139001520534273,0
2500,offload,noHI,0.00142137461737882,0.00142137461737882,0
2500,seq,noHI,0.002353639441384022,0.002353639441384022,0
2500,dev,noHI,0.07139024568845996,0.07139024568845996,0
2550,offload,noHI,0.00130175311151338,0.00130175311151338,0
2550,seq,noHI,0.002371163467112588,0.002371163467112588,0
2550,dev,noHI,0.07139015282742432,0.07139015282742432,0
2600,offload,noHI,0.00149379117172102,0.00149379117172102,0
2600,seq,noHI,0.002481260044857839,0.002481260044857839,0
2600,dev,noHI,0.07138771135620597,0.07138771135620597,0
2650,offload,noHI,0.001704375385278025,0.001704375385278025,0
2650,seq,noHI,0.002542236959334714,0.002542236959334714,0
2650,dev,noHI,0.07138771135620597,0.07138771135620597,0
2700,offload,noHI,0.001745672881085585,0.001745672881085585,0
2700,seq,noHI,0.002568914390934799,0.002568914390934799,0
2700,dev,noHI,0.07138619149560108,0.07138619149560108,0
2750,offload,noHI,0.001698251230347205,0.001698251230347205,0
2750,seq,noHI,0.002568914390934799,0.002568914390934799,0
2750,dev,noHI,0.07138619149560108,0.07138619149560108,0
2800,offload,noHI,0.001693969175379243,0.001693969175379243,0
2800,seq,noHI,0.002568914390934799,0.002568914390934799,0
2800,dev,noHI,0.07138619149560108,0.07138619149560108,0
2850,offload,noHI,0.001722393135839082,0.001722393135839082,0
2850,seq,noHI,0.002568914390934799,0.002568914390934799,0
2850,dev,noHI,0.07138619149560108,0.07138619149560108,0
2900,offload,noHI,0.001709284842685895,0.001709284842685895,0
2900,seq,noHI,0.002568914390934799,0.002568914390934799,0
2900,dev,noHI,0.07138619149560108,0.07138619149560108,0
2950,offload,noHI,0.00166826047015955,0.00166826047015955,0
2950,seq,noHI,0.002568914390934799,0.002568914390934799,0
2950,dev,noHI,0.07138619149560108,0.07138619149560108,0
3000,offload,noHI,0.001635465159608723,0.001635465159608723,0
3000,seq,noHI,0.002568914390934799,0.002568914390934799,0
3000,dev,noHI,0.07138619149560108,0.07138619149560108,0
3050,offload,noHI,0.00166602338839635,0.00166602338839635,0
3050,seq,noHI,0.002568914390934799,0.002568914390934799,0
3050,dev,noHI,0.07138619149560108,0.07138619149560108,0
3100,offload,noHI,0.001654832993507615,0.001654832993507615,0
3100,seq,noHI,0.002568914390934799,0.002568914390934799,0
3100,dev,noHI,0.07138619149560108,0.07138619149560108,0
3150,offload,noHI,0.001887836505985291,0.001887836505985291,0
3150,seq,noHI,0.002608760097334609,0.002608760097334609,0
3150,dev,noHI,0.07138619149560108,0.07138619149560108,0
3200,offload,noHI,0.001876609819428283,0.001876609819428283,0
3200,seq,noHI,0.002608760097334609,0.002608760097334609,0
