generation,block,config,intra_diversity,global_diversity,inter_diversity
1800,dev,full,2.843566833019997e-07,5.416392074932862e-07,2.572826705113402e-07
1850,offload,full,9.189395058313624e-05,0.0002523161863741381,0.0001604517211557851
1850,seq,full,0.0004544832003970429,0.001152515853609586,0.000698667352399881
1850,dev,full,3.863942377116509e-07,7.029345502525413e-07,3.165405571596982e-07
1900,offload,full,4.129850689132864e-05,9.57643463778891e-05,5.447033835842256e-05
1900,seq,full,0.000567634757860639,0.0008047927315421319,0.0002374274093179217
1900,dev,full,8.440833035799241e-07,1.43943628414748e-06,5.95353985623549e-07
1950,offload,full,7.719627917084794e-05,0.0001760541036199836,9.887308837444435e-05
1950,seq,full,0.0008286968072257488,0.001180925750754799,0.0003528133488470064
1950,dev,full,4.49080109504177e-07,7.695438577953273e-07,3.204640361190879e-07
2000,offload,full,8.589329659785668e-05,0.0001760556724466241,9.017786583345067e-05
2000,seq,full,0.0004457208846234456,0.000751052731741738,0.0003056041731390662
2000,dev,full,5.954910513726708e-07,1.111589784316576e-06,5.160993476086506e-07
2050,offload,full,7.146324605205974e-05,0.0001403442244404677,6.88908240212863e-05
2050,seq,full,0.0004872978228123249,0.0008402092297227108,0.0003532555435907925
2050,dev,full,1.387512980915313e-06,2.35434902759601e-06,9.668387296801134e-07
2100,offload,full,6.653766635876864e-05,0.0001517042065972841,8.517787445270918e-05
2100,seq,full,0.0006881860774808749,0.001290036510094521,0.0006026794087203381
2100,dev,full,4.363509633840297e-07,6.492998427437688e-07,2.129490652007386e-07
2150,offload,full,0.0001185008368406593,0.0002206921160169374,0.0001022155017481082
2150,seq,full,0.0007022987332156365,0.001258506322454295,0.000556989442905324
2150,dev,full,2.078967010176254e-07,3.856206164622773e-07,1.777239893411004e-07
2200,offload,full,7.356197609112967e-05,0.0001578384009933343,8.428882482856861e-05
2200,seq,full,0.0008249897528294149,0.001109445655477819,0.0002849257635316431
2200,dev,full,1.076810110862785e-07,2.264475234209664e-07,1.187665379124871e-07
2250,offload,full,6.233408235478169e-05,0.0001261898960264201,6.386377494890458e-05
2250,seq,full,0.0006468892397553108,0.001750026262109727,0.001104564834117821
2250,dev,full,7.848461707605075e-08,1.415148623603955e-07,6.303025517815508e-08
2300,offload,full,8.66516493268072e-05,0.0001598727119020943,7.323375321176696e-05
2300,seq,full,0.0006673970638494082,0.001150718335111064,0.0004839668957522877
2300,dev,full,8.912027964797846e-08,1.55230067837975e-07,6.610979997344379e-08
2350,offload,full,9.376478922315011e-05,0.0002477131532094271,0.0001539772356959834
2350,seq,full,0.0003297757535167731,0.0004794816318777206,0.0001498046585619377
2350,dev,full,1.406010721075273e-07,2.283700053941363e-07,8.776895796742534e-08
2400,offload,full,0.0001547912024613685,0.0003736657389248053,0.0002189423044849385
2400,seq,full,0.0005088690842574973,0.001034365552078561,0.0005260315533305246
2400,dev,full,1.46540520163848e-07,2.282546828089765e-07,8.171418659400454e-08
2450,offload,full,8.26882185561318e-05,0.0003321532537314324,0.0002495062907839771
2450,seq,full,0.000795854035072435,0.001023302453122765,0.0002278108408752089
2450,dev,full,1.178527137849754e-07,2.37190538215637e-07,1.193378525592381e-07
2500,offload,full,5.634059394916532e-05,0.0001828197618471369,0.000126493420023897
2500,seq,full,0.0005104725058527927,0.0008561752416504707,0.0003460558885858173
2500,dev,full,9.863229616489665e-08,1.544833514912727e-07,5.585106634381312e-08
