gen,GA mean,GA var,DE mean,DE var,GDE mean,GDE var,CCHIHH_base mean,CCHIHH_base var,CCHIHH_stable mean,CCHIHH_stable var
6850,1511.4209999999998,1839.246309000003,1706.723,474.33948100000123,1140.586,703.4565039999995,1097.0620000000001,3032.162195999998,1086.098,4321.356936000003
6900,1510.908,1841.614216000001,1706.723,474.33948100000123,1140.3020000000001,709.8994560000003,1096.809,3031.0818889999964,1085.729,4296.8014889999995
6950,1510.405,1858.9589850000011,1706.723,474.33948100000123,1140.009,710.5870289999987,1096.529,3021.5413490000024,1085.6029999999998,4297.8077010000015
7000,1510.259,1856.9842089999977,1706.723,474.33948100000123,1139.5610000000001,720.8956489999998,1096.066,3005.037704000001,1085.158,4310.4632360000005
7050,1509.806,1826.7168239999992,1706.723,474.33948100000123,1139.1950000000002,736.7110450000004,1095.474,2969.5780440000026,1084.845,4308.667225000003
7100,1508.612,1809.711415999997,1706.723,474.33948100000123,1138.873,736.8427010000007,1095.009,2940.7961089999994,1084.481,4299.5772089999955
7150,1507.848,1832.164636,1706.723,474.33948100000123,1137.996,762.9342439999986,1094.357,2900.215800999999,1084.081,4302.416649000001
7200,1507.517,1831.955461,1706.723,474.33948100000123,1137.8960000000002,764.5177040000016,1094.167,2906.2934410000003,1083.0819999999999,4323.818936000001
7250,1506.99,1845.6420399999977,1706.723,474.33948100000123,1137.512,773.3578559999991,1093.784,2893.2824239999964,1082.615,4301.159704999999
7300,1506.81,1853.7663999999975,1706.723,474.33948100000123,1136.815,793.3275249999989,1093.603,2897.448980999997,1082.2369999999999,4293.599381000005
7350,1506.413,1822.0937609999994,1706.723,474.33948100000123,1136.223,806.4426810000007,1093.303,2882.7442410000003,1081.943,4285.216941
7400,1506.361,1824.2485889999984,1706.723,474.33948100000123,1135.651,822.8365889999998,1092.8129999999999,2853.060440999997,1081.794,4285.544304000002
7450,1505.731,1799.8085690000012,1706.723,474.33948100000123,1135.275,830.1198249999995,1092.565,2857.1469850000008,1081.341,4286.124529000002
