gen,full_mean,full_var,full_ci95,nocc_mean,nocc_var,nocc_ci95
1000,0.3498833,1.2407640100000033e-06,0.0006903998132108679,0.3782927,2.6144892810000046e-05,0.0031691989558703345
1050,0.3496464,1.2639290399999866e-06,0.0006968148821648364,0.3781274,2.8224222439999982e-05,0.0032928129756411
1100,0.3493215,1.1387444499999732e-06,0.0006614076412561241,0.3778535,3.0217247250000034e-05,0.0034070893301409067
1150,0.3491093,8.921698099999987e-07,0.0005854365501141857,0.3775941,3.361832309000006e-05,0.0035937188257088816
1200,0.3488294,8.587440400000075e-07,0.0005743649627252718,0.3773532,3.654235935999996e-05,0.0037467469585945597
1250,0.3485598,6.846549600000035e-07,0.0005128518786487979,0.3772408,3.721073236000004e-05,0.0037808563769888975
1300,0.3483474,5.869806400000052e-07,0.0004748625934545719,0.3769447,4.076492381000008e-05,0.003957303770352944
1350,0.3481675,6.319600499999995e-07,0.0004927207858493488,0.3767568,4.309563476000005e-05,0.004068859674331571
1400,0.34792850000000003,5.412292499999972e-07,0.00045598095210216716,0.3766117,4.484047601000005e-05,0.004150411698133285
1450,0.34771,5.736908000000093e-07,0.0004694561297160828,0.3765545,4.5418779450000004e-05,0.004177089694214382
1500,0.3474897,5.655096099999984e-07,0.00046609674079272354,0.3763422,4.743776555999996e-05,0.00426892164574727
1550,0.3473199,6.016878900000136e-07,0.000480774811967521,0.3760644,5.085024803999997e-05,0.004419799914820397
1600,0.3472199,5.233778900000042e-07,0.00044839809346428045,0.3758684,5.397980903999992e-05,0.0045537768325650705
1650,0.3470545,5.660684499999939e-07,0.00046632698372708144,0.3756764,5.684857904000007e-05,0.004673216250507398
1700,0.346983,5.738261999999973e-07,0.0004695115259415885,0.3755008,6.0103444160000016e-05,0.0048051367419154264
1750,0.34683390000000003,5.270116900000075e-07,0.0004499520094747915,0.3753558,6.227472236000003e-05,0.004891161144535887
1800,0.3466584,4.574410399999973e-07,0.00041920227805487765,0.3752312,6.421029375999999e-05,0.004966591029150839
1850,0.3465092,5.453343599999932e-07,0.00045770694525820493,0.3750597,6.706442041000005e-05,0.005075772625394642
1900,0.3463379,4.741632900000061e-07,0.00042679569993897825,0.3748758,7.05407581600001e-05,0.005205663997488277
1950,0.3462152,4.3478655999999736e-07,0.00040869010862706103,0.3746674,7.129188243999988e-05,0.005233305796353806
2000,0.346107,5.022586000000044e-07,0.00043925808333598334,0.3745204,7.365080284000008e-05,0.005319181555372446
2050,0.3459355,5.198022500000034e-07,0.00044686377382822305,0.3743529,7.644998568999993e-05,0.005419319745380445
2100,0.3458476,5.194626400000064e-07,0.00044671777195719723,0.3741691,7.982651768999981e-05,0.005537703046913072
2150,0.3456432,5.223043600000144e-07,0.00044793799005845165,0.3740832,8.125936695999992e-05,0.005587181616106063
2200,0.3455309,5.652436900000051e-07,0.0004659871414002772,0.3740056,8.168877104000006e-05,0.005601924515978988
2250,0.3454165,5.502452499999987e-07,0.00045976321649301126,0.3738381,8.361544648999994e-05,0.005667601778847767
2300,0.3453041,4.626570900000014e-07,0.00042158551646658893,0.3737646,8.465515544000003e-05,0.005702729566955671
2350,0.3452551,4.2864189000000877e-07,0.0004057919029039433,0.3736114,8.574457543999997e-05,0.005739306238652053
2400,0.3452102,3.7564996000000404e-07,0.00037988115066899745,0.3734869,8.792876889000005e-05,0.005811945961275141
2450,0.3451019,3.5246728999999857e-07,0.00036797259969513957,0.3733481,8.973022209000005e-05,0.005871180640901319
2500,0.345055,3.026398000000011e-07,0.0003409722944287415,0.373205,9.159310540000005e-05,0.005931813160447994
2550,0.345004,3.565433999999979e-07,0.00037009419415062327,0.3730764,9.423222844000002e-05,0.006016664597392014
2600,0.344959,3.5844659999999554e-07,0.0003710806460272461,0.372907,9.618276740000007e-05,0.006078615954671262
