gen,bandit_adaptive mean,bandit_adaptive var,random_ops mean,random_ops var,fixed_ops mean,fixed_ops var
6350,0.03911196,3.1568796803999996e-06,0.038018869999999996,1.3052112381000017e-06,0.039024800000000005,2.6260155340000006e-06
6400,0.03910379,3.1684035808999986e-06,0.03800418,1.3144899995999995e-06,0.03901405,2.6149665764999996e-06
6450,0.03908342,3.1896362935999994e-06,0.03798594,1.3143401543999988e-06,0.03899138,2.6276529395999974e-06
6500,0.039074359999999995,3.1576421504e-06,0.03796453,1.3217296180999982e-06,0.03898006,2.6066848284000024e-06
6550,0.03906371,3.1729557308999997e-06,0.03794048,1.3349694415999983e-06,0.0389562,2.651255579999999e-06
6600,0.03905124,3.1927138464000007e-06,0.03791588,1.3474492715999984e-06,0.0389334,2.683266305999998e-06
6650,0.039038630000000005,3.2033933381e-06,0.03790864,1.3546696603999994e-06,0.03891663,2.7009803741000018e-06
6700,0.03901554,3.197488134399999e-06,0.03790287,1.3575812921e-06,0.03890026,2.7250381823999986e-06
6750,0.039001469999999996,3.200186168099997e-06,0.03789268,1.3566330836000012e-06,0.03888714,2.7394798484000036e-06
6800,0.03899049,3.180241338899997e-06,0.03788399,1.3658380089000008e-06,0.0388721,2.7283985940000006e-06
6850,0.0389799,3.1752466419999997e-06,0.03787142,1.3847984016000016e-06,0.03885861,2.724423794899999e-06
6900,0.03896508,3.1622749635999968e-06,0.03786578,1.3846760415999986e-06,0.038846210000000006,2.7280016149000023e-06
6950,0.03895269,3.1403664849000043e-06,0.037858170000000003,1.3917715260999984e-06,0.038827,2.7248691860000015e-06
7000,0.038929389999999994,3.1099409448999996e-06,0.03785018,1.3972120075999987e-06,0.03881546,2.743884520399999e-06
7050,0.038918140000000004,3.106514634400002e-06,0.037834980000000004,1.4060089275999965e-06,0.03880244,2.709762914400001e-06
7100,0.03889318,3.1227104495999974e-06,0.03782487,1.4055872821000002e-06,0.038791690000000004,2.717667146899996e-06
7150,0.038883829999999994,3.127552286099999e-06,0.03780917,1.3975366321000008e-06,0.03877988,2.7228388116000007e-06
7200,0.0388625,3.126822107999995e-06,0.03779777,1.4036254780999976e-06,0.03876603,2.7428378121e-06
7250,0.038845210000000005,3.1238470269e-06,0.03778011,1.376592196900001e-06,0.03875353,2.7375230640999984e-06
7300,0.0388301,3.0825162519999977e-06,0.037765599999999996,1.378693434e-06,0.03873552,2.754581249599996e-06
7350,0.038821220000000004,3.0722725556000016e-06,0.03775095,1.3876400025000013e-06,0.03872117,2.7645561160999967e-06
7400,0.03880486,3.0358337504e-06,0.03772769,1.3259668308999984e-06,0.03870693,2.762517544100002e-06
7450,0.03879746,3.0274257504000003e-06,0.03771565,1.3478311544999986e-06,0.03869313,2.7511501321000015e-06
7500,0.03878569,3.0200311828999993e-06,0.03769194,1.3866574763999974e-06,0.03868051,2.7495407669e-06
7550,0.03877768,3.0039864415999994e-06,0.03768337,1.3891475920999965e-06,0.038668049999999995,2.777057890500002e-06
7600,0.038767010000000005,2.9999038868999947e-06,0.0376673,1.392848519999999e-06,0.03865762,2.7575407016000017e-06
7650,0.03875534,2.991497150399996e-06,0.03764948,1.4002284516000008e-06,0.03864764,2.7680327104000036e-06
7700,0.03874383,2.9978303000999987e-06,0.03764158,1.4054928215999986e-06,0.03863879,2.7686972249e-06
7750,0.0387254,3.0205002799999944e-06,0.03763095,1.4074203985000012e-06,0.03863069,2.7726721069000004e-06
7800,0.03871281,3.0342231009000005e-06,0.03762009,1.4159412889000008e-06,0.03862295,2.770848814500001e-06
7850,0.0387046,3.020090600000003e-06,0.037607220000000004,1.4020364876000032e-06,0.03860774,2.7698472964000026e-06
7900,0.03868912,3.0358304676000003e-06,0.03759291,1.3966973889000017e-06,0.03860003,2.7522710260999978e-06
7950,0.03867472,3.0152183015999998e-06,0.03758355,1.3918810245000003e-06,0.03859024,2.7621634303999996e-06
8000,0.03866735,3.0270391824999985e-06,0.037552220000000004,1.3503750495999982e-06,0.038580760000000006,2.7713851864000004e-06
8050,0.03865945,3.0470690345000007e-06,0.037543349999999996,1.3571506905000005e-06,0.03856796,2.7637582504e-06
8100,0.03864305,3.016068752500001e-06,0.03753575,1.3529845564999986e-06,0.03855749,2.7676212549000007e-06
8150,0.038631769999999996,3.025128656100002e-06,0.03752647,1.3458610961000014e-06,0.03854656,2.7675229403999994e-06
8200,0.0386274,3.0262552880000027e-06,0.03750846,1.3420654224000028e-06,0.038536680000000004,2.7745708935999973e-06
8250,0.038619930000000004,3.038697210100001e-06,0.037501969999999996,1.3388593220999988e-06,0.03852741,2.7752346169000004e-06
8300,0.038612350000000004,3.050903950500001e-06,0.03748952,1.3304671795999963e-06,0.0385164,2.755934054000001e-06
8350,0.0386052,3.0542583320000014e-06,0.03747784,1.3335591903999988e-06,0.03850339,2.7645916049000003e-06
8400,0.03858857,3.0434215820999974e-06,0.03747483,1.3277204741e-06,0.03849725,2.7594907965000015e-06
