gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
2150,0.4575,0.405,0.06,0.0775,0.58,0.2775,0.1125,0.03,0.545,0.355,0.1,0,0.345833,0.316667,0.118333,0.02,0.0925,0.0375,0.0333333,0.0358333
2200,0.5325,0.2775,0.0475,0.1425,0.5025,0.3475,0.145,0.005,0.325,0.5925,0.0825,0,0.345,0.200833,0.1975,0.0158333,0.115833,0.0483333,0.0275,0.0491667
2250,0.5125,0.365,0.03,0.0925,0.6525,0.265,0.0725,0.01,0.52,0.3675,0.1125,0,0.388333,0.295,0.1225,0.01,0.0883333,0.0241667,0.0375,0.0341667
2300,0.46,0.4225,0.1175,0,0.46,0.3925,0.1325,0.015,0.375,0.5425,0.0825,0,0.306667,0.265833,0.180833,0.0391667,0.130833,0.0441667,0.0275,0.005
2350,0.565,0.41,0.025,0,0.56,0.325,0.1125,0.0025,0.3925,0.5075,0.1,0,0.375,0.2675,0.169167,0.00833333,0.108333,0.0375,0.0333333,0.000833333
2400,0.45,0.33,0.0375,0.1825,0.5825,0.34,0.0725,0.005,0.445,0.435,0.12,0,0.344167,0.258333,0.145,0.0125,0.113333,0.0241667,0.04,0.0625
2450,0.5475,0.165,0.0425,0.245,0.4075,0.405,0.17,0.0175,0.4475,0.4775,0.075,0,0.318333,0.204167,0.159167,0.0141667,0.135,0.0566667,0.025,0.0875
2500,0.3775,0.3625,0.02,0.24,0.65,0.29,0.05,0.01,0.5275,0.445,0.0275,0,0.3425,0.296667,0.148333,0.00666667,0.0966667,0.0166667,0.00916667,0.0833333
2550,0.3975,0.4075,0.015,0.18,0.6825,0.2375,0.055,0.025,0.57,0.38,0.05,0,0.36,0.325833,0.126667,0.005,0.0791667,0.0183333,0.0166667,0.0683333
2600,0.3475,0.4,0,0.2525,0.7375,0.235,0,0.0275,0.5575,0.4,0.0425,0,0.361667,0.319167,0.133333,0,0.0783333,0,0.0141667,0.0933333
2650,0.3275,0.43,0.01,0.2325,0.74,0.19,0.0475,0.0225,0.535,0.3875,0.075,0.0025,0.355833,0.321667,0.129167,0.00333333,0.0633333,0.0158333,0.025,0.0858333
2700,0.35,0.3525,0.0075,0.29,0.78,0.175,0.0025,0.0425,0.5375,0.365,0.0975,0,0.376667,0.296667,0.121667,0.0025,0.0583333,0.000833333,0.0325,0.110833
2750,0.305,0.385,0.0025,0.3075,0.7975,0.1325,0,0.07,0.5525,0.355,0.0875,0.005,0.3675,0.3125,0.118333,0.000833333,0.0441667,0,0.0291667,0.1275
2800,0.3525,0.3525,0.0075,0.2875,0.805,0.1225,0,0.0725,0.5475,0.3125,0.135,0.005,0.385833,0.3,0.104167,0.0025,0.0408333,0,0.045,0.121667
2850,0.32,0.425,0.0025,0.2525,0.8125,0.1225,0.0025,0.0625,0.52,0.385,0.095,0,0.3775,0.315,0.128333,0.000833333,0.0408333,0.000833333,0.0316667,0.105
2900,0.3,0.4075,0.0025,0.29,0.795,0.1225,0.015,0.0675,0.6025,0.32,0.07,0.0075,0.365,0.336667,0.106667,0.000833333,0.0408333,0.005,0.0233333,0.121667
2950,0.3225,0.385,0.005,0.2875,0.8,0.13,0.0025,0.0675,0.5525,0.35,0.0925,0.005,0.374167,0.3125,0.116667,0.00166667,0.0433333,0.000833333,0.0308333,0.12
3000,0.305,0.4025,0,0.2925,0.8,0.1275,0.005,0.0675,0.5425,0.415,0.04,0.0025,0.368333,0.315,0.138333,0,0.0425,0.00166667,0.0133333,0.120833
3050,0.2825,0.47,0,0.2475,0.81,0.1225,0.0075,0.06,0.5625,0.2625,0.165,0.01,0.364167,0.344167,0.0875,0,0.0408333,0.0025,0.055,0.105833
3100,0.39,0.365,0.005,0.24,0.785,0.1575,0.01,0.0475,0.515,0.435,0.045,0.005,0.391667,0.293333,0.145,0.00166667,0.0525,0.00333333,0.015,0.0975
3150,0.3475,0.4,0.0025,0.25,0.7975,0.1125,0.0275,0.0625,0.5275,0.325,0.14,0.0075,0.381667,0.309167,0.108333,0.000833333,0.0375,0.00916667,0.0466667,0.106667
3200,0.35,0.4125,0.0225,0.215,0.6425,0.26,0.0675,0.03,0.47,0.45,0.08,0,0.330833,0.294167,0.15,0.0075,0.0866667,0.0225,0.0266667,0.0816667
3250,0.28,0.4275,0.0025,0.29,0.795,0.1325,0,0.0725,0.55,0.3825,0.065,0.0025,0.358333,0.325833,0.1275,0.000833333,0.0441667,0,0.0216667,0.121667
3300,0.28,0.445,0,0.275,0.805,0.125,0.005,0.065,0.54,0.3975,0.06,0.0025,0.361667,0.328333,0.1325,0,0.0416667,0.00166667,0.02,0.114167
3350,0.3025,0.3975,0.005,0.295,0.81,0.1275,0,0.0625,0.535,0.4375,0.0275,0,0.370833,0.310833,0.145833,0.00166667,0.0425,0,0.00916667,0.119167
3400,0.2975,0.4275,0.0075,0.2675,0.8025,0.1125,0.0175,0.0675,0.5675,0.315,0.1175,0,0.366667,0.331667,0.105,0.0025,0.0375,0.00583333,0.0391667,0.111667
3450,0.2975,0.415,0.0075,0.28,0.805,0.1325,0.005,0.0575,0.5275,0.43,0.04,0.0025,0.3675,0.314167,0.143333,0.0025,0.0441667,0.00166667,0.0133333,0.113333
3500,0.3075,0.395,0.015,0.2825,0.7925,0.1175,0.02,0.07,0.5575,0.3925,0.0425,0.0075,0.366667,0.3175,0.130833,0.005,0.0391667,0.00666667,0.0141667,0.12
3550,0.2975,0.5225,0,0.18,0.73,0.2075,0.03,0.0325,0.535,0.4075,0.0575,0,0.3425,0.3525,0.135833,0,0.0691667,0.01,0.0191667,0.0708333
