gen,migration_true mean,migration_true var,migration_false mean,migration_false var
3200,0.028782429999999998,3.0149851409999987e-07,0.042346289999999995,5.6387409669000035e-06
3250,0.028714339999999998,3.0240280240000036e-07,0.04233644,5.700166812399998e-06
3300,0.028671629999999997,3.1803974610000006e-07,0.04228944,5.7696563484000025e-06
3350,0.028644350000000002,3.3188125249999997e-07,0.04224335,5.8820803685000035e-06
3400,0.02858599,3.306390728999997e-07,0.04214905,6.0311827905e-06
3450,0.02853102,3.317302176e-07,0.04209061,6.195694186899999e-06
3500,0.02849565,3.2996918650000016e-07,0.04200019,6.1607601368999985e-06
3550,0.02843834,3.3883161039999965e-07,0.041840909999999995,6.126540998899996e-06
3600,0.02841163,3.349486481e-07,0.0417785,6.256080118000004e-06
3650,0.028384029999999998,3.402885581000005e-07,0.041700310000000004,6.243097688900002e-06
3700,0.028330070000000002,3.5189595009999986e-07,0.041662199999999996,6.262599564000001e-06
3750,0.02828144,3.549899804e-07,0.041620210000000005,6.330955952900005e-06
3800,0.02823853,3.6664979410000014e-07,0.04159563,6.4879637961000015e-06
3850,0.028189380000000003,3.8506842159999953e-07,0.04149951,6.259509480899996e-06
3900,0.02815432,3.937026556e-07,0.04145371,6.414978194900005e-06
3950,0.02810502,4.23977017600001e-07,0.04139372,6.4676966936e-06
4000,0.0280657,4.3639291600000116e-07,0.04134952,6.540529477600006e-06
4050,0.028032099999999997,4.415078999999996e-07,0.041310770000000004,6.701646454100001e-06
4100,0.0279825,4.5837379599999995e-07,0.04123814,6.651127532400002e-06
4150,0.027944010000000002,4.739619989000004e-07,0.041192889999999996,6.7194956769e-06
4200,0.02791495,4.7449144649999986e-07,0.041135279999999996,6.6761331896e-06
4250,0.02788727,4.523568361000006e-07,0.041123929999999996,6.693420622099997e-06
4300,0.0278415,4.572852900000005e-07,0.041107490000000003,6.8402427009e-06
4350,0.02780377,4.7411664810000026e-07,0.0410576,6.773046782000004e-06
4400,0.02777648,4.773608575999995e-07,0.04097247,6.589026594100005e-06
4450,0.02775631,4.799520469e-07,0.04086457,6.3765607601e-06
