gen,stable_true_gate15 mean,stable_true_gate15 var,stable_false mean,stable_false var
6650,0.026898830000000002,7.477874760999999e-07,0.027974179999999998,3.3038534560000006e-07
6700,0.02688218,7.611244375999992e-07,0.02794239,3.394475788999992e-07
6750,0.02686892,7.763747795999998e-07,0.027917110000000002,3.355728048999996e-07
6800,0.02684956,7.926178444000001e-07,0.02788834,3.403709264000009e-07
6850,0.0268401,7.993581519999995e-07,0.02785929,3.481399169000001e-07
6900,0.026820709999999998,8.094640548999998e-07,0.02783525,3.5114778650000003e-07
6950,0.026806029999999998,8.240030280999998e-07,0.02780315,3.4790443650000025e-07
7000,0.02679198,8.235411435999997e-07,0.027786509999999997,3.479818589000002e-07
7050,0.02677662,8.161375055999999e-07,0.0277646,3.468924120000007e-07
7100,0.02675214,8.243895823999999e-07,0.027739859999999998,3.4779092039999995e-07
7150,0.0267277,8.397259199999998e-07,0.0277205,3.502078600000002e-07
7200,0.02670524,8.225803004000003e-07,0.027699819999999997,3.537018276000007e-07
7250,0.026689360000000002,8.208766863999998e-07,0.02768345,3.520129745000003e-07
7300,0.02667088,8.211935536000009e-07,0.02766241,3.5343198289999913e-07
7350,0.026658349999999997,8.224934104999996e-07,0.027639419999999998,3.5235250960000076e-07
7400,0.02664281,8.279180749000004e-07,0.027615449999999996,3.5871797650000004e-07
7450,0.02662926,8.320048563999996e-07,0.027599119999999998,3.542235355999998e-07
7500,0.0266105,8.267085879999997e-07,0.027570860000000003,3.604091904000007e-07
7550,0.026598339999999998,8.208595043999994e-07,0.02754548,3.638122456000004e-07
7600,0.02658763,8.135644321e-07,0.027523199999999998,3.6154415400000013e-07
7650,0.02658085,8.08636892500001e-07,0.02750611,3.609779868999999e-07
7700,0.02657288,8.079394976000002e-07,0.0274888,3.6227793799999923e-07
7750,0.026562679999999998,8.055140915999994e-07,0.02746982,3.629434316000004e-07
7800,0.026558019999999998,8.043334535999997e-07,0.027447919999999997,3.646589256000002e-07
7850,0.02654683,8.095331101000009e-07,0.027428809999999998,3.6457220889999983e-07
7900,0.02653548,8.108738035999999e-07,0.02741042,3.6330193160000055e-07
7950,0.02652386,8.072130064000001e-07,0.02739768,3.5953434560000016e-07
8000,0.02650768,7.975783375999997e-07,0.02737585,3.6528846650000054e-07
8050,0.02648871,7.919398428999997e-07,0.02735405,3.6310364450000005e-07
8100,0.026477030000000002,7.831478061000017e-07,0.027340740000000002,3.548431744000001e-07
8150,0.026465289999999995,7.690674628999997e-07,0.027325709999999996,3.5672365690000025e-07
8200,0.026450400000000002,7.565814980000006e-07,0.027306160000000003,3.5379008039999995e-07
8250,0.026438,7.558359699999999e-07,0.02729085,3.570866364999998e-07
8300,0.02642763,7.575164341000003e-07,0.027276119999999997,3.539156416e-07
8350,0.02641515,7.669259324999995e-07,0.027258789999999998,3.5788126490000073e-07
8400,0.02641105,7.681168184999997e-07,0.027240229999999997,3.646980561000006e-07
8450,0.02639407,7.53771488099999e-07,0.027223690000000002,3.657771629000003e-07
8500,0.026382830000000003,7.54884078099999e-07,0.02721157,3.668486661000007e-07
8550,0.02637373,7.539300320999995e-07,0.02719958,3.6838293960000043e-07
8600,0.02636085,7.559911564999996e-07,0.02717677,3.693716180999999e-07
8650,0.026353130000000002,7.564685640999994e-07,0.02716656,3.717287184000003e-07
8700,0.02634363,7.520391040999996e-07,0.02715107,3.779867861000005e-07
8750,0.026327109999999997,7.494256649e-07,0.027135779999999998,3.790281075999995e-07
8800,0.0263129,7.445346079999998e-07,0.027125490000000002,3.812811029000002e-07
8850,0.026299319999999998,7.473523755999991e-07,0.02710881,3.851092769e-07
8900,0.02628682,7.517666555999998e-07,0.02709194,3.8900408440000045e-07
8950,0.02627212,7.579281536000002e-07,0.027081630000000002,3.878755381000004e-07
9000,0.0262536,7.691633819999997e-07,0.02706891,3.8767301089999997e-07
9050,0.02624182,7.731134695999989e-07,0.02705455,3.8811816649999977e-07
9100,0.02623361,7.69974790899999e-07,0.0270428,3.827467979999999e-07
9150,0.02622452,7.638893915999998e-07,0.02703367,3.8374481809999973e-07
9200,0.02621941,7.677206128999997e-07,0.02702093,3.8142224809999995e-07
9250,0.02621055,7.667572404999995e-07,0.027006999999999996,3.815830980000001e-07
9300,0.026200650000000002,7.638868604999994e-07,0.02699317,3.821453700999999e-07
9350,0.026192860000000002,7.642677043999991e-07,0.026983590000000002,3.8392305689999975e-07
9400,0.02618279,7.629582908999993e-07,0.026971299999999997,3.8055762000000017e-07
9450,0.02616963,7.641251740999999e-07,0.02696574,3.7792156639999977e-07
9500,0.026160689999999997,7.649511089e-07,0.02695361,3.779822169000001e-07
9550,0.02615075,7.744280824999988e-07,0.026943139999999997,3.770952983999998e-07
9600,0.02613853,7.801698980999992e-07,0.0269322,3.8108317600000016e-07
9650,0.02613083,7.796325220999995e-07,0.026922269999999998,3.791159480999999e-07
9700,0.026122069999999997,7.783516340999994e-07,0.02691089,3.782133809e-07
9750,0.02610633,7.744223920999995e-07,0.026901710000000002,3.8002749490000005e-07
9800,0.02609076,7.806057483999983e-07,0.02688898,3.7700652360000023e-07
9850,0.02607868,7.831631616000001e-07,0.02687738,3.739140816e-07
9900,0.026070080000000002,7.850767115999999e-07,0.026868700000000002,3.731296439999997e-07
9950,0.02605575,7.916883324999996e-07,0.02686062,3.7326846959999945e-07
10000,0.02604341,7.890809649000004e-07,0.026852949999999997,3.7332890450000023e-07
