gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
2150,0.4725,0.4425,0.08,0.005,0.005,0.065,0.9225,0.0075,0.19,0.6675,0.14,0.0025,0.159167,0.210833,0.2225,0.0266667,0.0216667,0.3075,0.0466667,0.005
2200,0.53,0.46,0.0075,0.0025,0.0075,0.095,0.8975,0,0.1675,0.7525,0.0775,0.0025,0.179167,0.209167,0.250833,0.0025,0.0316667,0.299167,0.0258333,0.00166667
2250,0.535,0.4625,0.0025,0,0.0025,0.0975,0.895,0.005,0.125,0.8075,0.065,0.0025,0.179167,0.195833,0.269167,0.000833333,0.0325,0.298333,0.0216667,0.0025
2300,0.5125,0.4675,0.01,0.01,0.0025,0.095,0.9,0.0025,0.1275,0.7975,0.07,0.005,0.171667,0.198333,0.265833,0.00333333,0.0316667,0.3,0.0233333,0.00583333
2350,0.52,0.4725,0.0075,0,0.0025,0.11,0.8125,0.075,0.125,0.81,0.065,0,0.174167,0.199167,0.27,0.0025,0.0366667,0.270833,0.0216667,0.025
2400,0.515,0.48,0.0025,0.0025,0,0.1575,0.71,0.1325,0.125,0.7975,0.07,0.0075,0.171667,0.201667,0.265833,0.000833333,0.0525,0.236667,0.0233333,0.0475
2450,0.5125,0.475,0.005,0.0075,0.0025,0.1625,0.705,0.13,0.12,0.8,0.07,0.01,0.171667,0.198333,0.266667,0.00166667,0.0541667,0.235,0.0233333,0.0491667
2500,0.5,0.4925,0.0025,0.005,0.01,0.165,0.6975,0.1275,0.125,0.8,0.07,0.005,0.17,0.205833,0.266667,0.000833333,0.055,0.2325,0.0233333,0.0458333
2550,0.5075,0.4875,0,0.005,0,0.17,0.7,0.13,0.1225,0.805,0.07,0.0025,0.169167,0.203333,0.268333,0,0.0566667,0.233333,0.0233333,0.0458333
2600,0.5,0.49,0,0.01,0.0025,0.185,0.6825,0.13,0.1075,0.7775,0.1075,0.0075,0.1675,0.199167,0.259167,0,0.0616667,0.2275,0.0358333,0.0491667
2650,0.435,0.4775,0.0825,0.005,0.005,0.19,0.6775,0.1275,0.1075,0.6975,0.1925,0.0025,0.146667,0.195,0.2325,0.0275,0.0633333,0.225833,0.0641667,0.045
2700,0.5475,0.44,0.005,0.0075,0.005,0.1775,0.6825,0.135,0.1225,0.775,0.0875,0.015,0.184167,0.1875,0.258333,0.00166667,0.0591667,0.2275,0.0291667,0.0525
2750,0.4975,0.4975,0.0025,0.0025,0.0025,0.1675,0.7025,0.1275,0.105,0.77,0.12,0.005,0.166667,0.200833,0.256667,0.000833333,0.0558333,0.234167,0.04,0.045
2800,0.355,0.4775,0.1625,0.005,0.0075,0.1975,0.67,0.125,0.085,0.725,0.185,0.005,0.120833,0.1875,0.241667,0.0541667,0.0658333,0.223333,0.0616667,0.045
2850,0.34,0.495,0.1625,0.0025,0.0075,0.1675,0.6975,0.1275,0.13,0.7375,0.13,0.0025,0.115833,0.208333,0.245833,0.0541667,0.0558333,0.2325,0.0433333,0.0441667
2900,0.1975,0.4775,0.3225,0.0025,0.0025,0.18,0.69,0.1275,0.1,0.6925,0.2025,0.005,0.0666667,0.1925,0.230833,0.1075,0.06,0.23,0.0675,0.045
