gen,migration_on mean,migration_on var,migration_off mean,migration_off var
8150,998.2395,37.150299449999984,1106.142,2250.5594160000005
8200,998.1933999999999,37.03949503999986,1105.974,2244.6605440000008
8250,998.1265,37.18998884999989,1105.443,2284.779621000001
8300,998.0683000000001,37.42247741000001,1104.223,2329.222261000001
8350,998.0207,37.68987940999999,1104.012,2330.319756000002
8400,997.9841,37.818390890000074,1103.595,2253.368705000001
8450,997.9441999999999,37.96955496000011,1103.434,2250.862503999999
8500,997.9005,38.10703445000014,1103.336,2244.982603999997
8550,997.5905,39.20301784999983,1103.156,2234.907123999999
8600,997.5115,39.588731449999855,1102.763,2258.0675610000003
8650,997.4688,39.78558955999987,1102.6709999999998,2264.1573489999982
8700,997.4233,39.878024409999846,1102.45,2265.722680000002
8750,997.3894,40.073318639999904,1102.33,2267.500200000002
8800,997.3318999999999,39.766681290000136,1102.222,2279.0619760000013
8850,997.2826000000001,39.88243344000002,1102.175,2284.6239850000015
8900,997.2594999999999,39.963453650000055,1102.148,2286.642716000001
8950,997.2183000000001,40.19947440999995,1102.148,2286.642716000001
9000,997.1718000000001,40.28466156000003,1102.094,2289.5797840000005
9050,997.1375,40.14416144999992,1102.042,2294.3739160000005
9100,997.0897000000001,40.44554380999996,1101.849,2310.712529000001
9150,997.0453,40.54316540999999,1101.773,2317.5264810000003
9200,996.8903,40.02700821000017,1101.732,2320.7682360000017
9250,996.7242,39.913187560000125,1101.661,2324.7388690000016
9300,996.6784,39.248070439999836,1101.642,2325.779936000001
9350,996.6458,39.18370655999999,1101.384,2350.4617039999994
9400,996.5971,39.265269290000056,1101.348,2354.4502760000005
9450,996.5442999999999,39.16556580999989,1101.248,2366.049876000001
9500,996.4808,38.82922815999994,1101.143,2379.6390810000003
9550,996.4487999999999,38.87530955999996,1101.1,2385.122260000001
9600,996.4077,38.971871810000025,1100.908,2403.618196000002
9650,996.3336999999999,39.20191401000013,1100.907,2403.705381000002
9700,996.3120000000001,39.19152920000014,1100.69,2390.196620000004
9750,996.2716,39.200657039999804,1100.519,2378.026509000003
9800,996.211,39.100034999999835,1100.002,2411.6846760000026
9850,996.1852999999999,38.88387781000002,1099.974,2413.995444000003
9900,996.1591000000001,38.85655549000022,1099.904,2410.325824000003
9950,995.8187,40.654086009999915,1099.873,2409.6304010000035
10000,995.7999,40.69891109,1099.693,2418.9198810000044
