gen,GA,DE,GDE,CCHIHH (non-stable),CCHIHH (stable)
2700,4.538598639455755e-05,0.008973303310657559,0.00027452126984129136,0.017365215432525623,0.00015053506172840432
2750,4.538598639455755e-05,0.008962660136054372,0.00027452126984129136,0.017426610034602132,0.00017776098765433194
2800,4.538598639455755e-05,0.008960146258503327,0.0002769960997732643,0.017612579377162464,0.00015823163580246512
2850,4.615514739228892e-05,0.008972994875283427,0.00028628217687077487,0.017729942076124397,0.0001376835802469143
2900,4.616562358276497e-05,0.00891974086167798,0.00029121705215420584,0.018157724775086675,0.00014089570987654352
2950,4.7089977324262876e-05,0.008858119501133861,0.0003119604535147586,0.018313145328719686,0.00014943432098764916
3000,5.1598639455780525e-05,0.00891773800453519,0.0003136405895691847,0.018307089550173114,0.00013539583333332548
3050,5.1598639455780525e-05,0.00891773800453519,0.00031341555555555777,0.01818686173010391,0.0001445483024691474
3100,5.1598639455780525e-05,0.008963194557823208,0.000330761088435372,0.01815658643598609,0.00012765580246912623
3150,5.1598639455780525e-05,0.008893605215419627,0.0003264313378684773,0.018030913840830238,0.00012199543209878023
3200,4.919747500000113e-05,0.008856941904762026,0.00032648140589568804,0.017999917508650536,0.00012739163580248678
3250,5.178360000000222e-05,0.008822264263038688,0.00033877759637189155,0.01763712795847767,0.00014199978395062322
3300,5.177647500000086e-05,0.008747505306122554,0.00033251727891157857,0.01760425653979231,0.0001340527469135975
3350,5.177647500000086e-05,0.008665061088435533,0.00033580916099774385,0.017663929965397857,0.0001377702469135937
3400,5.86808750000034e-05,0.008562476326530781,0.0003442418140589729,0.01770372006920401,0.00013148358024691687
3450,5.996660000000222e-05,0.008428604897959302,0.0003381586394557988,0.017568227681660855,0.0001348553395061735
3500,5.996660000000222e-05,0.008374319591836843,0.0003381586394557988,0.01721027349480955,0.0001300779320987602
3550,5.406827500000202e-05,0.008355772290249508,0.0003392065759637287,0.016864646782006977,0.0001375517283950462
3600,5.406827500000202e-05,0.008331688707483059,0.00032472870748301226,0.016202721730103925,0.00011054694444444972
3650,5.406827500000202e-05,0.008288478004535275,0.0003335345578231391,0.01596671993079575,0.00012507910034602402
3700,5.4574875000001176e-05,0.008202946666666792,0.0003559945578231452,0.015529941176470276,0.00012003425605536464
3750,5.398510000000151e-05,0.008139256099773286,0.0003526599092970704,0.01532869522491342,0.00012632262975778062
3800,5.5585999999999755e-05,0.008101605850340119,0.00035377963718822436,0.014964181799307917,0.0001243693425605495
3850,5.836747499999678e-05,0.008096677460317482,0.0003580829931972967,0.014547418200692086,0.00012360325259514127
3900,6.523039999999513e-05,0.008076320317460351,0.0003637463038549093,0.01422186207612436,0.00011076339100346292
3950,6.523039999999513e-05,0.008024730113378706,0.00038226476190478834,0.01403408013840813,0.00011511501730103776
4000,6.345439999999648e-05,0.008085799591836765,0.0003881722750000301,0.01369920996539796,0.00012322055363321626
4050,6.338247499999584e-05,0.008076782857142991,0.0003908836000000139,0.01339482602076125,0.00012813287197231752
4100,6.444847499999752e-05,0.007949268480725693,0.00038327627500002985,0.012848524083044972,0.0001376743944636564
4150,6.444847499999752e-05,0.007837412698412776,0.00038762790000002474,0.012359434256055405,0.00014711169550170547
4200,7.031689999999766e-05,0.007825595555555637,0.00038693087500002297,0.011860350726643785,0.00017804837370240077
4250,7.252387499999792e-05,0.007808243310657671,0.0003856746000000213,0.011238216608996527,0.0001687359169550197
4300,7.252387499999792e-05,0.0077887186848073255,0.0003981128750000186,0.010699608788927497,0.00016403910034604128
4350,6.912047499999907e-05,0.007738607120181485,0.0004011834903047419,0.010479024844290549,0.00016211771626298212
4400,7.428659999999194e-05,0.007687685306122493,0.00041569052469139393,0.01000902878892741,0.00015674027681661623
4450,7.605459999999046e-05,0.0076708472562358795,0.00042046733564016795,0.009552221245674843,0.0001456170242214636
4500,7.459809999999003e-05,0.007640119319727976,0.0004102860207612812,0.009284008235294185,0.0001558928719723037
4550,7.459809999999003e-05,0.007603082766439988,0.00040759467128030435,0.009073930034602086,0.0001457161937716029
4600,7.459809999999003e-05,0.007600687120181482,0.0004035835986159396,0.008727252871972515,0.00013880795847751013
4650,7.459809999999003e-05,0.007624427528344672,0.0003868900346020921,0.008409310657439516,0.0001367810380622798
4700,7.459809999999003e-05,0.0075530482086168214,0.0003816732179930963,0.007944277024221538,0.00012574055363322092
4750,7.459809999999003e-05,0.007534100272108868,0.0003850880968858353,0.0076003805536334025,0.0001283265051903155
