gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
2700,0,0.63,0.24,0.13,0.0025,0.705,0.2875,0.005,0.005,0.2325,0.745,0.0175,0.000833333,0.211667,0.0775,0.08,0.235,0.0958333,0.248333,0.0508333
2750,0,0.665,0.2075,0.1275,0.0025,0.6525,0.3425,0.0025,0.005,0.245,0.7375,0.0125,0.000833333,0.223333,0.0816667,0.0691667,0.2175,0.114167,0.245833,0.0475
2800,0.0025,0.68,0.1925,0.125,0.0075,0.725,0.265,0.0025,0.0075,0.245,0.7375,0.01,0.00333333,0.229167,0.0816667,0.0641667,0.241667,0.0883333,0.245833,0.0458333
2850,0.005,0.64,0.23,0.125,0.005,0.6525,0.34,0.0025,0.01,0.2275,0.7325,0.03,0.00333333,0.216667,0.0758333,0.0766667,0.2175,0.113333,0.244167,0.0525
2900,0.005,0.645,0.225,0.125,0.0175,0.6375,0.3375,0.0075,0,0.2425,0.75,0.0075,0.0075,0.215,0.0808333,0.075,0.2125,0.1125,0.25,0.0466667
2950,0.005,0.6375,0.23,0.1275,0.01,0.61,0.3775,0.0025,0,0.2375,0.7375,0.025,0.005,0.2125,0.0791667,0.0766667,0.203333,0.125833,0.245833,0.0516667
3000,0.0025,0.5875,0.285,0.125,0.0025,0.54,0.455,0.0025,0.005,0.2325,0.7325,0.03,0.00166667,0.1975,0.0775,0.095,0.18,0.151667,0.244167,0.0525
3050,0.005,0.6875,0.1775,0.13,0,0.6225,0.375,0.0025,0,0.2475,0.74,0.0125,0.00166667,0.229167,0.0825,0.0591667,0.2075,0.125,0.246667,0.0483333
3100,0.0025,0.7475,0.125,0.125,0.005,0.545,0.445,0.005,0,0.22,0.7425,0.0375,0.0025,0.249167,0.0733333,0.0416667,0.181667,0.148333,0.2475,0.0558333
3150,0.0025,0.6425,0.225,0.13,0.0025,0.57,0.42,0.0075,0.005,0.2475,0.74,0.0075,0.00166667,0.215833,0.0825,0.075,0.19,0.14,0.246667,0.0483333
3200,0.0025,0.745,0.1275,0.125,0.0025,0.56,0.435,0.0025,0.01,0.2375,0.74,0.0125,0.00166667,0.251667,0.0791667,0.0425,0.186667,0.145,0.246667,0.0466667
3250,0.01,0.6925,0.1725,0.125,0.01,0.5775,0.4075,0.005,0.0025,0.24,0.745,0.0125,0.00666667,0.231667,0.08,0.0575,0.1925,0.135833,0.248333,0.0475
