Gen 8950: best_fit = 0.037241
Gen 9000: best_fit = 0.0371857
Gen 9050: best_fit = 0.0371807
Gen 9100: best_fit = 0.0371715
Gen 9150: best_fit = 0.0371496
Gen 9200: best_fit = 0.0371424
Gen 9250: best_fit = 0.0371195
Gen 9300: best_fit = 0.0371104
Gen 9350: best_fit = 0.0371024
Gen 9400: best_fit = 0.0371013
Gen 9450: best_fit = 0.0370576
Gen 9500: best_fit = 0.0370568
Gen 9550: best_fit = 0.0370553
Gen 9600: best_fit = 0.0370513
Gen 9650: best_fit = 0.0370254
Gen 9700: best_fit = 0.0370187
Gen 9750: best_fit = 0.0369281
Gen 9800: best_fit = 0.0369277
Gen 9850: best_fit = 0.0369075
Gen 9900: best_fit = 0.0368783
Gen 9950: best_fit = 0.0368781
Gen 10000: best_fit = 0.0368768

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 0.0368768
CCHIHH gate_blocked_total = 15334
CCHIHH gate_fallback_total = 15334
Time = 77.125 s
