gen,GA-SLHH mean,GA-SLHH var,CCHIHH (stable) mean,CCHIHH (stable) var
8150,55.87732,3.7423600000004254e-05,55.11472,0.00014990560000002198
8200,55.87732,3.7423600000004254e-05,55.11357,0.00015416410000002653
8250,55.87732,3.7423600000004254e-05,55.11319999999999,0.0001577420000000303
8300,55.8768,4.9342000000008616e-05,55.112249999999996,0.00012951649999999292
8350,55.87670000000001,5.0212000000012936e-05,55.11186,0.00013222639999996999
8400,55.87670000000001,5.0212000000012936e-05,55.111149999999995,0.00012557649999997284
8450,55.87670000000001,5.0212000000012936e-05,55.11072,0.00012562159999997881
8500,55.87670000000001,5.0212000000012936e-05,55.10964,0.00011265239999998656
8550,55.87670000000001,5.0212000000012936e-05,55.10954,0.0001110983999999901
8600,55.87670000000001,5.0212000000012936e-05,55.10901,0.00011219289999999203
8650,55.8763,5.1732000000013524e-05,55.10812,0.00010010160000000607
8700,55.8763,5.1732000000013524e-05,55.10794,9.635040000000522e-05
8750,55.8763,5.1732000000013524e-05,55.10714,8.91004000000077e-05
8800,55.8763,5.1732000000013524e-05,55.106550000000006,9.187249999999586e-05
8850,55.8763,5.1732000000013524e-05,55.10603,9.601010000000589e-05
8900,55.8763,5.1732000000013524e-05,55.105909999999994,9.746690000001144e-05
8950,55.8763,5.1732000000013524e-05,55.10551,9.524290000001628e-05
9000,55.8763,5.1732000000013524e-05,55.10471,8.675089999999222e-05
9050,55.8763,5.1732000000013524e-05,55.10434,7.418839999999031e-05
9100,55.8763,5.1732000000013524e-05,55.10367,6.808410000000426e-05
9150,55.8763,5.1732000000013524e-05,55.103210000000004,6.889290000000497e-05
9200,55.876239999999996,5.1248400000014334e-05,55.10271,7.526489999999994e-05
9250,55.87568,4.985960000001092e-05,55.10231,7.639689999999354e-05
9300,55.87568,4.985960000001092e-05,55.10151,7.875689999999025e-05
9350,55.87568,4.985960000001092e-05,55.10108,8.08815999999951e-05
9400,55.87568,4.985960000001092e-05,55.100649999999995,8.192649999998594e-05
9450,55.87568,4.985960000001092e-05,55.10016,9.074639999999825e-05
9500,55.87568,4.985960000001092e-05,55.10007,9.11121000000091e-05
9550,55.87568,4.985960000001092e-05,55.09932,0.00010395360000001053
9600,55.87564999999999,5.009450000000762e-05,55.09864,0.00012187840000000793
9650,55.87555,4.9194500000009187e-05,55.098299999999995,0.00012367600000000987
9700,55.87555,4.9194500000009187e-05,55.09682,0.00012283560000001472
9750,55.87555,4.9194500000009187e-05,55.09615,0.0001377805000000096
9800,55.87527,5.278410000000101e-05,55.0947,0.00016701400000003098
9850,55.874990000000004,5.098490000000856e-05,55.093959999999996,0.000173976400000024
9900,55.874990000000004,5.098490000000856e-05,55.09331999999999,0.00017806360000001441
9950,55.874990000000004,5.098490000000856e-05,55.09312,0.0001772876000000206
10000,55.874990000000004,5.098490000000856e-05,55.092690000000005,0.00016442290000000175
