gen,GA,DE,GDE,CCHIHH (non-stable),CCHIHH (stable)
36,2.0362247658682664e-05,0.00048247737773152486,5.777245555556307e-05,4.00566077003097e-05,7.534393340269535e-05
37,2.0362247658682664e-05,0.0005138766909469218,6.147160000000535e-05,4.241346514047878e-05,7.640695109260101e-05
38,1.9553257023927123e-05,0.0005122785223725368,6.435938888889376e-05,4.1630822060352807e-05,7.50745057231897e-05
39,1.9553257023927123e-05,0.0005229341519250743,6.688982222222835e-05,3.7388220603538036e-05,6.943602497398198e-05
40,1.9553257023927123e-05,0.000555869261186268,6.160373333333808e-05,4.39282414151918e-05,7.206108220603359e-05
41,1.9553257023927123e-05,0.00052626006243497,6.1023288888891706e-05,4.2388886576480844e-05,7.130328824141474e-05
42,1.785003121747634e-05,0.0005163003537981339,5.8942622222226094e-05,3.929625390218339e-05,6.997269510925172e-05
43,1.785003121747634e-05,0.000526621893860566,6.863800000000574e-05,3.6349802289284134e-05,7.444886576482538e-05
44,1.785003121747634e-05,0.0005133923829344551,6.980645555556234e-05,3.887159209157014e-05,7.599985431841316e-05
45,1.785003121747634e-05,0.0005158292611862677,7.012965555556458e-05,4.0152695109256556e-05,7.530551508844973e-05
46,1.785003121747634e-05,0.0005187135483870975,7.700782222223157e-05,3.97541103017645e-05,7.807417273673483e-05
47,1.785003121747634e-05,0.0005149546722164501,7.833195555555534e-05,3.8938189386051335e-05,7.791150884495849e-05
48,1.785003121747634e-05,0.000514692070759634,8.037315555555799e-05,4.0575088449525004e-05,7.636576482831042e-05
49,1.785003121747634e-05,0.0006031289490114528,7.816066666666492e-05,4.333184183141862e-05,7.528357960458186e-05
50,1.7133215400618464e-05,0.0005940963579604665,8.013528888888877e-05,4.466249739853768e-05,6.892576482830886e-05
51,1.7133215400618464e-05,0.0005946655983350836,8.253373333333293e-05,4.326154006242902e-05,7.086062434964071e-05
52,1.7133215400618464e-05,0.0006249696566077112,8.506782222221511e-05,4.194882414151281e-05,7.306189386057023e-05
53,1.7133215400618464e-05,0.0006407618522372591,8.755315555554421e-05,4.126753381893242e-05,8.001211238294673e-05
54,1.7133215400618464e-05,0.0006384505515088424,0.00010560462222220879,3.912303850155758e-05,8.242126951093584e-05
55,1.7133215400618464e-05,0.0006384505515088424,0.00010533893333332019,4.0209386056188754e-05,8.958851196670447e-05
56,1.7133215400618464e-05,0.0006217030385015689,9.912533333332017e-05,4.590770031217674e-05,0.00010334382934442715
57,1.7133215400618464e-05,0.0006178149635796067,0.00010159533333332002,4.8739854318423515e-05,0.00010163619146720873
58,1.7133215400618464e-05,0.0006178149635796067,9.931649999998835e-05,4.397764828303951e-05,9.944247658688309e-05
59,1.7133215400618464e-05,0.0006170999583766981,9.538845555554217e-05,5.2020353798122154e-05,0.00010099159209157027
60,1.7133215400618464e-05,0.00061472328824142,9.659848888887667e-05,5.351612903225497e-05,9.104087408948224e-05
61,1.7133215400618464e-05,0.0006342204370447354,9.034232222221154e-05,5.2189011446406626e-05,8.567902185223361e-05
62,1.763257023932886e-05,0.0006383785015608475,8.886662222221376e-05,5.789238293443977e-05,9.127352757543986e-05
63,1.763257023932886e-05,0.0006451824973985292,9.080698888888004e-05,5.43030385015642e-05,0.00010608449531737104
64,1.8231925078039066e-05,0.0006218544224765656,9.874000000000033e-05,5.990680541103425e-05,0.00011325766909469223
65,1.8231925078039066e-05,0.0006223583350676214,9.772915555555657e-05,6.060630593132026e-05,0.00010768283038501852
66,1.8231925078039066e-05,0.000646151737773116,9.862850000000182e-05,6.0536628511968434e-05,0.00011072772112382984
67,1.8231925078039066e-05,0.0006402227055150447,0.00010016715555556256,6.0502393340270956e-05,0.00011582185223725746
