gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
2800,0.24,0.3825,0.295,0.0825,0.2575,0.41,0.24,0.0925,0.245,0.4425,0.225,0.0875,0.165833,0.209167,0.1475,0.0983333,0.136667,0.08,0.075,0.0875
2850,0.235,0.44,0.2575,0.0675,0.2575,0.3,0.265,0.1775,0.2425,0.37,0.2825,0.105,0.164167,0.2275,0.123333,0.0858333,0.1,0.0883333,0.0941667,0.116667
2900,0.27,0.485,0.245,0,0.255,0.445,0.24,0.06,0.2475,0.5,0.25,0.0025,0.175,0.244167,0.166667,0.0816667,0.148333,0.08,0.0833333,0.0208333
2950,0.27,0.4925,0.2275,0.01,0.25,0.3825,0.235,0.1325,0.255,0.48,0.24,0.025,0.173333,0.249167,0.16,0.0758333,0.1275,0.0783333,0.08,0.0558333
3000,0.245,0.495,0.26,0,0.2225,0.495,0.25,0.0325,0.2525,0.4875,0.225,0.035,0.155833,0.249167,0.1625,0.0866667,0.165,0.0833333,0.075,0.0225
3050,0.2575,0.53,0.2125,0,0.26,0.455,0.2725,0.0125,0.265,0.485,0.2475,0.0025,0.1725,0.265,0.161667,0.0708333,0.151667,0.0908333,0.0825,0.005
3100,0.225,0.4875,0.2625,0.025,0.2375,0.41,0.245,0.1075,0.275,0.4975,0.21,0.0175,0.154167,0.254167,0.165833,0.0875,0.136667,0.0816667,0.07,0.05
3150,0.255,0.4,0.25,0.095,0.2325,0.31,0.2325,0.225,0.285,0.36,0.2375,0.1175,0.1625,0.228333,0.12,0.0833333,0.103333,0.0775,0.0791667,0.145833
3200,0.215,0.4325,0.26,0.0925,0.2725,0.3425,0.2425,0.1425,0.225,0.4475,0.2625,0.065,0.1625,0.219167,0.149167,0.0866667,0.114167,0.0808333,0.0875,0.1
3250,0.2675,0.38,0.27,0.0825,0.26,0.3125,0.235,0.1925,0.235,0.4175,0.2925,0.055,0.175833,0.205,0.139167,0.09,0.104167,0.0783333,0.0975,0.11
3300,0.2275,0.535,0.23,0.0075,0.2975,0.365,0.2375,0.1,0.24,0.465,0.2475,0.0475,0.175,0.258333,0.155,0.0766667,0.121667,0.0791667,0.0825,0.0516667
3350,0.28,0.44,0.2375,0.0425,0.235,0.3225,0.26,0.1825,0.2475,0.455,0.25,0.0475,0.171667,0.229167,0.151667,0.0791667,0.1075,0.0866667,0.0833333,0.0908333
3400,0.215,0.455,0.235,0.095,0.2575,0.3625,0.235,0.145,0.255,0.42,0.245,0.08,0.1575,0.236667,0.14,0.0783333,0.120833,0.0783333,0.0816667,0.106667
3450,0.2425,0.475,0.255,0.0275,0.295,0.3025,0.245,0.1575,0.2575,0.49,0.2325,0.02,0.179167,0.244167,0.163333,0.085,0.100833,0.0816667,0.0775,0.0683333
3500,0.2275,0.505,0.2325,0.035,0.2675,0.3425,0.25,0.14,0.2425,0.465,0.25,0.0425,0.165,0.249167,0.155,0.0775,0.114167,0.0833333,0.0833333,0.0725
3550,0.25,0.425,0.2625,0.0625,0.255,0.395,0.235,0.115,0.2725,0.455,0.2625,0.01,0.168333,0.2325,0.151667,0.0875,0.131667,0.0783333,0.0875,0.0625
3600,0.26,0.4825,0.2375,0.02,0.24,0.4075,0.275,0.0775,0.205,0.54,0.25,0.005,0.166667,0.229167,0.18,0.0791667,0.135833,0.0916667,0.0833333,0.0341667
3650,0.2675,0.4675,0.265,0,0.275,0.435,0.2475,0.0425,0.245,0.4725,0.2825,0,0.180833,0.2375,0.1575,0.0883333,0.145,0.0825,0.0941667,0.0141667
3700,0.255,0.5175,0.2275,0,0.2575,0.5025,0.2175,0.0225,0.245,0.51,0.24,0.005,0.170833,0.254167,0.17,0.0758333,0.1675,0.0725,0.08,0.00916667
3750,0.23,0.485,0.2425,0.0425,0.2625,0.375,0.2625,0.1,0.23,0.405,0.2725,0.0925,0.164167,0.238333,0.135,0.0808333,0.125,0.0875,0.0908333,0.0783333
3800,0.2375,0.435,0.2475,0.08,0.2725,0.365,0.2375,0.125,0.28,0.4225,0.2275,0.07,0.17,0.238333,0.140833,0.0825,0.121667,0.0791667,0.0758333,0.0916667
3850,0.2525,0.44,0.265,0.0425,0.2625,0.3075,0.245,0.185,0.285,0.4225,0.2475,0.045,0.171667,0.241667,0.140833,0.0883333,0.1025,0.0816667,0.0825,0.0908333
3900,0.24,0.4725,0.2725,0.015,0.22,0.3425,0.25,0.1875,0.2375,0.4825,0.245,0.035,0.153333,0.236667,0.160833,0.0908333,0.114167,0.0833333,0.0816667,0.0791667
3950,0.2275,0.3925,0.26,0.12,0.2625,0.295,0.24,0.2025,0.27,0.4,0.26,0.07,0.163333,0.220833,0.133333,0.0866667,0.0983333,0.08,0.0866667,0.130833
4000,0.2525,0.46,0.2475,0.04,0.2475,0.4025,0.2575,0.0925,0.245,0.4525,0.2525,0.05,0.166667,0.235,0.150833,0.0825,0.134167,0.0858333,0.0841667,0.0608333
4050,0.2775,0.4475,0.275,0,0.215,0.485,0.2875,0.0125,0.25,0.47,0.2725,0.0075,0.164167,0.2325,0.156667,0.0916667,0.161667,0.0958333,0.0908333,0.00666667
4100,0.2775,0.455,0.265,0.0025,0.25,0.4175,0.2625,0.07,0.2725,0.4925,0.225,0.01,0.175833,0.2425,0.164167,0.0883333,0.139167,0.0875,0.075,0.0275
4150,0.2675,0.405,0.2575,0.07,0.23,0.4075,0.235,0.1275,0.2325,0.4675,0.2475,0.0525,0.165833,0.2125,0.155833,0.0858333,0.135833,0.0783333,0.0825,0.0833333
4200,0.2225,0.27,0.265,0.2425,0.2475,0.27,0.28,0.2025,0.2275,0.2475,0.2275,0.2975,0.156667,0.165833,0.0825,0.0883333,0.09,0.0933333,0.0758333,0.2475
4250,0.2575,0.375,0.2625,0.105,0.285,0.295,0.255,0.165,0.2175,0.36,0.305,0.1175,0.180833,0.1975,0.12,0.0875,0.0983333,0.085,0.101667,0.129167
4300,0.235,0.5025,0.235,0.0275,0.28,0.36,0.2325,0.1275,0.2775,0.3975,0.2125,0.1125,0.171667,0.26,0.1325,0.0783333,0.12,0.0775,0.0708333,0.0891667
4350,0.275,0.415,0.24,0.07,0.265,0.3375,0.2175,0.18,0.2325,0.4225,0.2725,0.0725,0.18,0.215833,0.140833,0.08,0.1125,0.0725,0.0908333,0.1075
4400,0.2575,0.4225,0.2425,0.0775,0.285,0.3,0.235,0.18,0.2425,0.43,0.2725,0.055,0.180833,0.221667,0.143333,0.0808333,0.1,0.0783333,0.0908333,0.104167
4450,0.2575,0.45,0.2325,0.06,0.275,0.32,0.2275,0.1775,0.2575,0.405,0.245,0.0925,0.1775,0.235833,0.135,0.0775,0.106667,0.0758333,0.0816667,0.11
4500,0.2425,0.4275,0.22,0.11,0.2475,0.27,0.2525,0.23,0.24,0.4275,0.24,0.0925,0.163333,0.2225,0.1425,0.0733333,0.09,0.0841667,0.08,0.144167
4550,0.27,0.395,0.23,0.105,0.2675,0.305,0.23,0.1975,0.205,0.4875,0.225,0.0825,0.179167,0.2,0.1625,0.0766667,0.101667,0.0766667,0.075,0.128333
4600,0.265,0.4825,0.2225,0.03,0.2425,0.365,0.27,0.1225,0.2525,0.465,0.2225,0.06,0.169167,0.245,0.155,0.0741667,0.121667,0.09,0.0741667,0.0708333
4650,0.29,0.49,0.22,0,0.2275,0.42,0.2675,0.085,0.2275,0.48,0.2875,0.005,0.1725,0.239167,0.16,0.0733333,0.14,0.0891667,0.0958333,0.03
4700,0.2625,0.47,0.245,0.0225,0.2425,0.4,0.2225,0.135,0.2275,0.44,0.2825,0.05,0.168333,0.2325,0.146667,0.0816667,0.133333,0.0741667,0.0941667,0.0691667
4750,0.2675,0.44,0.29,0.0025,0.245,0.4875,0.2525,0.015,0.2275,0.48,0.2525,0.04,0.170833,0.2225,0.16,0.0966667,0.1625,0.0841667,0.0841667,0.0191667
4800,0.21,0.535,0.255,0,0.23,0.4925,0.2675,0.01,0.2275,0.565,0.2075,0,0.146667,0.254167,0.188333,0.085,0.164167,0.0891667,0.0691667,0.00333333
4850,0.235,0.495,0.245,0.025,0.2475,0.4525,0.23,0.07,0.235,0.5125,0.2125,0.04,0.160833,0.243333,0.170833,0.0816667,0.150833,0.0766667,0.0708333,0.045
4900,0.245,0.4925,0.24,0.0225,0.2775,0.375,0.2675,0.08,0.2675,0.4375,0.2325,0.0625,0.174167,0.253333,0.145833,0.08,0.125,0.0891667,0.0775,0.055
4950,0.25,0.3225,0.2575,0.17,0.265,0.2225,0.245,0.2675,0.3,0.34,0.245,0.115,0.171667,0.2075,0.113333,0.0858333,0.0741667,0.0816667,0.0816667,0.184167
5000,0.2575,0.4375,0.235,0.07,0.255,0.39,0.28,0.075,0.255,0.435,0.2525,0.0575,0.170833,0.230833,0.145,0.0783333,0.13,0.0933333,0.0841667,0.0675
5050,0.25,0.4375,0.2725,0.04,0.2575,0.3025,0.2775,0.1625,0.2725,0.435,0.275,0.0175,0.169167,0.236667,0.145,0.0908333,0.100833,0.0925,0.0916667,0.0733333
5100,0.24,0.4675,0.2525,0.04,0.2575,0.3575,0.22,0.165,0.2475,0.4125,0.265,0.075,0.165833,0.238333,0.1375,0.0841667,0.119167,0.0733333,0.0883333,0.0933333
5150,0.255,0.44,0.245,0.06,0.215,0.3575,0.2825,0.145,0.235,0.455,0.255,0.055,0.156667,0.225,0.151667,0.0816667,0.119167,0.0941667,0.085,0.0866667
5200,0.2525,0.4775,0.2375,0.0325,0.275,0.36,0.25,0.115,0.32,0.4225,0.235,0.0225,0.175833,0.265833,0.140833,0.0791667,0.12,0.0833333,0.0783333,0.0566667
5250,0.2075,0.455,0.255,0.0825,0.2325,0.365,0.24,0.1625,0.265,0.42,0.2575,0.0575,0.146667,0.24,0.14,0.085,0.121667,0.08,0.0858333,0.100833
5300,0.2725,0.3825,0.2425,0.1025,0.2075,0.3575,0.2325,0.2025,0.2375,0.3975,0.22,0.145,0.16,0.206667,0.1325,0.0808333,0.119167,0.0775,0.0733333,0.15
5350,0.215,0.4475,0.265,0.0725,0.2475,0.3225,0.28,0.15,0.2575,0.4375,0.225,0.08,0.154167,0.235,0.145833,0.0883333,0.1075,0.0933333,0.075,0.100833
5400,0.2325,0.3475,0.3025,0.1175,0.26,0.24,0.27,0.23,0.2525,0.32,0.265,0.1625,0.164167,0.2,0.106667,0.100833,0.08,0.09,0.0883333,0.17
5450,0.2425,0.3825,0.2125,0.1625,0.2475,0.2475,0.2875,0.2175,0.24,0.2975,0.3125,0.15,0.163333,0.2075,0.0991667,0.0708333,0.0825,0.0958333,0.104167,0.176667
5500,0.275,0.445,0.2225,0.0575,0.2175,0.3075,0.2475,0.2275,0.2375,0.4075,0.27,0.085,0.164167,0.2275,0.135833,0.0741667,0.1025,0.0825,0.09,0.123333
5550,0.2875,0.3075,0.2375,0.1675,0.26,0.2375,0.2525,0.25,0.1975,0.3875,0.2875,0.1275,0.1825,0.168333,0.129167,0.0791667,0.0791667,0.0841667,0.0958333,0.181667
5600,0.2375,0.4375,0.2225,0.1025,0.2225,0.2975,0.265,0.215,0.2625,0.4175,0.2425,0.0775,0.153333,0.233333,0.139167,0.0741667,0.0991667,0.0883333,0.0808333,0.131667
5650,0.2625,0.3175,0.245,0.175,0.3,0.2975,0.22,0.1825,0.2225,0.3325,0.2775,0.1675,0.1875,0.18,0.110833,0.0816667,0.0991667,0.0733333,0.0925,0.175
5700,0.2325,0.3975,0.255,0.115,0.2475,0.24,0.2475,0.265,0.225,0.4325,0.23,0.1125,0.16,0.2075,0.144167,0.085,0.08,0.0825,0.0766667,0.164167
5750,0.255,0.3875,0.205,0.1525,0.2575,0.27,0.24,0.2325,0.29,0.3125,0.245,0.1525,0.170833,0.225833,0.104167,0.0683333,0.09,0.08,0.0816667,0.179167
5800,0.25,0.3325,0.29,0.1275,0.2475,0.2825,0.26,0.21,0.275,0.3325,0.2525,0.14,0.165833,0.2025,0.110833,0.0966667,0.0941667,0.0866667,0.0841667,0.159167
5850,0.225,0.4775,0.2575,0.04,0.27,0.25,0.25,0.23,0.2725,0.4125,0.255,0.06,0.165,0.25,0.1375,0.0858333,0.0833333,0.0833333,0.085,0.11
5900,0.25,0.51,0.22,0.02,0.26,0.3825,0.2175,0.14,0.3425,0.3725,0.2325,0.0525,0.17,0.284167,0.124167,0.0733333,0.1275,0.0725,0.0775,0.0708333
5950,0.25,0.39,0.245,0.115,0.22,0.2775,0.2325,0.27,0.2375,0.38,0.245,0.1375,0.156667,0.209167,0.126667,0.0816667,0.0925,0.0775,0.0816667,0.174167
6000,0.2375,0.3475,0.2475,0.1675,0.2275,0.305,0.265,0.2025,0.27,0.345,0.2475,0.1375,0.155,0.205833,0.115,0.0825,0.101667,0.0883333,0.0825,0.169167
6050,0.265,0.325,0.2625,0.1475,0.2775,0.2825,0.2475,0.1925,0.24,0.3275,0.2525,0.18,0.180833,0.188333,0.109167,0.0875,0.0941667,0.0825,0.0841667,0.173333
6100,0.2375,0.5075,0.2325,0.0225,0.23,0.31,0.2225,0.2375,0.2575,0.4475,0.275,0.02,0.155833,0.255,0.149167,0.0775,0.103333,0.0741667,0.0916667,0.0933333
6150,0.22,0.4025,0.265,0.1125,0.26,0.2775,0.255,0.2075,0.255,0.3675,0.235,0.1425,0.16,0.219167,0.1225,0.0883333,0.0925,0.085,0.0783333,0.154167
6200,0.215,0.4025,0.2575,0.125,0.2575,0.29,0.2675,0.185,0.27,0.365,0.235,0.13,0.1575,0.224167,0.121667,0.0858333,0.0966667,0.0891667,0.0783333,0.146667
6250,0.24,0.2825,0.3,0.1775,0.2475,0.2375,0.2575,0.2575,0.2275,0.34,0.2375,0.195,0.1625,0.17,0.113333,0.1,0.0791667,0.0858333,0.0791667,0.21
6300,0.235,0.395,0.255,0.115,0.2225,0.3,0.2375,0.24,0.2825,0.39,0.235,0.0925,0.1525,0.225833,0.13,0.085,0.1,0.0791667,0.0783333,0.149167
6350,0.2575,0.3925,0.2725,0.0775,0.25,0.2875,0.2375,0.225,0.2325,0.4325,0.26,0.075,0.169167,0.208333,0.144167,0.0908333,0.0958333,0.0791667,0.0866667,0.125833
6400,0.205,0.415,0.29,0.09,0.245,0.3475,0.2475,0.16,0.28,0.4125,0.225,0.0825,0.15,0.231667,0.1375,0.0966667,0.115833,0.0825,0.075,0.110833
6450,0.26,0.3925,0.2725,0.075,0.2575,0.325,0.2225,0.195,0.21,0.46,0.26,0.07,0.1725,0.200833,0.153333,0.0908333,0.108333,0.0741667,0.0866667,0.113333
6500,0.21,0.45,0.265,0.075,0.2175,0.2925,0.2475,0.2425,0.255,0.43,0.24,0.075,0.1425,0.235,0.143333,0.0883333,0.0975,0.0825,0.08,0.130833
6550,0.2675,0.3125,0.2175,0.2025,0.275,0.2825,0.2525,0.19,0.2925,0.27,0.2725,0.165,0.180833,0.201667,0.09,0.0725,0.0941667,0.0841667,0.0908333,0.185833
6600,0.2575,0.415,0.24,0.0875,0.265,0.275,0.2575,0.2025,0.26,0.4225,0.255,0.0625,0.174167,0.225,0.140833,0.08,0.0916667,0.0858333,0.085,0.1175
6650,0.21,0.3875,0.24,0.1625,0.275,0.26,0.26,0.205,0.2425,0.3275,0.245,0.185,0.161667,0.21,0.109167,0.08,0.0866667,0.0866667,0.0816667,0.184167
6700,0.2725,0.31,0.275,0.1425,0.255,0.225,0.245,0.275,0.265,0.3425,0.24,0.1525,0.175833,0.191667,0.114167,0.0916667,0.075,0.0816667,0.08,0.19
6750,0.265,0.365,0.2525,0.1175,0.265,0.2825,0.255,0.1975,0.24,0.37,0.2525,0.1375,0.176667,0.201667,0.123333,0.0841667,0.0941667,0.085,0.0841667,0.150833
6800,0.2725,0.3625,0.2375,0.1275,0.2275,0.2875,0.2675,0.2175,0.245,0.3725,0.26,0.1225,0.166667,0.2025,0.124167,0.0791667,0.0958333,0.0891667,0.0866667,0.155833
6850,0.2525,0.355,0.26,0.1325,0.2525,0.2425,0.2725,0.2325,0.27,0.3625,0.265,0.1025,0.168333,0.208333,0.120833,0.0866667,0.0808333,0.0908333,0.0883333,0.155833
6900,0.2375,0.345,0.27,0.1475,0.275,0.245,0.2375,0.2425,0.26,0.36,0.2425,0.1375,0.170833,0.201667,0.12,0.09,0.0816667,0.0791667,0.0808333,0.175833
6950,0.265,0.42,0.2325,0.0825,0.23,0.285,0.2525,0.2325,0.26,0.435,0.23,0.075,0.165,0.226667,0.145,0.0775,0.095,0.0841667,0.0766667,0.13
