gen,CCHIHH_Full mean,CCHIHH_Full var,GDE mean,GDE var,CGA mean,CGA var,IMOMA mean,IMOMA var
5350,0.02737229,6.630837769000002e-07,0.02705392,1.618597396000003e-07,0.04281835,6.300230125000007e-07,0.047405430000000005,2.2912870701e-06
5400,0.0273502,6.737710459999999e-07,0.02704083,1.630505121000005e-07,0.04275054,5.880010623999991e-07,0.04740378,2.2944493115999994e-06
5450,0.02732777,6.852214200999992e-07,0.02701919,1.691563968999999e-07,0.04270177,5.945993901000011e-07,0.04740378,2.2944493115999994e-06
5500,0.02730978,6.982332196000005e-07,0.027004109999999998,1.665970508999999e-07,0.0426431,5.986511439999993e-07,0.04740126,2.2837805963999994e-06
5550,0.027296090000000002,6.933174189000002e-07,0.0269857,1.681018580000001e-07,0.042593160000000005,6.359258383999991e-07,0.04738137,2.3234258461e-06
5600,0.027273730000000003,7.020332820999996e-07,0.02696403,1.6486497410000023e-07,0.04250252,6.160260395999993e-07,0.047380450000000005,2.325530456499999e-06
5650,0.027256930000000002,7.055620901000005e-07,0.02694795,1.698841365000001e-07,0.04245041,5.969644709000006e-07,0.047380080000000005,2.326381171599999e-06
5700,0.02723711,7.191018069000008e-07,0.02693506,1.7294484640000058e-07,0.04237969,6.138753408999997e-07,0.04729217,2.2424227260999986e-06
5750,0.0272137,7.349871200000007e-07,0.026917990000000003,1.7182674889999975e-07,0.04229778,6.178556155999995e-07,0.047286430000000004,2.241778698099999e-06
5800,0.02718178,7.387538596000001e-07,0.02690232,1.7206095159999987e-07,0.042240860000000005,6.129625684000006e-07,0.047286129999999996,2.2420411260999996e-06
5850,0.02716608,7.382384496000001e-07,0.02688585,1.6945445450000012e-07,0.04217424,6.033437984000004e-07,0.047286129999999996,2.2420411260999996e-06
5900,0.02714901,7.388335288999992e-07,0.02686964,1.6608755840000028e-07,0.04210582,6.221263996000001e-07,0.047286129999999996,2.2420411260999996e-06
5950,0.02713101,7.525407308999991e-07,0.026853,1.6496627600000012e-07,0.04205386,6.035754943999986e-07,0.047174520000000005,2.2627024176000006e-06
6000,0.02711865,7.584295125000001e-07,0.026836910000000002,1.5961728490000018e-07,0.04199303,6.037584800999994e-07,0.04717127,2.2662782141e-06
6050,0.027111049999999998,7.618233304999998e-07,0.026818500000000002,1.588594519999999e-07,0.04189992,6.089629395999981e-07,0.04717127,2.2662782141e-06
6100,0.02708995,7.541784125000001e-07,0.02680234,1.6810989040000034e-07,0.04184619,5.938797949000002e-07,0.047112180000000003,2.3773060175999994e-06
6150,0.02707616,7.50517508400001e-07,0.026790429999999997,1.6359206410000017e-07,0.04177401,5.741975048999985e-07,0.047112169999999995,2.3773381341000004e-06
6200,0.02706215,7.588965965000007e-07,0.02677949,1.6616011690000016e-07,0.04169406,6.084229044000001e-07,0.04708293,2.3160423221000002e-06
