gen,GA mean,GA var,DE mean,DE var,GDE mean,GDE var,CCHIHH (non-stable) mean,CCHIHH (non-stable) var,CCHIHH (stable) mean,CCHIHH (stable) var
3000,55.790442857142864,5.1598639455780525e-05,55.670009523809526,0.00891773800453519,55.67145238095238,0.0003136405895691847,55.488928571428566,0.017638883945578394,55.467804761904766,0.07034640616780005
3050,55.790442857142864,5.1598639455780525e-05,55.670009523809526,0.00891773800453519,55.67096666666667,0.00031341555555555777,55.485414285714285,0.017599457414966123,55.46604761904762,0.0710860529705212
3100,55.790442857142864,5.1598639455780525e-05,55.66968571428571,0.008963194557823208,55.67062857142857,0.000330761088435372,55.483371428571424,0.017449354421768707,55.46471904761905,0.07163578344671159
3150,55.790442857142864,5.1598639455780525e-05,55.669204761904766,0.008893605215419629,55.670090476190474,0.0003264313378684773,55.480219047619045,0.017362276780045163,55.46354285714286,0.07213132149659812
3200,55.79025238095238,4.7350113378685223e-05,55.669,0.008856941904762026,55.67006190476191,0.00032648140589568804,55.476471428571436,0.017369459183673434,55.4623619047619,0.07262481569160972
3250,55.789857142857144,4.9945306122450445e-05,55.6687380952381,0.00882226426303869,55.66906190476191,0.00033877759637189155,55.47269523809524,0.017153766167800535,55.4602,0.07355635523809471
3300,55.7895380952381,5.005664399092986e-05,55.667857142857144,0.008747505306122554,55.66887142857143,0.00033251727891157857,55.46945238095238,0.017045200589569164,55.45866190476191,0.07420189092970497
3350,55.7895380952381,5.005664399092986e-05,55.666828571428574,0.008665061088435533,55.66858095238095,0.00033580916099774385,55.46624285714285,0.017143141496598527,55.4575619047619,0.07467120426303814
3400,55.7890380952381,5.596616780045701e-05,55.665771428571425,0.008562476326530781,55.66800952380952,0.0003442418140589729,55.4636619047619,0.017195526167800294,55.45581904761905,0.07542524439909284
3450,55.78889047619048,5.72103854875307e-05,55.664271428571425,0.008428604897959302,55.66764285714286,0.0003381586394557988,55.460123809523814,0.017074071337868504,55.454457142857144,0.07601203387755084
3500,55.78889047619048,5.72103854875307e-05,55.66365714285714,0.008374319591836843,55.66764285714286,0.0003381586394557988,55.45674761904762,0.016754462494331043,55.452819047619045,0.07672363678004498
3550,55.78855238095238,5.164630385487754e-05,55.662909523809525,0.008355772290249506,55.667123809523815,0.0003392065759637287,55.45331428571429,0.016502602176870843,55.45147142857143,0.07731645251700645
3600,55.78855238095238,5.164630385487754e-05,55.662528571428574,0.008331688707483059,55.66657142857143,0.00032472870748301226,55.4491619047619,0.015852790929705308,55.44992857142857,0.07797952775510146
3650,55.78855238095238,5.164630385487754e-05,55.66222380952381,0.008288478004535273,55.666114285714286,0.00033353455782313905,55.44572380952381,0.015618289433106487,55.4487380952381,0.07851802902494269
3700,55.78822857142857,5.219061224489952e-05,55.6608,0.008202946666666792,55.66561428571429,0.00035599455782314515,55.44173333333333,0.015207072698412477,55.44731428571428,0.07914335551020386
3750,55.78808095238095,5.166058956916287e-05,55.6601238095238,0.008139256099773286,55.66540952380952,0.0003526599092970704,55.43779047619048,0.014964477052154061,55.44598095238096,0.07974144058956892
3800,55.78772857142857,5.326965986394581e-05,55.65972857142857,0.008101605850340119,55.66538095238095,0.0003537796371882244,55.43330952380953,0.01466700562358267,55.44473333333334,0.0802968269841268
3850,55.78758095238095,5.595773242630123e-05,55.65956666666666,0.008096677460317482,55.66507142857143,0.0003580829931972967,55.42825714285715,0.014281785306122547,55.44389523809524,0.08066897092970492
3900,55.787214285714285,6.26002721088394e-05,55.65893333333334,0.008076320317460351,55.66485238095238,0.0003637463038549093,55.42395238095238,0.013938715827664224,55.441985714285714,0.08151548027210843
3950,55.787214285714285,6.26002721088394e-05,55.658652380952375,0.008024730113378706,55.664500000000004,0.00038226476190478834,55.42045238095238,0.013661213922902376,55.44141904761905,0.08177680916099742
4000,55.7870238095238,6.096943310657312e-05,55.65784285714285,0.008085799591836765,55.664057142857146,0.00038011768707485666,55.41510952380953,0.013239741814059035,55.44002857142858,0.08240651823129241
