gen,bandit_adaptive mean,bandit_adaptive var,fixed_ops mean,fixed_ops var
6400,0.026999659999999998,8.007350084e-07,0.03423453,2.459227221000001e-07
6450,0.026966570000000002,7.577491381000003e-07,0.0342304,2.471354760000002e-07
6500,0.026947660000000002,7.646771224e-07,0.034219690000000004,2.3984002490000045e-07
6550,0.026932679999999997,7.622817295999993e-07,0.03421648,2.4075832160000044e-07
6600,0.02691613,7.492054480999995e-07,0.03421363,2.414144160999996e-07
6650,0.026898830000000002,7.477874760999999e-07,0.034210580000000004,2.4087442559999946e-07
6700,0.02688218,7.611244375999992e-07,0.034204639999999994,2.4083463839999893e-07
6750,0.02686892,7.763747795999998e-07,0.034199190000000004,2.405996948999988e-07
6800,0.02684956,7.926178444000001e-07,0.034195750000000004,2.4066469849999945e-07
6850,0.0268401,7.993581519999995e-07,0.03419087,2.4446780409999954e-07
6900,0.026820709999999998,8.094640548999998e-07,0.03418761,2.401099408999999e-07
6950,0.026806029999999998,8.240030280999998e-07,0.03417831,2.3782509089999973e-07
7000,0.02679198,8.235411435999997e-07,0.0341664,2.3785384400000037e-07
7050,0.02677662,8.161375055999999e-07,0.0341571,2.368594039999986e-07
7100,0.02675214,8.243895823999999e-07,0.03414991,2.4039072089999915e-07
7150,0.0267277,8.397259199999998e-07,0.03414452,2.3718371960000018e-07
7200,0.02670524,8.225803004000003e-07,0.03413572,2.3409216360000017e-07
7250,0.026689360000000002,8.208766863999998e-07,0.03412988,2.291969416000006e-07
7300,0.02667088,8.211935536000009e-07,0.0341213,2.2396125800000046e-07
7350,0.026658349999999997,8.224934104999996e-07,0.03411768,2.2235944560000012e-07
7400,0.02664281,8.279180749000004e-07,0.03410158,2.168818115999993e-07
7450,0.02662926,8.320048563999996e-07,0.03409417,2.095176020999999e-07
7500,0.0266105,8.267085879999997e-07,0.03409047,2.0766892010000085e-07
7550,0.026598339999999998,8.208595043999994e-07,0.03408052,2.1203489159999974e-07
7600,0.02658763,8.135644321e-07,0.034068350000000004,1.9884208450000047e-07
7650,0.02658085,8.08636892500001e-07,0.034062629999999997,1.9765846210000007e-07
7700,0.02657288,8.079394976000002e-07,0.0340574,1.9771761799999994e-07
7750,0.026562679999999998,8.055140915999994e-07,0.03405513,1.9543053009999964e-07
7800,0.026558019999999998,8.043334535999997e-07,0.034053690000000005,1.9542638489999925e-07
7850,0.02654683,8.095331101000009e-07,0.03404729,1.9729331289999901e-07
7900,0.02653548,8.108738035999999e-07,0.03404183,2.0010898809999893e-07
7950,0.02652386,8.072130064000001e-07,0.034036670000000005,2.001157021e-07
8000,0.02650768,7.975783375999997e-07,0.034035539999999996,1.9999035239999997e-07
8050,0.02648871,7.919398428999997e-07,0.03402656,2.0453970040000043e-07
8100,0.026477030000000002,7.831478061000017e-07,0.03401973,2.086148641000007e-07
8150,0.026465289999999995,7.690674628999997e-07,0.0340072,2.1435189400000114e-07
8200,0.026450400000000002,7.565814980000006e-07,0.034005419999999995,2.1273365759999942e-07
8250,0.026438,7.558359699999999e-07,0.03399893,2.0757085609999995e-07
8300,0.02642763,7.575164341000003e-07,0.03398924,2.1332150040000072e-07
8350,0.02641515,7.669259324999995e-07,0.03398172,2.148502735999998e-07
8400,0.02641105,7.681168184999997e-07,0.03397263,2.1396022210000087e-07
8450,0.02639407,7.53771488099999e-07,0.03396712,2.14993957600001e-07
8500,0.026382830000000003,7.54884078099999e-07,0.03395644,2.1971266239999915e-07
8550,0.02637373,7.539300320999995e-07,0.03395278,2.1744931960000068e-07
8600,0.02636085,7.559911564999996e-07,0.03394799,2.2004283489999984e-07
8650,0.026353130000000002,7.564685640999994e-07,0.03393902,2.2784153960000035e-07
8700,0.02634363,7.520391040999996e-07,0.03393499,2.231021408999995e-07
8750,0.026327109999999997,7.494256649e-07,0.03392297,2.335451161000003e-07
8800,0.0263129,7.445346079999998e-07,0.03391436,2.302169784000004e-07
8850,0.026299319999999998,7.473523755999991e-07,0.03389922,2.4259189359999927e-07
