gen,CCHIHH_stable_migration_gate mean,CCHIHH_stable_migration_gate var,GA mean,GA var,GDE mean,GDE var,GA-SLHH mean,GA-SLHH var,QPHH mean,QPHH var
5300,54.66229,0.0002057628999999837,55.26649999999999,0.008534847999999925,54.783550000000005,0.00021103049999999027,55.728809999999996,0.00023697289999998345,55.66671,0.003277752899999961
5350,54.66226,0.00020614239999998727,55.26536,0.008636108399999927,54.783550000000005,0.00021103049999999027,55.72835,0.0002591265000000013,55.66609,0.0033613289000000526
5400,54.66226,0.00020614239999998727,55.26444,0.00864944039999991,54.783550000000005,0.00021103049999999027,55.72835,0.0002591265000000013,55.66609,0.0033613289000000526
5450,54.66226,0.00020614239999998727,55.263329999999996,0.00859779209999994,54.783550000000005,0.00021103049999999027,55.72835,0.0002591265000000013,55.66566,0.00340426440000006
5500,54.66217,0.0002076660999999893,55.26216000000001,0.008603002399999952,54.783550000000005,0.00021103049999999027,55.72792,0.000261005600000004,55.66486,0.0035157903999998965
5550,54.66214,0.00020805639999998366,55.26143,0.008643356099999928,54.783550000000005,0.00021103049999999027,55.72792,0.000261005600000004,55.66486,0.0035157903999998965
5600,54.66214,0.00020805639999998366,55.26035,0.00852984649999983,54.783550000000005,0.00021103049999999027,55.727790000000006,0.0002584589000000025,55.66449,0.00358033689999993
5650,54.66214,0.00020805639999998366,55.25918,0.00862084959999987,54.783550000000005,0.00021103049999999027,55.72717,0.0002626501000000071,55.66449,0.00358033689999993
5700,54.66214,0.00020805639999998366,55.2581,0.008683959999999939,54.783550000000005,0.00021103049999999027,55.72717,0.0002626501000000071,55.66449,0.00358033689999993
5750,54.66214,0.00020805639999998366,55.2577,0.008707399999999966,54.783550000000005,0.00021103049999999027,55.72659,0.00025427490000000375,55.664120000000004,0.003621817599999952
5800,54.66214,0.00020805639999998366,55.25632,0.008572471599999909,54.783550000000005,0.00021103049999999027,55.72631,0.00026863890000000787,55.663689999999995,0.0036419028999999568
5850,54.66180000000001,0.000194979999999989,55.25555000000001,0.008423602499999957,54.783550000000005,0.00021103049999999027,55.72591,0.0002661669000000071,55.663689999999995,0.0036419028999999568
5900,54.66149,0.0001997508999999932,55.25410000000001,0.00838025600000018,54.783550000000005,0.00021103049999999027,55.72591,0.0002661669000000071,55.663689999999995,0.0036419028999999568
5950,54.661159999999995,0.0001923424000000018,55.252930000000006,0.00822740410000017,54.783550000000005,0.00021103049999999027,55.72591,0.0002661669000000071,55.663689999999995,0.0036419028999999568
6000,54.66079,0.00018264889999998173,55.251940000000005,0.008259486400000193,54.783550000000005,0.00021103049999999027,55.72591,0.0002661669000000071,55.66335,0.003603656499999991
6050,54.66014,0.0001957484000000123,55.25055,0.00837063650000019,54.783550000000005,0.00021103049999999027,55.725660000000005,0.00026778440000000634,55.66301,0.0035747428999999982
6100,54.66014,0.0001957484000000123,55.24913,0.008334034100000163,54.783550000000005,0.00021103049999999027,55.725660000000005,0.00026778440000000634,55.66301,0.0035747428999999982
6150,54.66014,0.0001957484000000123,55.24811,0.008200770900000029,54.783550000000005,0.00021103049999999027,55.725660000000005,0.00026778440000000634,55.66236,0.003578718399999921
6200,54.66014,0.0001957484000000123,55.24636,0.00834843440000001,54.783550000000005,0.00021103049999999027,55.725289999999994,0.0002678769000000045,55.66236,0.003578718399999921
6250,54.66014,0.0001957484000000123,55.244479999999996,0.007966039600000016,54.783550000000005,0.00021103049999999027,55.72434,0.00028358040000001186,55.66202,0.0035268955999999347
6300,54.65983,0.00018994210000000474,55.24411,0.008015430900000044,54.78315,0.00022131049999998278,55.72434,0.00028358040000001186,55.66202,0.0035268955999999347
6350,54.65952,0.0001980795999999941,55.242650000000005,0.008071390500000043,54.78315,0.00022131049999998278,55.723699999999994,0.0002845020000000087,55.66202,0.0035268955999999347
6400,54.65952,0.0001980795999999941,55.24191,0.008086456900000037,54.78315,0.00022131049999998278,55.7236,0.0002846320000000094,55.661249999999995,0.003617886499999932
6450,54.659209999999995,0.00020528089999998652,55.24074,0.008123972400000025,54.78315,0.00022131049999998278,55.723530000000004,0.00028632809999999686,55.66088,0.0035719435999999063
6500,54.659209999999995,0.00020528089999998652,55.24006000000001,0.008110992400000067,54.78315,0.00022131049999998278,55.723530000000004,0.00028632809999999686,55.66088,0.0035719435999999063
6550,54.659209999999995,0.00020528089999998652,55.239700000000006,0.008138794000000086,54.78315,0.00022131049999998278,55.72341,0.0002922488999999833,55.66088,0.0035719435999999063
6600,54.659209999999995,0.00020528089999998652,55.238969999999995,0.00819063010000007,54.78315,0.00022131049999998278,55.7232,0.00029302799999998393,55.66056999999999,0.0036113600999999503
6650,54.659209999999995,0.00020528089999998652,55.236810000000006,0.008063456900000172,54.78315,0.00022131049999998278,55.722159999999995,0.0003134824000000049,55.65986,0.003681664399999937
6700,54.659180000000006,0.00020695759999996265,55.235299999999995,0.008124632000000185,54.78315,0.00022131049999998278,55.722159999999995,0.0003134824000000049,55.65986,0.003681664399999937
6750,54.659180000000006,0.00020695759999996265,55.23422000000001,0.00819186360000022,54.78315,0.00022131049999998278,55.722159999999995,0.0003134824000000049,55.65955,0.0036958344999999206
6800,54.659180000000006,0.00020695759999996265,55.233889999999995,0.008219256900000246,54.78315,0.00022131049999998278,55.722159999999995,0.0003134824000000049,55.65955,0.0036958344999999206
6850,54.659180000000006,0.00020695759999996265,55.23216,0.00812031039999998,54.78315,0.00022131049999998278,55.72204000000001,0.0003162664000000149,55.65955,0.0036958344999999206
6900,54.659180000000006,0.00020695759999996265,55.23142,0.008123133600000002,54.78315,0.00022131049999998278,55.72204000000001,0.0003162664000000149,55.65955,0.0036958344999999206
6950,54.659180000000006,0.00020695759999996265,55.23142,0.008123133600000002,54.78315,0.00022131049999998278,55.721759999999996,0.00029235440000001053,55.65955,0.0036958344999999206
7000,54.659029999999994,0.00020839009999996938,55.23096,0.007937200399999867,54.78315,0.00022131049999998278,55.72107999999999,0.00029836560000000956,55.65955,0.0036958344999999206
7050,54.659029999999994,0.00020839009999996938,55.22988,0.0078096376000001385,54.78315,0.00022131049999998278,55.72107999999999,0.00029836560000000956,55.65955,0.0036958344999999206
7100,54.659029999999994,0.00020839009999996938,55.22948,0.007867221600000106,54.78315,0.00022131049999998278,55.7208,0.0002991160000000077,55.65955,0.0036958344999999206
7150,54.659029999999994,0.00020839009999996938,55.22811,0.0073834068999998614,54.78315,0.00022131049999998278,55.7208,0.0002991160000000077,55.65955,0.0036958344999999206
7200,54.65872,0.0002265715999999887,55.227779999999996,0.0073673655999998465,54.78315,0.00022131049999998278,55.719899999999996,0.000350326000000015,55.65955,0.0036958344999999206
7250,54.65872,0.0002265715999999887,55.22642,0.007279169599999977,54.78315,0.00022131049999998278,55.719899999999996,0.000350326000000015,55.659119999999994,0.003752495599999932
7300,54.65841,0.00022372889999998456,55.224540000000005,0.0071536843999998895,54.78315,0.00022131049999998278,55.719899999999996,0.000350326000000015,55.659090000000006,0.0037469249000000107
7350,54.65841,0.00022372889999998456,55.22386,0.00720577839999986,54.78315,0.00022131049999998278,55.719899999999996,0.000350326000000015,55.659090000000006,0.0037469249000000107
7400,54.65841,0.00022372889999998456,55.222500000000004,0.0070824480000000745,54.78315,0.00022131049999998278,55.719899999999996,0.000350326000000015,55.659090000000006,0.0037469249000000107
7450,54.658069999999995,0.00023035209999998393,55.222069999999995,0.006877454100000041,54.78315,0.00022131049999998278,55.719899999999996,0.000350326000000015,55.65872,0.0036907255999999817
7500,54.658069999999995,0.00023035209999998393,55.22056,0.007005692400000034,54.78315,0.00022131049999998278,55.71947,0.00035181810000001337,55.65838,0.003628471599999866
7550,54.658069999999995,0.00023035209999998393,55.219730000000006,0.007086274100000016,54.78315,0.00022131049999998278,55.71912999999999,0.0003580741000000137,55.65764,0.003732678399999826
7600,54.658069999999995,0.00023035209999998393,55.21819000000001,0.0069763128999998526,54.78315,0.00022131049999998278,55.71912999999999,0.0003580741000000137,55.65764,0.003732678399999826
7650,54.658069999999995,0.00023035209999998393,55.217380000000006,0.006759777599999868,54.78315,0.00022131049999998278,55.719100000000005,0.0003587260000000045,55.65764,0.003732678399999826
7700,54.658069999999995,0.00023035209999998393,55.21661,0.00681514889999989,54.78315,0.00022131049999998278,55.71888,0.0003538376000000001,55.65764,0.003732678399999826
