gen,CCHIHH_Full mean,CCHIHH_Full var,CGA mean,CGA var,IMOMA mean,IMOMA var,DSAC_DE mean,DSAC_DE var
4800,0.3431107,6.995660099999983e-07,0.3611161,4.041474490000004e-06,0.37972229999999996,1.6192314100000126e-06,0.3305525,4.796212250000028e-06
4850,0.3430639,7.102220899999922e-07,0.36088529999999996,4.330102409999984e-06,0.37965079999999995,1.377412160000014e-06,0.33047550000000003,4.7479116499999894e-06
4900,0.3430618,7.041965599999942e-07,0.3607343,4.167020410000035e-06,0.37965079999999995,1.377412160000014e-06,0.33036279999999996,4.6780045600000055e-06
4950,0.3430618,7.041965599999942e-07,0.3605525,4.412453049999988e-06,0.37965079999999995,1.377412160000014e-06,0.3302501,4.682015890000035e-06
5000,0.3430414,7.364530399999918e-07,0.36042589999999997,4.202575289999989e-06,0.3795446,1.4026628400000184e-06,0.3301733,4.5554592100000355e-06
5050,0.3430414,7.364530399999918e-07,0.3602665,4.571243849999999e-06,0.37948729999999997,1.4963552100000198e-06,0.33006729999999995,4.521154010000032e-06
5100,0.342976,7.011599999999875e-07,0.3601583,4.4213336099999925e-06,0.37948729999999997,1.4963552100000198e-06,0.3299577,4.532336810000018e-06
5150,0.3429514,7.027360399999883e-07,0.35997840000000003,4.512828639999983e-06,0.3794649,1.528974090000021e-06,0.32983660000000004,4.566867839999992e-06
5200,0.3429514,7.027360399999883e-07,0.3598579,4.338505489999994e-06,0.3794649,1.528974090000021e-06,0.3297588,4.309959559999981e-06
5250,0.3429494,7.078216399999934e-07,0.359611,5.14726959999999e-06,0.3794649,1.528974090000021e-06,0.3296765,4.271034449999981e-06
5300,0.3429086,7.864840399999926e-07,0.3595252,4.802154759999999e-06,0.37942,1.5923872000000135e-06,0.3295895,4.21423145000004e-06
5350,0.3429086,7.864840399999926e-07,0.3593904,5.007203040000008e-06,0.3793669,1.5699062900000177e-06,0.32950240000000003,4.295373640000044e-06
5400,0.3428616,7.844062399999923e-07,0.359321,5.0843024000000305e-06,0.3793669,1.5699062900000177e-06,0.32939229999999997,4.1792422100000425e-06
5450,0.3428616,7.844062399999923e-07,0.3592309,5.490338290000029e-06,0.37934640000000003,1.5919294400000127e-06,0.3293143,4.100498410000046e-06
5500,0.3428616,7.844062399999923e-07,0.3590228,4.688162960000027e-06,0.379326,1.643019200000022e-06,0.32927209999999996,3.964966290000051e-06
5550,0.3428616,7.844062399999923e-07,0.3589656,4.571440240000029e-06,0.379326,1.643019200000022e-06,0.3291861,3.7054848900000203e-06
5600,0.3428616,7.844062399999923e-07,0.358841,4.791588199999999e-06,0.3792974,1.6606768400000234e-06,0.3290986,3.678625439999974e-06
5650,0.3428616,7.844062399999923e-07,0.35873879999999997,4.692103560000014e-06,0.3792688,1.7187405600000251e-06,0.3289936,3.6663430399999494e-06
5700,0.3428595,7.903116499999902e-07,0.3586631,4.741838690000035e-06,0.3792688,1.7187405600000251e-06,0.3289029,3.487805289999997e-06
5750,0.3428595,7.903116499999902e-07,0.35856720000000003,4.81336056000001e-06,0.3792688,1.7187405600000251e-06,0.3287925,3.35943705000003e-06
5800,0.3428575,7.931496499999852e-07,0.3584875,4.7564134499999985e-06,0.3792647,1.7294436100000141e-06,0.3287198,3.2949483600000124e-06
5850,0.3428575,7.931496499999852e-07,0.3583037,4.820452610000009e-06,0.3792218,1.8348609599999967e-06,0.32861280000000004,3.305879759999993e-06
5900,0.3428514,7.765936399999911e-07,0.35818950000000005,4.728808850000004e-06,0.3792218,1.8348609599999967e-06,0.32852139999999996,3.2264116400000013e-06
5950,0.3428494,7.822592399999968e-07,0.3581589,4.6411614900000165e-06,0.3792218,1.8348609599999967e-06,0.3284151,3.202150289999988e-06
6000,0.3428494,7.822592399999968e-07,0.3580425,4.19165424999998e-06,0.37914630000000005,1.6476070099999919e-06,0.3283307,3.168601209999992e-06
6050,0.3428494,7.822592399999968e-07,0.3579691,4.294960689999984e-06,0.37914630000000005,1.6476070099999919e-06,0.3282342,3.1185209600000166e-06
6100,0.3428494,7.822592399999968e-07,0.3578157,4.0664106100000185e-06,0.37914630000000005,1.6476070099999919e-06,0.3281575,3.155857250000014e-06
6150,0.3428494,7.822592399999968e-07,0.3577503,3.975544610000062e-06,0.3790973,1.644206410000007e-06,0.3280702,3.146990360000025e-06
6200,0.3428289,7.540368899999958e-07,0.357638,4.228001000000009e-06,0.3790728,1.679219360000014e-06,0.3279609,3.1424108899999975e-06
6250,0.342788,8.463339999999905e-07,0.3574563,4.159982610000006e-06,0.37902990000000003,1.8029306900000225e-06,0.3279065,3.1540078499999908e-06
6300,0.342788,8.463339999999905e-07,0.35740310000000003,4.22588249000003e-06,0.37898489999999996,1.7003666900000215e-06,0.3278231,2.9690902899999918e-06
6350,0.342788,8.463339999999905e-07,0.3572704,3.982413839999993e-06,0.37898489999999996,1.7003666900000215e-06,0.3277527,2.908975609999997e-06
6400,0.342788,8.463339999999905e-07,0.3571478,4.042492360000025e-06,0.378897,1.8994514000000136e-06,0.3276606,2.8586262399999877e-06
6450,0.342788,8.463339999999905e-07,0.357101,4.096912400000027e-06,0.378897,1.8994514000000136e-06,0.3276142,2.9641997599999927e-06
6500,0.342788,8.463339999999905e-07,0.3570193,4.007572809999997e-06,0.3788459,1.974665490000012e-06,0.3275553,2.900678209999989e-06
6550,0.342788,8.463339999999905e-07,0.3569253,4.0812820099999966e-06,0.3788459,1.974665490000012e-06,0.3275215,2.931873049999987e-06
6600,0.342786,8.463539999999904e-07,0.3568477,3.884893609999984e-06,0.3788459,1.974665490000012e-06,0.32744070000000003,2.8856904099999855e-06
6650,0.3427655,9.143422499999934e-07,0.3567742,3.6381873599999907e-06,0.3788214,2.036412840000012e-06,0.3273813,2.9047354100000087e-06
6700,0.3427655,9.143422499999934e-07,0.3567435,3.6775870499999945e-06,0.3787745,2.1326406500000106e-06,0.3272811,2.900230089999994e-06
6750,0.3427655,9.143422499999934e-07,0.35666600000000004,3.652848000000034e-06,0.37863569999999996,2.6961964100000076e-06,0.3272308,2.901167960000002e-06
6800,0.3427655,9.143422499999934e-07,0.356576,3.560525600000018e-06,0.37863569999999996,2.6961964100000076e-06,0.32718579999999997,2.8138881599999993e-06
6850,0.3427655,9.143422499999934e-07,0.356482,3.428556600000003e-06,0.37863569999999996,2.6961964100000076e-06,0.32712559999999996,2.7858924400000343e-06
6900,0.3427635,9.213802500000003e-07,0.35637989999999997,3.3247812900000123e-06,0.37863569999999996,2.6961964100000076e-06,0.3270887,2.680774210000002e-06
6950,0.3427635,9.213802500000003e-07,0.35625929999999995,3.0542528099999876e-06,0.3786132,2.7540641600000013e-06,0.32703819999999995,2.6218477600000327e-06
7000,0.3427635,9.213802500000003e-07,0.35616949999999997,2.9737684499999982e-06,0.3785867,2.640138009999995e-06,0.3269898,2.5588219600000093e-06
7050,0.3427614,9.149498400000024e-07,0.3560981,2.9278028900000087e-06,0.3785091,2.634558089999989e-06,0.3269394,2.53371564000002e-06
7100,0.3427308,9.536507600000017e-07,0.3560204,3.004706040000005e-06,0.3785091,2.634558089999989e-06,0.3268888,2.48717736000001e-06
7150,0.3427063,8.947732099999902e-07,0.3559449,3.1010840899999944e-06,0.3784621,2.412116489999976e-06,0.32678050000000003,2.285064250000007e-06
7200,0.3426818,8.667609599999902e-07,0.3558815,3.178597649999985e-06,0.3784621,2.412116489999976e-06,0.32673230000000003,2.290530210000019e-06
7250,0.3426613,8.886160099999907e-07,0.3558407,3.077757209999977e-06,0.3784376,2.3119286399999784e-06,0.3266439,2.2775644899999925e-06
7300,0.3426613,8.886160099999907e-07,0.3557652,2.983967359999978e-06,0.3783784,2.29345823999998e-06,0.32657569999999997,2.2024488099999806e-06
7350,0.3426613,8.886160099999907e-07,0.3556938,2.9600665599999768e-06,0.3783784,2.29345823999998e-06,0.3265149,2.204482489999979e-06
7400,0.3426409,9.178736899999873e-07,0.3556221,3.087944889999961e-06,0.3783784,2.29345823999998e-06,0.3264917,2.2187412099999786e-06
7450,0.3426409,9.178736899999873e-07,0.35561600000000004,3.112998199999974e-06,0.3783784,2.29345823999998e-06,0.326419,2.199186799999987e-06
7500,0.34262040000000005,8.986918399999916e-07,0.3555302,2.9173189599999832e-06,0.3783784,2.29345823999998e-06,0.32636950000000003,2.1482594499999736e-06
7550,0.3426,8.971087999999927e-07,0.355422,2.9562194000000015e-06,0.3783784,2.29345823999998e-06,0.3263025,2.0407306499999735e-06
7600,0.342598,8.90412799999986e-07,0.35541999999999996,2.94485139999999e-06,0.3783784,2.29345823999998e-06,0.3262554,2.0474368399999834e-06
