gen,migration_true mean,migration_true var,migration_false mean,migration_false var
4200,0.04008071,1.9474515388999994e-06,0.04874889,1.0293603686900004e-05
4250,0.04004216,1.9496729104000007e-06,0.048700690000000005,1.0393029782900001e-05
4300,0.039995249999999996,1.9504471565e-06,0.04866101,1.0440652136900006e-05
4350,0.039956210000000006,1.976541680900001e-06,0.04862865,1.0526970128500003e-05
4400,0.03990085,2.020707780499999e-06,0.04856212,1.0471249217599999e-05
4450,0.03986231,2.0636471289000008e-06,0.04853041,1.0448916482900005e-05
4500,0.03983169,2.1144293629e-06,0.0484884,1.0389257792e-05
4550,0.03981392,2.144316933600002e-06,0.048437469999999996,1.0282790290100003e-05
4600,0.03980207,2.1598528881000003e-06,0.04840428,1.0280868601600002e-05
4650,0.039764129999999995,2.1829181321000033e-06,0.048338439999999996,1.00480709164e-05
4700,0.0397285,2.241857543999998e-06,0.04827552,1.0043964129600006e-05
4750,0.039713530000000004,2.2616896920999988e-06,0.04820779,9.665468492899998e-06
4800,0.039693259999999994,2.2782540223999975e-06,0.04816537,9.759362822099998e-06
4850,0.03968319,2.2978809928999964e-06,0.04811832,9.7408875716e-06
4900,0.03965328,2.350596587599998e-06,0.048047610000000004,1.0193523122899998e-05
4950,0.03963466,2.3781434323999988e-06,0.04800479,1.0168646026900008e-05
5000,0.03961806,2.403917562400001e-06,0.047929719999999995,9.876462479599994e-06
5050,0.03958968,2.4385274476000006e-06,0.047870630000000004,9.822172620099999e-06
5100,0.03957931,2.4573769108999995e-06,0.04775784,1.0149475230399992e-05
5150,0.039560490000000004,2.4913674169000004e-06,0.047721429999999995,1.0281162444100001e-05
5200,0.039533620000000005,2.533133931600001e-06,0.047702680000000004,1.0213816531599996e-05
5250,0.03951883,2.5647762361000034e-06,0.04765769,1.0295361322899998e-05
5300,0.03950152,2.589183491600001e-06,0.04761863,1.03252928281e-05
5350,0.0394836,2.6078120540000023e-06,0.04754087,1.0183273636099997e-05
5400,0.03946003,2.622703476100003e-06,0.04750302,1.0114804833600002e-05
5450,0.03942159,2.6702975069000027e-06,0.04747613,1.0147172040100002e-05
5500,0.0394025,2.697228754000002e-06,0.04746546,1.0201227526400004e-05
5550,0.03937678,2.722136097600002e-06,0.04743761,1.0212930422900005e-05
5600,0.039362350000000004,2.749460338500001e-06,0.04741705,1.0231952136500003e-05
5650,0.039350829999999996,2.770273956100001e-06,0.047406340000000005,1.0249722520400005e-05
5700,0.03933031,2.788971708900003e-06,0.047392420000000005,1.03175085556e-05
5750,0.039311780000000004,2.8220813396000036e-06,0.04738346,1.0407883696399995e-05
5800,0.0392966,2.851486742000002e-06,0.04735761,1.0352467204900007e-05
5850,0.03927833,2.8625783381e-06,0.04732527,1.04026714881e-05
5900,0.039255620000000005,2.898373379600001e-06,0.04730324,1.0588841596400003e-05
