Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 3 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_100.txt
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 3
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_100.txt"
Gen 1400: best_fit = 55.3806
Gen 1450: best_fit = 55.376
Gen 1500: best_fit = 55.376
Gen 1550: best_fit = 55.368
Gen 1600: best_fit = 55.3612
Gen 1650: best_fit = 55.3541
Gen 1700: best_fit = 55.3498
Gen 1750: best_fit = 55.3458
Gen 1800: best_fit = 55.3402
Gen 1850: best_fit = 55.3307
Gen 1900: best_fit = 55.3276
Gen 1950: best_fit = 55.323
Gen 2000: best_fit = 55.3159
Gen 2050: best_fit = 55.3122
Gen 2100: best_fit = 55.3085
Gen 2150: best_fit = 55.3039
Gen 2200: best_fit = 55.3039
Gen 2250: best_fit = 55.2968
Gen 2300: best_fit = 55.2928
Gen 2350: best_fit = 55.2891
Gen 2400: best_fit = 55.286
Gen 2450: best_fit = 55.2786
Gen 2500: best_fit = 55.2746
Gen 2550: best_fit = 55.2746
Gen 2600: best_fit = 55.2709
Gen 2650: best_fit = 55.2678
Gen 2700: best_fit = 55.2678
Gen 2750: best_fit = 55.2645
Gen 2800: best_fit = 55.2614
Gen 2850: best_fit = 55.2614
Gen 2900: best_fit = 55.2571
Gen 2950: best_fit = 55.2571
Gen 3000: best_fit = 55.2528
Gen 3050: best_fit = 55.2503
Gen 3100: best_fit = 55.2503
Gen 3150: best_fit = 55.2503
Gen 3200: best_fit = 55.2503
Gen 3250: best_fit = 55.2463
Gen 3300: best_fit = 55.246
Gen 3350: best_fit = 55.246
Gen 3400: best_fit = 55.2447
Gen 3450: best_fit = 55.2444
Gen 3500: best_fit = 55.2426
Gen 3550: best_fit = 55.2392
Gen 3600: best_fit = 55.2349
Gen 3650: best_fit = 55.2306
Gen 3700: best_fit = 55.23
Gen 3750: best_fit = 55.226
Gen 3800: best_fit = 55.2253
Gen 3850: best_fit = 55.2253
Gen 3900: best_fit = 55.2219
Gen 3950: best_fit = 55.2219
Gen 4000: best_fit = 55.2192
Gen 4050: best_fit = 55.2149
Gen 4100: best_fit = 55.2146
Gen 4150: best_fit = 55.2146
Gen 4200: best_fit = 55.2139
Gen 4250: best_fit = 55.2065
Gen 4300: best_fit = 55.2059
Gen 4350: best_fit = 55.2053
Gen 4400: best_fit = 55.2022
Gen 4450: best_fit = 55.1992
Gen 4500: best_fit = 55.1992
Gen 4550: best_fit = 55.1992
Gen 4600: best_fit = 55.1927
Gen 4650: best_fit = 55.1862
Gen 4700: best_fit = 55.1862
Gen 4750: best_fit = 55.1856
Gen 4800: best_fit = 55.1856
Gen 4850: best_fit = 55.1856
Gen 4900: best_fit = 55.1844
Gen 4950: best_fit = 55.1804
Gen 5000: best_fit = 55.1797
Gen 5050: best_fit = 55.1794
Gen 5100: best_fit = 55.1794
Gen 5150: best_fit = 55.1785
Gen 5200: best_fit = 55.1754
Gen 5250: best_fit = 55.1754
Gen 5300: best_fit = 55.1754
Gen 5350: best_fit = 55.1745
Gen 5400: best_fit = 55.1705
Gen 5450: best_fit = 55.1668
Gen 5500: best_fit = 55.1668
Gen 5550: best_fit = 55.1631
Gen 5600: best_fit = 55.1606
Gen 5650: best_fit = 55.1606
Gen 5700: best_fit = 55.1576
Gen 5750: best_fit = 55.1542
Gen 5800: best_fit = 55.1514
Gen 5850: best_fit = 55.1483
Gen 5900: best_fit = 55.1446
Gen 5950: best_fit = 55.1446
Gen 6000: best_fit = 55.1446
Gen 6050: best_fit = 55.1409
Gen 6100: best_fit = 55.1409
Gen 6150: best_fit = 55.14
Gen 6200: best_fit = 55.14
Gen 6250: best_fit = 55.1394
Gen 6300: best_fit = 55.1323
Gen 6350: best_fit = 55.1323
Gen 6400: best_fit = 55.1323
Gen 6450: best_fit = 55.1317
Gen 6500: best_fit = 55.1243
Gen 6550: best_fit = 55.1243
Gen 6600: best_fit = 55.124
Gen 6650: best_fit = 55.124
Gen 6700: best_fit = 55.124
Gen 6750: best_fit = 55.124
Gen 6800: best_fit = 55.124
Gen 6850: best_fit = 55.124
Gen 6900: best_fit = 55.1228
Gen 6950: best_fit = 55.1228
Gen 7000: best_fit = 55.1228
Gen 7050: best_fit = 55.1228
Gen 7100: best_fit = 55.1228
Gen 7150: best_fit = 55.1228
Gen 7200: best_fit = 55.1228
Gen 7250: best_fit = 55.1228
Gen 7300: best_fit = 55.1197
Gen 7350: best_fit = 55.1197
Gen 7400: best_fit = 55.1197
Gen 7450: best_fit = 55.1197
Gen 7500: best_fit = 55.1197
Gen 7550: best_fit = 55.1197
Gen 7600: best_fit = 55.1194
Gen 7650: best_fit = 55.1194
Gen 7700: best_fit = 55.1194
Gen 7750: best_fit = 55.1194
Gen 7800: best_fit = 55.1191
Gen 7850: best_fit = 55.1188
Gen 7900: best_fit = 55.1188
Gen 7950: best_fit = 55.1188
Gen 8000: best_fit = 55.1157
Gen 8050: best_fit = 55.1157
Gen 8100: best_fit = 55.1086
Gen 8150: best_fit = 55.1086
Gen 8200: best_fit = 55.1055
Gen 8250: best_fit = 55.1055
Gen 8300: best_fit = 55.1052
Gen 8350: best_fit = 55.1052
Gen 8400: best_fit = 55.1052
Gen 8450: best_fit = 55.1049
Gen 8500: best_fit = 55.1049
Gen 8550: best_fit = 55.1049
Gen 8600: best_fit = 55.1046
Gen 8650: best_fit = 55.1046
Gen 8700: best_fit = 55.1046
Gen 8750: best_fit = 55.1046
Gen 8800: best_fit = 55.1046
Gen 8850: best_fit = 55.1003
Gen 8900: best_fit = 55.1003
Gen 8950: best_fit = 55.1003
Gen 9000: best_fit = 55.1003
Gen 9050: best_fit = 55.1003
Gen 9100: best_fit = 55.1003
Gen 9150: best_fit = 55.0997
Gen 9200: best_fit = 55.0987
Gen 9250: best_fit = 55.0957
Gen 9300: best_fit = 55.0957
Gen 9350: best_fit = 55.0957
Gen 9400: best_fit = 55.0957
Gen 9450: best_fit = 55.0957
Gen 9500: best_fit = 55.0957
Gen 9550: best_fit = 55.0916
Gen 9600: best_fit = 55.0916
Gen 9650: best_fit = 55.0913
Gen 9700: best_fit = 55.0913
Gen 9750: best_fit = 55.0913
Gen 9800: best_fit = 55.0913
Gen 9850: best_fit = 55.0883
Gen 9900: best_fit = 55.0883
Gen 9950: best_fit = 55.0879
Gen 10000: best_fit = 55.0876

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 55.0876
Time = 93.836 s

exit code 0
