gen,use_blocks_true mean,use_blocks_true var,use_blocks_false mean,use_blocks_false var
8450,0.02639407,7.53771488099999e-07,0.03749306,2.6755115154399993e-05
8500,0.026382830000000003,7.54884078099999e-07,0.0374572,2.6876803297999992e-05
8550,0.02637373,7.539300320999995e-07,0.03743424,2.6987206942399995e-05
8600,0.02636085,7.559911564999996e-07,0.03736532,2.72593384516e-05
8650,0.026353130000000002,7.564685640999994e-07,0.03733607,2.7309477982099998e-05
8700,0.02634363,7.520391040999996e-07,0.03730442,2.7452062227599993e-05
8750,0.026327109999999997,7.494256649e-07,0.03727162,2.75828280036e-05
8800,0.0263129,7.445346079999998e-07,0.03723556,2.7665960114399988e-05
8850,0.026299319999999998,7.473523755999991e-07,0.03720504,2.7760344752400003e-05
8900,0.02628682,7.517666555999998e-07,0.037172319999999995,2.7820361053599993e-05
8950,0.02627212,7.579281536000002e-07,0.03714002,2.78831773556e-05
9000,0.0262536,7.691633819999997e-07,0.03710184,2.78417326164e-05
9050,0.02624182,7.731134695999989e-07,0.03706869,2.79745297989e-05
9100,0.02623361,7.69974790899999e-07,0.03703882,2.8099250603600002e-05
9150,0.02622452,7.638893915999998e-07,0.037006090000000005,2.8195009642900004e-05
9200,0.02621941,7.677206128999997e-07,0.03697676,2.8302121300400003e-05
9250,0.02621055,7.667572404999995e-07,0.03693456,2.8257148042399998e-05
9300,0.026200650000000002,7.638868604999994e-07,0.036901329999999996,2.8334425048100002e-05
9350,0.026192860000000002,7.642677043999991e-07,0.03686705,2.84451983325e-05
9400,0.02618279,7.629582908999993e-07,0.03683951,2.8587849624900005e-05
9450,0.02616963,7.641251740999999e-07,0.03682059,2.8634251046900005e-05
9500,0.026160689999999997,7.649511089e-07,0.036792570000000004,2.8698391798100008e-05
9550,0.02615075,7.744280824999988e-07,0.036759549999999995,2.8785684824500008e-05
9600,0.02613853,7.801698980999992e-07,0.03672894,2.88415173024e-05
9650,0.02613083,7.796325220999995e-07,0.03669759,2.8925440034900006e-05
9700,0.026122069999999997,7.783516340999994e-07,0.03667661,2.9002991210900005e-05
9750,0.02610633,7.744223920999995e-07,0.03662638,2.8628571003599988e-05
9800,0.02609076,7.806057483999983e-07,0.03660596,2.8729676234399998e-05
9850,0.02607868,7.831631616000001e-07,0.03657574,2.877619419839999e-05
9900,0.026070080000000002,7.850767115999999e-07,0.03654697,2.8845200036099998e-05
9950,0.02605575,7.916883324999996e-07,0.03650984,2.9016125962399997e-05
10000,0.02604341,7.890809649000004e-07,0.036486069999999995,2.908080121809999e-05
