gen,CCHIHH (stable) mean,CCHIHH (stable) var,"CCHIHH (stable, no migration) mean","CCHIHH (stable, no migration) var"
1450,55.378409999999995,0.0003743129000000432,55.586839999999995,0.00028955240000003184
1500,55.371050000000004,0.0003643705000000028,55.5853,0.00032241400000002584
1550,55.364340000000006,0.0003612063999999943,55.580709999999996,0.0004160189000000151
1600,55.35834,0.000351814399999985,55.579750000000004,0.00042892650000002293
1650,55.35449,0.00034850489999997106,55.575289999999995,0.00048602890000000253
1700,55.34782,0.0003149356000000144,55.57266,0.000483598399999987
1750,55.34326,0.00033831640000000823,55.57129,0.00046800090000003494
1800,55.338080000000005,0.00034698559999995755,55.568979999999996,0.0005321996000000154
1850,55.33226,0.00030335439999999524,55.56752,0.0005126816000000183
1900,55.32844,0.00032981440000002014,55.56566,0.0005547924000000092
1950,55.323130000000006,0.00029392009999995285,55.563610000000004,0.0005796609000000447
2000,55.318949999999994,0.0003457964999999857,55.56106,0.00047680440000003044
2050,55.31458,0.0003385236000000157,55.55845000000001,0.000556990500000074
2100,55.30922,0.00035106360000002366,55.55485,0.0005915565000000251
2150,55.30466,0.0003180243999999692,55.55257,0.0005775081000000156
2200,55.30116,0.0003259223999999926,55.54909,0.0005905908999999955
2250,55.29742,0.000318315600000029,55.54499,0.000600698899999996
2300,55.29204,0.0003271564000000263,55.54326999999999,0.000550158099999986
2350,55.28922,0.00032727159999997724,55.539829999999995,0.0005715661000000246
2400,55.28489,0.0002907029000000279,55.53765,0.0005095025000000161
2450,55.28026,0.000294622399999999,55.53564,0.0005273063999999912
2500,55.27716,0.0002960923999999934,55.533539999999995,0.0005213223999999588
2550,55.275220000000004,0.0002632515999999771,55.531079999999996,0.00041979159999999693
2600,55.27225,0.0002687244999999505,55.52946000000001,0.0004163663999999642
2650,55.26921,0.0002484308999999725,55.52783000000001,0.00045211609999996194
2700,55.265499999999996,0.0002763899999999935,55.525549999999996,0.000476980499999965
2750,55.262249999999995,0.0003025165000000318,55.52449,0.00048655489999999076
2800,55.26059,0.00028823290000003357,55.522389999999994,0.0005032309000000221
2850,55.25713,0.00030655810000000254,55.520860000000006,0.0004975604000000069
2900,55.25331,0.0002817309000000132,55.51856,0.000492108400000059
2950,55.24964,0.0003007764,55.517669999999995,0.0005174521000000447
3000,55.246,0.00026408000000004524,55.51577999999999,0.0004846816000000284
3050,55.24391000000001,0.00026903890000000446,55.51268,0.0005044576000000157
3100,55.241240000000005,0.00027275640000001,55.51212,0.0005121495999999891
3150,55.23841,0.0002812489000000106,55.51051,0.0005110169000000269
3200,55.23643,0.00028840809999999557,55.50878,0.0005142836000000149
3250,55.23298,0.0002606556000000111,55.50703,0.00046531010000003834
3300,55.23115,0.0002502524999999934,55.505500000000005,0.00047596400000003345
3350,55.228060000000006,0.00026533839999999504,55.503319999999995,0.00048585960000005165
3400,55.224959999999996,0.0002841464000000154,55.501369999999994,0.00047623610000003337
3450,55.222770000000004,0.0002743980999999696,55.499739999999996,0.0005102524000000243
3500,55.22001,0.00024191689999999126,55.49820999999999,0.0005424709000000537
3550,55.21797,0.0002553080999999928,55.49637,0.000507536099999995
3600,55.2171,0.00024750800000001747,55.4944,0.0004569360000000339
3650,55.2128,0.0002575740000000039,55.49387,0.0004781001000000065
3700,55.21102,0.00025233759999999635,55.49233,0.0005068941000000162
3750,55.20793,0.00024758810000001746,55.49131,0.0004663889000000078
3800,55.2067,0.0002054680000000116,55.49050999999999,0.0004489369000000031
3850,55.205619999999996,0.0001947395999999975,55.48954,0.00045717840000000234
3900,55.20386,0.0001826943999999766,55.48825000000001,0.00046965449999999867
3950,55.20143,0.0001648400999999934,55.48665,0.0004832685000000274
4000,55.19801,0.0001623069000000165,55.485850000000006,0.0005036605000000366
4050,55.196889999999996,0.0001920108999999783,55.48419,0.00048249489999996836
4100,55.194,0.0001742200000000244,55.48247,0.000514112099999981
4150,55.19298,0.00018590760000002738,55.481190000000005,0.0005779829000000144
4200,55.19162,0.00018187160000002387,55.47972,0.0005382455999999891
4250,55.19023,0.00014879609999997627,55.47777,0.0005082100999999988
4300,55.18886,0.00015468640000000075,55.4764,0.0005246340000000757
4350,55.18705,0.00016159850000002925,55.47527,0.0005366681000000326
4400,55.18561999999999,0.0001619176000000198,55.474289999999996,0.0005093868999999951
4450,55.18343,0.00018001610000001157,55.473670000000006,0.00048107010000002486
4500,55.18266,0.0001767364000000274,55.472260000000006,0.0004697703999999741
4550,55.18043,0.00019346010000001397,55.471199999999996,0.0004899959999999688
4600,55.1777,0.00015856400000000825,55.46993,0.0004637480999999868
4650,55.17671,0.00015028489999996685,55.4693,0.00045122999999997653
4700,55.17545,0.00016378849999998686,55.46719,0.00041216290000002046
4750,55.17369,0.00016003290000000356,55.46532,0.0003841895999999931
4800,55.17279,0.00016372889999998678,55.46376,0.0004176003999999841
4850,55.17147,0.00015643209999999713,55.462959999999995,0.0003860004000000168
4900,55.169920000000005,0.0001323616000000044,55.46097999999999,0.0003709815999999926
4950,55.16784,0.00013406039999999935,55.46,0.000368065999999956
5000,55.16662,0.00012607359999998073,55.4584,0.0003687779999999888
