gen,CCHIHH (stable) mean,CCHIHH (stable) var,"CCHIHH (stable, no blocks) mean","CCHIHH (stable, no blocks) var"
2650,55.26921,0.0002484308999999725,55.707910000000005,0.0010491768999999485
2700,55.265499999999996,0.0002763899999999935,55.70314,0.0010451844000000053
2750,55.262249999999995,0.0003025165000000318,55.70302,0.0010423715999999953
2800,55.26059,0.00028823290000003357,55.70302,0.0010423715999999953
2850,55.25713,0.00030655810000000254,55.70127,0.0012422040999999846
2900,55.25331,0.0002817309000000132,55.70127,0.0012422040999999846
2950,55.24964,0.0003007764,55.700469999999996,0.0012937560999999574
3000,55.246,0.00026408000000004524,55.700070000000004,0.0013006920999999653
3050,55.24391000000001,0.00026903890000000446,55.700070000000004,0.0013006920999999653
3100,55.241240000000005,0.00027275640000001,55.700070000000004,0.0013006920999999653
3150,55.23841,0.0002812489000000106,55.69974,0.0012988803999999625
3200,55.23643,0.00028840809999999557,55.69869,0.0012837968999999715
3250,55.23298,0.0002606556000000111,55.698260000000005,0.001277712399999969
3300,55.23115,0.0002502524999999934,55.698260000000005,0.001277712399999969
3350,55.228060000000006,0.00026533839999999504,55.698260000000005,0.001277712399999969
3400,55.224959999999996,0.0002841464000000154,55.69623,0.001441114099999945
3450,55.222770000000004,0.0002743980999999696,55.69623,0.001441114099999945
3500,55.22001,0.00024191689999999126,55.69623,0.001441114099999945
3550,55.21797,0.0002553080999999928,55.695119999999996,0.0016030076000000352
3600,55.2171,0.00024750800000001747,55.695119999999996,0.0016030076000000352
3650,55.2128,0.0002575740000000039,55.694129999999994,0.0015972161000000346
3700,55.21102,0.00025233759999999635,55.694129999999994,0.0015972161000000346
3750,55.20793,0.00024758810000001746,55.694129999999994,0.0015972161000000346
3800,55.2067,0.0002054680000000116,55.694129999999994,0.0015972161000000346
3850,55.205619999999996,0.0001947395999999975,55.694129999999994,0.0015972161000000346
3900,55.20386,0.0001826943999999766,55.69333,0.0015881441000000298
3950,55.20143,0.0001648400999999934,55.69295999999999,0.0015966164000000248
4000,55.19801,0.0001623069000000165,55.69231,0.0015757189000000279
4050,55.196889999999996,0.0001920108999999783,55.692280000000004,0.0015756316000000291
4100,55.194,0.0001742200000000244,55.6908,0.0017478219999999677
4150,55.19298,0.00018590760000002738,55.6908,0.0017478219999999677
4200,55.19162,0.00018187160000002387,55.6908,0.0017478219999999677
4250,55.19023,0.00014879609999997627,55.69036,0.0017405883999999615
4300,55.18886,0.00015468640000000075,55.68996,0.0018091963999999215
4350,55.18705,0.00016159850000002925,55.689189999999996,0.001846088900000031
4400,55.18561999999999,0.0001619176000000198,55.689189999999996,0.001846088900000031
4450,55.18343,0.00018001610000001157,55.689189999999996,0.001846088900000031
4500,55.18266,0.0001767364000000274,55.68879,0.0018745609000000128
4550,55.18043,0.00019346010000001397,55.68724999999999,0.0019464104999999717
4600,55.1777,0.00015856400000000825,55.684529999999995,0.002071626099999997
4650,55.17671,0.00015028489999996685,55.684529999999995,0.002071626099999997
4700,55.17545,0.00016378849999998686,55.684529999999995,0.002071626099999997
4750,55.17369,0.00016003290000000356,55.68419,0.0020951948999999893
4800,55.17279,0.00016372889999998678,55.68292,0.0022638816000000047
4850,55.17147,0.00015643209999999713,55.68283,0.0022714101000000167
4900,55.169920000000005,0.0001323616000000044,55.68283,0.0022714101000000167
