gen,CCHIHH (stable) mean,CCHIHH (stable) var,"CCHIHH (stable, random ops) mean","CCHIHH (stable, random ops) var"
2550,55.275220000000004,0.0002632515999999771,55.304359999999996,3.251840000000435e-05
2600,55.27225,0.0002687244999999505,55.30071,4.235890000002232e-05
2650,55.26921,0.0002484308999999725,55.29725,5.402050000000411e-05
2700,55.265499999999996,0.0002763899999999935,55.29331,3.858490000000828e-05
2750,55.262249999999995,0.0003025165000000318,55.290009999999995,4.857490000001138e-05
2800,55.26059,0.00028823290000003357,55.286469999999994,6.264009999999374e-05
2850,55.25713,0.00030655810000000254,55.282889999999995,6.792290000000087e-05
2900,55.25331,0.0002817309000000132,55.27984,6.0390399999996365e-05
2950,55.24964,0.0003007764,55.27735,4.977050000000466e-05
3000,55.246,0.00026408000000004524,55.27551,4.060089999999515e-05
3050,55.24391000000001,0.00026903890000000446,55.27391,4.667089999999563e-05
3100,55.241240000000005,0.00027275640000001,55.27187,5.584810000000265e-05
3150,55.23841,0.0002812489000000106,55.27091,5.8530900000006735e-05
3200,55.23643,0.00028840809999999557,55.268190000000004,4.6460900000002224e-05
3250,55.23298,0.0002606556000000111,55.26637000000001,4.469609999998733e-05
3300,55.23115,0.0002502524999999934,55.263760000000005,3.392239999998937e-05
3350,55.228060000000006,0.00026533839999999504,55.26191,2.948090000000142e-05
3400,55.224959999999996,0.0002841464000000154,55.25957999999999,2.8561599999993347e-05
3450,55.222770000000004,0.0002743980999999696,55.25742,3.177959999999333e-05
3500,55.22001,0.00024191689999999126,55.254830000000005,2.812410000000105e-05
3550,55.21797,0.0002553080999999928,55.253009999999996,3.053489999999431e-05
3600,55.2171,0.00024750800000001747,55.25039,4.232889999998467e-05
3650,55.2128,0.0002575740000000039,55.24895,5.26044999999832e-05
3700,55.21102,0.00025233759999999635,55.24639,4.792690000001154e-05
3750,55.20793,0.00024758810000001746,55.24550000000001,4.8368000000000496e-05
3800,55.2067,0.0002054680000000116,55.243809999999996,3.802290000000872e-05
3850,55.205619999999996,0.0001947395999999975,55.24147000000001,3.150610000000342e-05
3900,55.20386,0.0001826943999999766,55.240610000000004,3.56208999999996e-05
3950,55.20143,0.0001648400999999934,55.239909999999995,3.520489999998915e-05
4000,55.19801,0.0001623069000000165,55.23722,2.5461600000005577e-05
4050,55.196889999999996,0.0001920108999999783,55.235299999999995,2.6493999999994458e-05
4100,55.194,0.0001742200000000244,55.23402,2.8311599999996133e-05
4150,55.19298,0.00018590760000002738,55.2333,2.0821999999999863e-05
4200,55.19162,0.00018187160000002387,55.23216,2.2818399999997237e-05
4250,55.19023,0.00014879609999997627,55.230129999999996,2.184809999998831e-05
4300,55.18886,0.00015468640000000075,55.227790000000006,2.5558899999990056e-05
4350,55.18705,0.00016159850000002925,55.22739,2.231890000000075e-05
4400,55.18561999999999,0.0001619176000000198,55.22461,3.241690000001371e-05
4450,55.18343,0.00018001610000001157,55.22297999999999,3.6045600000003706e-05
4500,55.18266,0.0001767364000000274,55.2223,3.6036000000006395e-05
4550,55.18043,0.00019346010000001397,55.22097,2.8298099999992847e-05
4600,55.1777,0.00015856400000000825,55.219269999999995,1.7692099999992078e-05
4650,55.17671,0.00015028489999996685,55.21813999999999,2.1000399999994057e-05
4700,55.17545,0.00016378849999998686,55.21603,2.7964099999998203e-05
4750,55.17369,0.00016003290000000356,55.214009999999995,3.1594900000003705e-05
4800,55.17279,0.00016372889999998678,55.21259,2.6144899999991968e-05
4850,55.17147,0.00015643209999999713,55.21126,3.434639999998795e-05
4900,55.169920000000005,0.0001323616000000044,55.20969,2.6204899999999353e-05
4950,55.16784,0.00013406039999999935,55.208490000000005,2.348890000000327e-05
5000,55.16662,0.00012607359999998073,55.207029999999996,4.003209999999962e-05
5050,55.16443,0.00013438810000001474,55.20552,3.4521600000000696e-05
5100,55.16381,0.0001327389000000128,55.20403,3.4476099999996605e-05
5150,55.16151,0.0001328789000000099,55.20288000000001,3.773560000001198e-05
5200,55.15998999999999,0.00013266689999999066,55.201499999999996,2.97540000000047e-05
5250,55.1583,0.00011945000000000937,55.20067,4.081009999999337e-05
5300,55.15647,0.0001087481000000027,55.19956,3.3810399999995254e-05
5350,55.155060000000006,0.00012843039999998836,55.19906999999999,4.35200999999908e-05
5400,55.15289,0.00015056089999999908,55.197649999999996,4.7534500000002145e-05
5450,55.15174,0.00014868640000001085,55.196870000000004,4.068810000000759e-05
5500,55.150639999999996,0.00015434839999998697,55.19466,4.4620399999990856e-05
5550,55.14892,0.00016755159999999941,55.194010000000006,4.694089999998823e-05
5600,55.14849,0.00016169689999998778,55.19309,4.3558899999995074e-05
5650,55.147749999999995,0.00016848050000000384,55.19185,4.279449999999653e-05
5700,55.14491,0.0002130368999999977,55.19172999999999,4.2804100000004085e-05
5750,55.14369000000001,0.0001880288999999846,55.19088000000001,3.5055600000009294e-05
5800,55.14226,0.00015996839999999572,55.19008,3.892760000000286e-05
5850,55.14118,0.00018053159999999174,55.18966,3.594640000000306e-05
5900,55.13995,0.0002081544999999884,55.18918,3.47515999999905e-05
5950,55.13869,0.00018731289999999345,55.18773,4.0842100000004655e-05
6000,55.13808,0.0002052935999999601,55.18594,5.336640000000023e-05
6050,55.13679,0.00021288289999998265,55.18456,5.643639999999237e-05
6100,55.13626000000001,0.00021796240000002189,55.18386,6.897040000000619e-05
6150,55.13494000000001,0.00019942240000002612,55.18261,6.107090000000633e-05
6200,55.134119999999996,0.0002062816000000119,55.180600000000005,5.917800000000866e-05
6250,55.13346,0.00018752240000000846,55.17967,6.405210000000848e-05
6300,55.13201,0.00019607689999997252,55.17864999999999,7.053050000000737e-05
6350,55.131600000000006,0.00021566799999999504,55.17772,8.051360000000124e-05
6400,55.130179999999996,0.00019305360000000248,55.17599,8.990289999999339e-05
6450,55.13002,0.00019287160000000075,55.17562,8.039759999998888e-05
6500,55.129279999999994,0.00021359960000001161,55.17478,8.479360000000375e-05
6550,55.12749,0.00019273890000001565,55.17406999999999,0.00010058209999999133
6600,55.12706000000001,0.00019478239999999586,55.17265999999999,0.00011062840000000617
6650,55.12549,0.00019944890000000602,55.17188,0.00011632359999999861
6700,55.12531,0.0001993649000000092,55.17179,0.00011714889999999933
6750,55.12454,0.0001882423999999798,55.171730000000004,0.00011892609999998131
6800,55.12233,0.000179782099999974,55.17087,0.00012691009999998568
6850,55.12152999999999,0.000171606099999983,55.16994,0.0001460844000000069
6900,55.120360000000005,0.0002083324000000026,55.169290000000004,0.0001587529000000104
6950,55.1203,0.00020772400000001134,55.167449999999995,0.00014439050000001602
