gen,stable_true_gate15 mean,stable_true_gate15 var,stable_false mean,stable_false var
5700,0.3428595,7.903116499999902e-07,0.3427248,1.4997033600000035e-06
5750,0.3428595,7.903116499999902e-07,0.3427248,1.4997033600000035e-06
5800,0.3428575,7.931496499999852e-07,0.3427248,1.4997033600000035e-06
5850,0.3428575,7.931496499999852e-07,0.3427248,1.4997033600000035e-06
5900,0.3428514,7.765936399999911e-07,0.3426982,1.5568135600000016e-06
5950,0.3428494,7.822592399999968e-07,0.3426758,1.5781831600000016e-06
6000,0.3428494,7.822592399999968e-07,0.3426737,1.580649610000001e-06
6050,0.3428494,7.822592399999968e-07,0.3426431,1.6113596900000005e-06
6100,0.3428494,7.822592399999968e-07,0.3426369,1.6204656900000077e-06
6150,0.3428494,7.822592399999968e-07,0.3426369,1.6204656900000077e-06
6200,0.3428289,7.540368899999958e-07,0.34261240000000004,1.6190554400000043e-06
6250,0.342788,8.463339999999905e-07,0.3425837,1.5880988100000078e-06
6300,0.342788,8.463339999999905e-07,0.34254290000000004,1.5602568900000108e-06
6350,0.342788,8.463339999999905e-07,0.3425225,1.595495850000008e-06
6400,0.342788,8.463339999999905e-07,0.3425184,1.57149404e-06
6450,0.342788,8.463339999999905e-07,0.3425164,1.5686396399999974e-06
6500,0.342788,8.463339999999905e-07,0.3425164,1.5686396399999974e-06
6550,0.342788,8.463339999999905e-07,0.3425164,1.5686396399999974e-06
6600,0.342786,8.463539999999904e-07,0.3425164,1.5686396399999974e-06
6650,0.3427655,9.143422499999934e-07,0.3424898,1.6255157599999944e-06
6700,0.3427655,9.143422499999934e-07,0.34246940000000003,1.6477762399999919e-06
6750,0.3427655,9.143422499999934e-07,0.342449,1.6775275999999972e-06
6800,0.3427655,9.143422499999934e-07,0.34242859999999997,1.703101039999995e-06
6850,0.3427655,9.143422499999934e-07,0.34242859999999997,1.703101039999995e-06
6900,0.3427635,9.213802500000003e-07,0.3424265,1.7022990499999953e-06
6950,0.3427635,9.213802500000003e-07,0.3424265,1.7022990499999953e-06
7000,0.3427635,9.213802500000003e-07,0.3424265,1.7022990499999953e-06
7050,0.3427614,9.149498400000024e-07,0.3424265,1.7022990499999953e-06
7100,0.3427308,9.536507600000017e-07,0.3424039,1.7228092900000011e-06
7150,0.3427063,8.947732099999902e-07,0.34239790000000003,1.7293480899999975e-06
7200,0.3426818,8.667609599999902e-07,0.3423958,1.7333059599999962e-06
7250,0.3426613,8.886160099999907e-07,0.3423958,1.7333059599999962e-06
7300,0.3426613,8.886160099999907e-07,0.3423958,1.7333059599999962e-06
7350,0.3426613,8.886160099999907e-07,0.3423734,1.7736456399999926e-06
7400,0.3426409,9.178736899999873e-07,0.3423693,1.774382409999993e-06
7450,0.3426409,9.178736899999873e-07,0.3423693,1.774382409999993e-06
7500,0.34262040000000005,8.986918399999916e-07,0.3423673,1.7622716100000144e-06
7550,0.3426,8.971087999999927e-07,0.3423673,1.7622716100000144e-06
7600,0.342598,8.90412799999986e-07,0.3423673,1.7622716100000144e-06
7650,0.3425714,8.082028399999901e-07,0.3423673,1.7622716100000144e-06
7700,0.3425714,8.082028399999901e-07,0.3423673,1.7622716100000144e-06
7750,0.3425714,8.082028399999901e-07,0.3423632,1.7684851600000166e-06
7800,0.3425714,8.082028399999901e-07,0.34232239999999997,1.8559848400000324e-06
7850,0.3425714,8.082028399999901e-07,0.342302,1.8488938000000328e-06
7900,0.3425714,8.082028399999901e-07,0.342302,1.8488938000000328e-06
7950,0.3425714,8.082028399999901e-07,0.342302,1.8488938000000328e-06
8000,0.3425714,8.082028399999901e-07,0.342302,1.8488938000000328e-06
8050,0.342551,8.095981999999906e-07,0.3422775,1.9058338500000184e-06
8100,0.342551,8.095981999999906e-07,0.3422775,1.9058338500000184e-06
8150,0.3425306,8.768284399999846e-07,0.3422571,1.8519084900000086e-06
8200,0.3425306,8.768284399999846e-07,0.3422571,1.8519084900000086e-06
8250,0.3425306,8.768284399999846e-07,0.3422571,1.8519084900000086e-06
8300,0.3425102,8.799047599999844e-07,0.3422571,1.8519084900000086e-06
8350,0.3425102,8.799047599999844e-07,0.3422367,1.7279948099999854e-06
8400,0.3425102,8.799047599999844e-07,0.3422367,1.7279948099999854e-06
8450,0.3425102,8.799047599999844e-07,0.3421937,1.7282780099999844e-06
8500,0.3425102,8.799047599999844e-07,0.3421672,1.6690983599999833e-06
8550,0.3425102,8.799047599999844e-07,0.3421468,1.6723623599999844e-06
8600,0.34248979999999996,9.071591599999897e-07,0.34214479999999997,1.673085559999983e-06
8650,0.34246940000000003,8.494108399999946e-07,0.34214479999999997,1.673085559999983e-06
8700,0.34246940000000003,8.494108399999946e-07,0.3421223,1.6861828099999851e-06
8750,0.34246940000000003,8.494108399999946e-07,0.3421223,1.6861828099999851e-06
8800,0.34246940000000003,8.494108399999946e-07,0.3421223,1.6861828099999851e-06
8850,0.34246940000000003,8.494108399999946e-07,0.34210189999999996,1.74175648999998e-06
8900,0.34246940000000003,8.494108399999946e-07,0.3420998,1.7379527599999812e-06
8950,0.34246940000000003,8.494108399999946e-07,0.3420794,1.7051332399999747e-06
9000,0.342449,7.991533999999853e-07,0.3420794,1.7051332399999747e-06
