gen,CCHIHH_Full mean,CCHIHH_Full var,GDE mean,GDE var,CGA mean,CGA var,IMOMA mean,IMOMA var
2000,0.04228464,1.7883261144000039e-06,0.04143431,1.6337943789000005e-06,0.06270286,2.244281500400006e-06,0.0624509,2.0493412939999984e-06
2050,0.04217557,1.8746162421000012e-06,0.04131701,1.5806467868999982e-06,0.06247066,1.9909173464000044e-06,0.06243401,1.957703078899998e-06
2100,0.04211975,1.8751259805000023e-06,0.04120361,1.5130803648999984e-06,0.06234904,1.9011047064000065e-06,0.0623229,1.803816856e-06
2150,0.042073929999999995,1.7976758601000016e-06,0.04112474,1.588895876399999e-06,0.06220586,1.9501826984000042e-06,0.06218273,2.2615018021000014e-06
2200,0.041992089999999996,1.7655003809000038e-06,0.04104877,1.4944126181000004e-06,0.062025399999999994,1.7804096060000024e-06,0.062012990000000004,2.597720958899997e-06
2250,0.04192134,1.714500314400004e-06,0.04093298,1.6237299916000007e-06,0.0618586,1.8641586279999978e-06,0.06197097,2.532294138099998e-06
2300,0.04181123,1.7487500581000032e-06,0.0408115,1.526789518e-06,0.06159302,1.7825219476000023e-06,0.06186786,2.5620891063999987e-06
2350,0.04175179,1.7108710909000008e-06,0.04074057,1.5418215101000017e-06,0.061354109999999996,1.8372557349000033e-06,0.0618198,2.5128822179999985e-06
2400,0.04168794,1.7001771943999994e-06,0.04062435,1.428653448499999e-06,0.061148060000000004,1.8716208463999967e-06,0.061734069999999995,2.2564947881000054e-06
2450,0.04160494,1.5690523883999997e-06,0.04052791,1.4438178808999995e-06,0.06099143,1.8878481881000027e-06,0.061728910000000005,2.270615370900005e-06
2500,0.04151546,1.586923278399999e-06,0.04044546,1.365859384400002e-06,0.06081097,1.9940153721000017e-06,0.06164423,2.4593450741000042e-06
2550,0.041446489999999996,1.5563550229000004e-06,0.040385910000000004,1.4540195209000003e-06,0.06068294,2.137792662400001e-06,0.06156285,2.4998603905000024e-06
2600,0.041411340000000005,1.5078348063999997e-06,0.040307579999999996,1.3719191156e-06,0.060464,2.3589265019999993e-06,0.06147587,2.248423054100002e-06
