gen,migration_on mean,migration_on var,migration_off mean,migration_off var
1600,1397.492,3978.769235999999,1739.5520000000001,2557.1672559999984
1650,1393.5459999999998,4166.408643999997,1738.574,2748.939363999998
1700,1390.718,4307.849636000003,1737.613,2954.148421000001
1750,1387.902,4419.5086360000005,1735.8439999999998,3147.5341840000015
1800,1385.5430000000001,4471.050341000006,1735.146,3203.288203999999
1850,1382.345,4536.783685000003,1733.547,3254.2844410000007
1900,1379.048,4647.736595999998,1732.5400000000002,3255.5307599999987
1950,1374.326,4916.562364000003,1731.03,3225.7054599999983
2000,1369.091,5028.939209000001,1727.11,3218.0869799999996
2050,1366.455,5182.554105000005,1724.6529999999998,3387.1421010000013
2100,1364.231,5269.131148999997,1721.0459999999998,3909.1335640000025
2150,1362.318,5255.6718759999985,1720.8020000000001,3940.124255999999
2200,1360.227,5306.7125609999985,1717.782,4044.634156000003
2250,1358.3200000000002,5374.761819999998,1715.7930000000001,4284.774421000002
2300,1356.138,5379.557635999993,1714.67,4158.354100000002
2350,1354.205,5376.701545000002,1713.89,4131.397580000003
2400,1352.8970000000002,5394.353141000002,1712.9650000000001,4081.114025000001
2450,1351.502,5395.4191159999955,1712.9650000000001,4081.114025000001
2500,1350.192,5422.0810360000005,1712.9650000000001,4081.114025000001
2550,1348.6870000000001,5481.452621,1711.059,4047.0496490000032
2600,1347.45,5500.29472,1709.9209999999998,4004.717449000002
2650,1346.1100000000001,5547.851560000004,1709.3319999999999,3971.6176760000003
2700,1344.872,5573.168796000001,1708.716,3901.000284000003
2750,1343.426,5527.3163440000035,1705.563,4023.0279410000016
2800,1342.2040000000002,5485.720543999999,1704.8380000000002,4093.5542160000014
2850,1341.01,5459.013220000002,1703.663,4020.057841000003
2900,1339.433,5460.609681,1701.819,4085.7723890000025
2950,1338.482,5453.109876000002,1694.4689999999998,3415.800028999999
3000,1334.273,4440.801601000003,1691.782,3457.308635999999
3050,1332.56,4203.133080000001,1689.516,3726.9851839999997
3100,1330.355,3936.413965000002,1687.5760000000002,4012.8311839999988
3150,1329.21,3906.376,1685.3799999999999,4046.92572
3200,1328.3319999999999,3938.3596559999996,1684.6919999999998,4102.810995999997
3250,1327.451,3919.845308999998,1682.348,4095.4552560000047
3300,1325.899,3797.1474490000037,1680.905,4065.6175850000045
3350,1324.882,3799.179955999999,1679.592,3952.4024360000003
3400,1322.85,3553.5716800000037,1675.834,3630.022004000001
3450,1321.908,3525.904255999997,1675.0700000000002,3717.435819999998
3500,1320.08,3338.1561999999967,1673.937,4013.190741000002
3550,1318.737,3284.6161609999954,1673.797,4051.3399009999985
3600,1316.902,3184.616476,1673.797,4051.3399009999985
3650,1316.0120000000002,3182.762356000001,1673.711,4036.0910690000005
3700,1314.889,3112.827648999998,1673.711,4036.0910690000005
3750,1314.01,3089.969439999998,1672.5810000000001,3848.0952290000014
3800,1312.299,3009.7113290000034,1671.2939999999999,3989.127164
3850,1310.8120000000001,2927.5016959999957,1670.479,3868.3629090000018
3900,1310.038,2916.4635960000005,1669.182,3700.8307160000013
3950,1309.175,2926.7012850000015,1668.795,3656.707685
4000,1308.4950000000001,2901.2220249999964,1668.0220000000002,3742.541595999999
4050,1307.6190000000001,2891.3044889999983,1667.7990000000002,3738.8512090000004
4100,1306.705,2927.694585000002,1666.494,3761.663564
4150,1305.7189999999998,2972.3958690000027,1666.348,3802.3190160000013
4200,1304.4479999999999,3054.2641559999947,1665.297,3738.801481
4250,1303.47,3099.115599999998,1664.3759999999997,3780.749744000002
4300,1302.919,3125.622348999998,1664.0080000000003,3812.604456000002
4350,1302.258,3122.6497160000026,1663.345,3836.757225000002
4400,1301.454,3155.0595239999993,1662.2130000000002,3825.379841000003
4450,1300.354,3074.088844000001,1661.935,3818.192985000003
4500,1299.294,3016.1723240000047,1661.886,3817.070444000002
4550,1298.429,2965.8625689999976,1661.566,3909.5862840000036
4600,1297.416,2977.908344000002,1661.179,4023.9351090000005
4650,1296.841,2962.097009,1661.1009999999999,4047.308589
4700,1294.884,2892.9681440000013,1660.886,4112.302444000003
4750,1293.42,2812.3777600000003,1660.73,4159.98166
4800,1292.0049999999999,2742.111425,1660.542,4213.069976000002
4850,1291.211,2708.5919489999983,1660.378,4259.683836000003
4900,1290.459,2688.0952290000027,1659.398,4233.888716000001
