gen,full_mean,full_var,full_ci95,nocc_mean,nocc_var,nocc_ci95
1000,0.3498833,1.2407640100000033e-06,0.0006903998132108679,0.3650642,2.6902091160000014e-05,0.0032147639633456145
1050,0.3496464,1.2639290399999866e-06,0.0006968148821648364,0.3648988,2.718883276e-05,0.0032318511712456067
1100,0.3493215,1.1387444499999732e-06,0.0006614076412561241,0.36475979999999997,2.7342555160000073e-05,0.003240974543291821
1150,0.34910929999999996,8.921698099999989e-07,0.0005854365501141857,0.3646434,2.716487144000009e-05,0.0032304267539120016
1200,0.3488294,8.587440400000075e-07,0.0005743649627252718,0.3643963,2.969117961000004e-05,0.0033773012241992296
1250,0.3485598,6.846549600000035e-07,0.0005128518786487979,0.3643125,2.8887604650000035e-05,0.0033312853678939026
1300,0.34834740000000003,5.869806400000052e-07,0.0004748625934545719,0.3641982,2.912196816000004e-05,0.0033447713357336725
1350,0.3481675,6.319600499999995e-07,0.0004927207858493488,0.3641124,2.9281617640000023e-05,0.003353926986769749
1400,0.3479285,5.412292499999972e-07,0.00045598095210216716,0.3640552,2.9571884160000045e-05,0.003370509608190669
1450,0.34771,5.736908000000093e-07,0.0004694561297160828,0.36381009999999997,3.0017550689999986e-05,0.0033958124614104344
1500,0.3474897,5.655096099999984e-07,0.00046609674079272354,0.3636958,2.9388822360000003e-05,0.0033600610110260795
1550,0.3473199,6.016878900000136e-07,0.000480774811967521,0.36366519999999997,2.9417713560000065e-05,0.0033617121889313525
1600,0.34721989999999997,5.233778900000042e-07,0.00044839809346428045,0.3635997,2.982149781000007e-05,0.0033847048022965943
1650,0.3470545,5.660684499999939e-07,0.00046632698372708144,0.36349149999999997,2.9374081250000045e-05,0.0033592182205090543
1700,0.346983,5.738261999999973e-07,0.0004695115259415885,0.3634078,3.0127537160000086e-05,0.00340202802389775
1750,0.3468339,5.270116900000075e-07,0.0004499520094747915,0.3633792,3.0029067360000085e-05,0.0033964638253656744
1800,0.34665840000000003,4.574410399999973e-07,0.00041920227805487765,0.3632995,3.0490336850000002e-05,0.003422450555420195
1850,0.34650919999999996,5.453343599999932e-07,0.00045770694525820493,0.363271,3.088647559999998e-05,0.003444611511694169
1900,0.3463379,4.741632900000061e-07,0.00042679569993897825,0.3632057,3.140419521000005e-05,0.0034733608554069957
1950,0.3462152,4.3478655999999736e-07,0.00040869010862706103,0.363173,3.126394740000001e-05,0.003465596345967603
2000,0.346107,5.022586000000044e-07,0.00043925808333598334,0.36311170000000004,3.177263660999998e-05,0.0034936765849313514
2050,0.3459355,5.198022500000034e-07,0.00044686377382822305,0.3630504,3.143857983999998e-05,0.0034752618363706627
2100,0.34584760000000003,5.194626400000064e-07,0.00044671777195719723,0.3627073,2.894438620999994e-05,0.003334557752751267
2150,0.3456432,5.223043600000144e-07,0.00044793799005845165,0.3625683,2.944164520999998e-05,0.0033630793068070205
2200,0.34553090000000003,5.65243690000005e-07,0.00046598714140027713,0.3625193,3.0229398609999966e-05,0.0034077743132457563
2250,0.3454165,5.502452499999987e-07,0.00045976321649301126,0.3623479,2.9278887489999994e-05,0.0033537706269449012
2300,0.3453041,4.626570900000014e-07,0.00042158551646658893,0.3621519,2.701701229000004e-05,0.003221623106653914
