gen,blocks mean,blocks var,no_blocks mean,no_blocks var
5050,1005.3335999999999,31.46961004000003,1330.0210000000002,8773.566288999999
5100,1005.1959,31.059117290000096,1329.389,8774.166948999999
5150,1005.1163,31.199705209999916,1327.333,8990.221400999999
5200,1005.0174,31.56729303999998,1326.6879999999999,9025.477235999997
5250,1004.8698,32.028928960000115,1325.018,9110.194555999997
5300,1004.7744999999999,32.1982674499999,1324.231,9085.729689
5350,1004.6710999999999,32.54411708999977,1323.252,9197.613996000004
5400,1004.5642,32.81635095999984,1322.15,9255.001200000006
5450,1004.4620000000001,32.77588139999996,1321.85,9279.709220000006
5500,1004.3662,32.76929055999986,1321.493,9289.011321000002
5550,1004.259,32.634026399999996,1321.068,9324.785156000002
5600,1004.1825000000001,32.42890504999975,1320.794,9352.584504000002
5650,1004.0757,32.5907032100001,1320.211,9429.177289000003
5700,1003.8758,32.51634055999985,1319.217,9310.820781000002
5750,1003.7352999999999,32.94053480999991,1318.5430000000001,9363.000221000004
5800,1003.6413,33.276417610000074,1318.22,9363.476460000002
5850,1003.5726000000001,33.58954703999998,1317.516,9297.262104000005
5900,1003.4941999999999,33.86352195999986,1314.206,8982.631743999997
5950,1003.4183,33.79835080999989,1313.975,9004.199265
6000,1003.2632,34.28842596000009,1313.726,9013.411224
6050,1003.1605999999999,34.45286944000004,1312.5629999999999,9157.176821000003
6100,1003.1047000000001,34.43584481,1311.8690000000001,9209.620048999997
6150,1002.9882,34.30412536000012,1311.643,9232.185081
6200,1002.7987999999999,33.49065455999997,1311.219,9272.095469
6250,1002.4771000000001,32.69467648999993,1310.392,9371.269336000001
6300,1002.0564,32.860178040000044,1309.648,9513.095156
6350,1001.9477999999999,33.11482556000007,1308.962,9545.41559599999
6400,1001.8637999999999,33.18515336000006,1308.288,9651.530875999993
6450,1001.7370000000001,33.68563440000005,1308.094,9665.170283999998
6500,1001.5971999999999,34.21310236000005,1307.8229999999999,9686.509361000002
6550,1001.4791000000001,34.45732929000012,1306.445,9785.735705000001
6600,1001.4352999999999,34.451133409999954,1306.221,9800.545868999998
6650,1001.36,34.364042600000296,1306.069,9819.616268999996
6700,1001.2881,34.78161429000012,1305.911,9841.102809
6750,1001.1896,34.499636840000015,1305.464,9894.757743999999
6800,1000.8422,34.5374133599999,1305.016,9936.997023999997
6850,1000.7950000000001,34.60152360000004,1304.792,9958.221635999998
6900,1000.7339,34.87697349,1304.3719999999998,9999.637515999995
6950,1000.6385,35.05578965000005,1303.2040000000002,10050.287443999998
7000,1000.5719000000001,34.440860689999994,1302.999,10076.174029000003
7050,1000.5022000000001,34.58108476000018,1302.774,10101.471304000002
7100,1000.4235000000001,34.86202925000022,1302.501,10136.124709000002
7150,1000.2926,35.56272943999993,1302.329,10155.236648999999
7200,1000.1414000000001,35.317084439999846,1302.152,10157.277536000003
7250,1000.0220999999999,35.618471490000054,1301.708,10208.070615999994
7300,999.7869999999999,35.41250040000017,1301.1190000000001,10308.467128999999
7350,999.6530999999999,35.3336950900001,1300.807,10330.298800999999
7400,999.5482,35.37743575999984,1300.6119999999999,10342.002455999998
7450,999.4486,35.649455639999964,1300.477,10353.480200999998
7500,999.3334000000001,35.31868064000011,1300.236,10377.247284000005
7550,998.9959999999999,36.0424624000002,1298.318,10555.363295999996
7600,998.8693999999999,36.74573844000013,1298.261,10562.437048999996
7650,998.8293,36.87002460999986,1298.0629999999999,10578.088520999992
7700,998.7519,36.929784089999934,1297.868,10570.678536
7750,998.6951999999999,37.01425615999999,1297.647,10591.492380999991
7800,998.6442,37.12198436000018,1297.4119999999998,10602.064575999993
7850,998.5870000000001,36.69471139999974,1297.1950000000002,10630.162984999994
7900,998.5200000000001,36.51927320000012,1296.3700000000001,10752.98628
7950,998.4415000000001,36.69151284999995,1296.169,10761.315668999994
8000,998.3736000000001,36.910226239999886,1295.5549999999998,10853.975204999999
8050,998.3396,37.04721243999988,1295.3880000000001,10882.435775999995
8100,998.2759,37.10212209000001,1294.961,10922.841549
8150,998.2395,37.150299449999984,1294.5430000000001,10845.289901
8200,998.1933999999999,37.03949503999986,1294.05,10872.579759999997
8250,998.1265,37.18998884999989,1293.6209999999999,10908.986269
8300,998.0683000000001,37.42247741000001,1293.413,10919.896041
8350,998.0207,37.68987940999999,1292.519,10742.370528999998
8400,997.9841,37.818390890000074,1292.035,10790.319145000001
8450,997.9441999999999,37.96955496000011,1291.779,10802.143168999997
8500,997.9005,38.10703445000014,1291.25,10889.010979999997
8550,997.5905,39.20301784999983,1291.065,10884.732784999997
8600,997.5115,39.588731449999855,1289.9,11067.183540000002
8650,997.4688,39.78558955999987,1289.479,11148.633629
8700,997.4233,39.878024409999846,1289.352,11166.000516
8750,997.3894,40.073318639999904,1289.24,11180.53992
8800,997.3318999999999,39.766681290000136,1289.044,11175.428163999992
