generation,block_id,reward_mean,reward_variance,reward_min,reward_max
88,2,0,0,0,0
89,0,0.001581143170448942,1.756429040197677e-05,-2.026749762712305e-05,0.01266941286121866
89,1,4.094247999999979e-06,5.950515763014336e-11,0,2.374675199999987e-05
89,2,0,0,0,0
90,0,0.001703864615856356,2.036077985547529e-05,-5.454844021876614e-05,0.01364208997625666
90,1,-1.808606999999988e-06,7.231194265784712e-10,-6.528298399999999e-05,3.676968000000001e-05
90,2,0,0,0,0
91,0,4.36637804754835e-07,1.33456800778785e-12,0,3.49310243803868e-06
91,1,1.656523999999987e-06,1.92085023380317e-11,0,1.32521919999999e-05
91,2,0,0,0,0
92,0,0,0,0,0
92,1,0.0007396356558509415,3.740902146206489e-06,0,0.005856823454807532
92,2,0,0,0,0
93,0,5.313607587730668e-06,1.976409791747225e-10,0,4.250886070184535e-05
93,1,0.0006427791996415004,1.929916117110442e-06,-1.385859199999964e-05,0.004229078247619271
93,2,-4.757629951659344e-06,1.584452992984827e-10,-3.806103961327475e-05,0
94,0,0.00109492703000605,9.112866024664655e-06,-0.0003176402475342624,0.009077056487582665
94,1,0.0001623142249250949,1.752024585989158e-07,0,0.001269677783400759
94,2,0,0,0,0
95,0,-0.0001377501581363038,1.265171645060489e-07,-0.001075388278771237,4.637637264805111e-05
95,1,1.064593299999998e-05,1.482536189832305e-10,0,3.204164800000003e-05
95,2,1.893311795619785e-06,2.509240688803109e-11,0,1.514649436495828e-05
96,0,0.0009466669520680784,7.311396890966655e-06,-0.0002660594319372599,0.008096634600610216
96,1,5.20059900000001e-06,2.971894146325524e-11,0,1.504051200000005e-05
96,2,0,0,0,0
97,0,-1.945217559921832e-05,2.648709948799771e-09,-0.0001556174047937465,0
97,1,0.0001334557816440308,1.183707072490261e-07,0,0.001043487213152246
97,2,0.0001729844619607926,2.094653685590544e-07,0,0.001383875695686341
98,0,0.0009392059336101071,6.416242948110167e-06,-0.0001264324203476473,0.007640079889228504
98,1,0.002822206452152966,1.417516424850995e-05,0,0.008862458290399266
98,2,0.0004955304992560245,1.718853329850474e-06,0,0.003964243994048196
99,0,0.0001996707002201399,2.790787196848068e-07,0,0.00159736560176112
99,1,1.027898499999997e-05,1.77731508365878e-10,0,3.021171999999994e-05
99,2,0.0009978739006975702,6.97026625185369e-06,0,0.007982991205580561
100,0,-3.130243755507494e-06,1.560802608303793e-09,-8.277869361501084e-05,7.384464541104822e-05
100,1,2.724472000000011e-06,5.195923375148841e-11,0,2.179577600000008e-05
100,2,0.003113296487492614,1.30576532094005e-05,0,0.008993113508891558
101,0,0.0003347822600083972,7.587289197133846e-07,0,0.002639115862835104
101,1,2.231599999999998e-06,3.486026991999994e-11,0,1.785279999999999e-05
101,2,0,0,0,0
102,0,0.0008440828243435956,2.146567069655191e-06,0,0.003567534086052866
102,1,0.0006674814935062228,1.710372225638705e-06,0,0.003895778611961512
102,2,0,0,0,0
103,0,1.911243076641216e-05,2.556995068606287e-09,0,0.0001528994461312973
103,1,3.855540000000026e-06,1.040563208412014e-10,0,3.084432000000021e-05
103,2,0,0,0,0
104,0,-3.323293174885148e-05,3.931295674699058e-09,-0.0001826514380495782,0
104,1,0.0008029987558737974,4.473053618495969e-06,0,0.006398612422990379
104,2,0.0008952172694767002,5.609897716985235e-06,0,0.007161738155813602
105,0,-6.507718096871612e-06,2.96452763798452e-10,-5.20617447749729e-05,0
105,1,0.000793581944398811,4.081242149045412e-06,0,0.006136124398414843
105,2,0,0,0,0
106,0,0.0008020265892583748,4.502726549141953e-06,0,0.006416212714066998
106,1,0,0,0,0
106,2,4.730298583553516e-07,1.566300728269788e-12,0,3.784238866842812e-06
107,0,0.0002463483016198091,3.999291671367637e-07,0,0.001918917089417151
107,1,0,0,0,0
107,2,-1.305581026707645e-07,1.193179272109291e-13,-1.044464821366116e-06,0
108,0,0,0,0,0
108,1,0,0,0,0
108,2,2.958952843106183e-08,6.128781349408314e-15,0,2.367162274484946e-07
109,0,0.001630152052466755,1.860176999913101e-05,0,0.01304121641973404
109,1,0.0008024966473707381,4.508006083288922e-06,0,0.006419973178965904
109,2,1.121386108158763e-07,8.8025476250002e-14,0,8.971088865270102e-07
110,0,1.030516171373187e-05,7.433745056231567e-10,0,8.244129370985499e-05
110,1,0.001195493815652151,7.793414843928433e-06,0,0.008526730770857876
110,2,0.0003957122675036957,1.096117390570415e-06,0,0.003165698140029566
111,0,0.002999509443184809,2.787963556504098e-05,0,0.01388320605782833
111,1,0.00242644038814342,9.760404043439624e-06,0,0.009132136278985367
111,2,0.004759578264165458,1.455921442792462e-05,0,0.009249320820676366
112,0,0.0001613279015152075,1.821868426511035e-07,0,0.00129062321212166
112,1,0.002441216470869859,4.374058643604294e-06,0,0.005593369498633311
112,2,0.0009322918342520623,3.89465389685771e-06,0,0.005998219742060619
113,0,0.001132964659476917,8.985262437365533e-06,0,0.00906371727581534
113,1,0.0005361471859545305,8.138915696714171e-07,0,0.002611120402231958
113,2,4.182175680511448e-06,1.153908802453081e-10,0,3.259873240602151e-05
114,0,0,0,0,0
114,1,3.322778858003008e-05,7.72860153743424e-09,0,0.0002658223086402406
114,2,0.0004478432788283037,7.054647450016393e-07,0,0.002500916669283811
115,0,0,0,0,0
115,1,0,0,0,0
115,2,4.80247112436123e-07,1.61446102302264e-12,0,3.841976899488984e-06
116,0,0.002482023012334788,4.312306763631619e-05,0,0.0198561840986783
116,1,0.0002927057613133996,5.997366389423981e-07,0,0.002341646090507197
116,2,3.529056963402501e-07,8.717970135657775e-13,0,2.823245570722001e-06
117,0,0,0,0,0
117,1,0,0,0,0
117,2,0.001883180261580453,8.773175945078521e-06,0,0.009110150230992018
118,0,1.837585230338246e-05,2.363703635130086e-09,0,0.0001470068184270597
118,1,0.0011468108359392,4.622547004985077e-06,0,0.006245578339976075
118,2,0,0,0,0
119,0,-8.704225788745343e-06,5.303448260702163e-10,-6.963380630996274e-05,0
119,1,0.001287001808335641,9.598493065748334e-06,0,0.009453418860219793
119,2,0,0,0,0
120,0,0,0,0,0
120,1,1.097764e-06,8.435600597872006e-12,0,8.782112000000003e-06
120,2,0.0001651532194749482,1.90842166411425e-07,-8.361242043291033e-08,0.00132096248667291
