gen,GA mean,GA var,DE mean,DE var,GDE mean,GDE var,CCHIHH_base mean,CCHIHH_base var,CCHIHH_stable mean,CCHIHH_stable var
1400,1562.426,4088.900963999996,1614.838,1374.7702360000017,1213.159,2043.9362289999979,1155.8120000000001,2175.6338359999963,1071.142,675.9778959999996
1450,1559.952,4049.466535999999,1614.838,1374.7702360000017,1208.863,2119.384581000003,1152.976,2272.5306439999977,1066.9450000000002,492.81748499999975
1500,1559.1870000000001,4014.1085809999945,1614.838,1374.7702360000017,1203.807,2490.185061000001,1151.8719999999998,2296.075875999999,1064.313,512.8353609999994
1550,1558.487,4044.6177609999986,1614.838,1374.7702360000017,1201.615,2599.688305000003,1150.001,2387.573749,1063.266,499.9494640000009
1600,1558.021,4046.485328999998,1614.838,1374.7702360000017,1197.2930000000001,2449.1547209999985,1139.874,1378.6870839999997,1061.284,447.3134840000001
1650,1552.616,4709.811604,1614.821,1374.5208290000014,1195.105,2412.5913450000025,1135.556,1462.262103999999,1059.517,428.10870100000056
1700,1548.931,4889.933168999998,1612.408,1511.4802960000006,1191.2459999999999,2343.1494640000014,1133.99,1507.3763999999994,1057.801,423.0215889999994
1750,1546.8290000000002,4576.6858290000055,1612.408,1511.4802960000006,1188.5520000000001,2228.0576360000045,1132.465,1574.661125000001,1056.474,393.2859040000004
1800,1543.667,4888.553341000001,1612.408,1511.4802960000006,1184.413,2141.0976009999986,1129.924,1650.6210840000022,1054.843,367.59606100000116
1850,1540.33,4639.516879999997,1612.408,1511.4802960000006,1182.0639999999999,2152.825423999998,1127.248,1777.5211160000003,1052.8120000000001,338.6839759999997
1900,1538.721,4821.469669000001,1610.4540000000002,1368.490484000001,1179.492,1973.4396159999983,1122.916,1835.9838839999982,1051.185,336.08584499999967
1950,1537.209,4743.794688999997,1610.4540000000002,1368.490484000001,1178.049,1976.219249000002,1120.917,1859.4123009999992,1050.133,355.4496009999997
2000,1536.738,4765.553715999994,1610.4540000000002,1368.490484000001,1176.98,1951.8268999999977,1119.377,1936.7735010000004,1049.748,358.1498760000017
2050,1535.158,4658.9539360000035,1609.836,1357.5580640000012,1174.091,1765.0316889999958,1118.549,1907.3137090000014,1047.965,321.44502499999857
2100,1532.777,4512.931940999997,1609.836,1357.5580640000012,1171.584,1690.9031639999998,1116.521,1912.0944490000008,1046.858,323.12209599999954
2150,1531.09,4463.899879999996,1609.836,1357.5580640000012,1169.824,1728.9793040000004,1113.42,1993.4474999999998,1046.284,327.32614400000045
2200,1529.3600000000001,4359.3297399999965,1609.836,1357.5580640000012,1168.449,1733.7102689999992,1111.191,1966.5800890000003,1045.769,326.6811289999995
2250,1528.508,4400.856255999999,1609.74,1369.9359200000017,1166.284,1786.104203999998,1109.97,2016.964100000001,1045.26,330.72383999999977
2300,1527.7350000000001,4427.432685000002,1609.74,1369.9359200000017,1164.986,1691.2856639999984,1109.067,1986.049360999999,1044.781,332.7961289999998
2350,1527.176,4441.904224000001,1609.74,1369.9359200000017,1162.896,1634.3396240000006,1108.191,1997.3648290000015,1044.152,333.91713599999935
2400,1526.523,4461.700481000001,1609.74,1369.9359200000017,1160.362,1570.610316,1107.234,1986.8505440000044,1043.6399999999999,329.7311799999991
2450,1525.026,4521.582924000004,1596.725,3226.684024999999,1156.965,1456.980285000002,1105.05,1826.3575600000029,1043.3200000000002,334.51097999999973
