gen,bandit_adaptive mean,bandit_adaptive var,random_ops mean,random_ops var,fixed_ops mean,fixed_ops var
8050,0.02648871,7.919398428999997e-07,0.0259198,7.578373479999997e-07,0.026588129999999998,2.7605386810000006e-07
8100,0.026477030000000002,7.831478061000017e-07,0.02590599,7.671984509e-07,0.02657151,2.769954148999996e-07
8150,0.026465289999999995,7.690674628999997e-07,0.02588602,7.821473376000004e-07,0.026553330000000003,2.7245074210000026e-07
8200,0.026450400000000002,7.565814980000006e-07,0.025868659999999998,7.828179144e-07,0.02653592,2.747648835999999e-07
8250,0.026438,7.558359699999999e-07,0.02585923,7.838875680999993e-07,0.02651924,2.725582363999994e-07
8300,0.02642763,7.575164341000003e-07,0.02584247,7.909789461000007e-07,0.026506679999999998,2.7299246360000066e-07
8350,0.02641515,7.669259324999995e-07,0.025832169999999998,7.944103020999995e-07,0.026491670000000002,2.725792161000007e-07
8400,0.02641105,7.681168184999997e-07,0.02581747,7.970722001000005e-07,0.026473760000000002,2.743231043999995e-07
8450,0.02639407,7.53771488099999e-07,0.025804890000000004,8.001914928999994e-07,0.02645239,2.697473449000003e-07
8500,0.026382830000000003,7.54884078099999e-07,0.025795610000000004,7.979491388999999e-07,0.02643643,2.7454484809999984e-07
8550,0.02637373,7.539300320999995e-07,0.02577969,7.973214649000009e-07,0.026424579999999996,2.7472826960000055e-07
8600,0.02636085,7.559911564999996e-07,0.025764409999999998,8.026415909e-07,0.02641036,2.761308024000002e-07
8650,0.026353130000000002,7.564685640999994e-07,0.02575228,8.006029375999998e-07,0.02639611,2.805885969000001e-07
8700,0.02634363,7.520391040999996e-07,0.025741530000000002,7.983138301000001e-07,0.026384200000000003,2.798727859999995e-07
8750,0.026327109999999997,7.494256649e-07,0.025731949999999996,7.943584404999987e-07,0.026371689999999996,2.7923956090000003e-07
8800,0.0263129,7.445346079999998e-07,0.025721309999999997,7.945587748999999e-07,0.026357580000000002,2.843570796000001e-07
8850,0.026299319999999998,7.473523755999991e-07,0.02571209,7.930019688999998e-07,0.026349519999999998,2.8593033360000046e-07
8900,0.02628682,7.517666555999998e-07,0.02569926,7.987905144000006e-07,0.02633415,2.8681558849999974e-07
8950,0.02627212,7.579281536000002e-07,0.02569206,7.993259783999999e-07,0.02632118,2.8904661560000025e-07
9000,0.0262536,7.691633819999997e-07,0.025683279999999996,8.006036395999998e-07,0.02630877,2.9110005810000034e-07
9050,0.02624182,7.731134695999989e-07,0.025673309999999998,8.041212489000004e-07,0.02629729,2.9064526690000036e-07
9100,0.02623361,7.69974790899999e-07,0.02566312,8.108388535999996e-07,0.026286330000000004,2.919383401000002e-07
9150,0.02622452,7.638893915999998e-07,0.02565324,8.114403063999999e-07,0.02627351,2.9375351290000054e-07
9200,0.02621941,7.677206128999997e-07,0.025639100000000005,8.015227739999992e-07,0.026262920000000002,2.9440725159999953e-07
9250,0.02621055,7.667572404999995e-07,0.02562268,8.127192015999995e-07,0.02625035,2.952080544999999e-07
9300,0.026200650000000002,7.638868604999994e-07,0.02560747,8.053226081000003e-07,0.02624286,2.9550703240000004e-07
9350,0.026192860000000002,7.642677043999991e-07,0.02559656,8.108224003999991e-07,0.026228750000000002,2.967115745000005e-07
9400,0.02618279,7.629582908999993e-07,0.025588680000000003,8.09541491600001e-07,0.0262195,2.9683303399999967e-07
9450,0.02616963,7.641251740999999e-07,0.025579170000000002,8.104232021000001e-07,0.026204739999999997,2.970564284000002e-07
9500,0.026160689999999997,7.649511089e-07,0.025570890000000002,8.043374489000002e-07,0.02619241,2.975470149000008e-07
9550,0.02615075,7.744280824999988e-07,0.025562170000000002,8.046154841000002e-07,0.02617954,2.9971722439999996e-07
9600,0.02613853,7.801698980999992e-07,0.025552580000000002,8.062514976000006e-07,0.02616984,3.00952454400001e-07
9650,0.02613083,7.796325220999995e-07,0.02554402,8.039327456000004e-07,0.02615771,2.9636246690000045e-07
9700,0.026122069999999997,7.783516340999994e-07,0.025535209999999996,8.023511349000003e-07,0.02614764,2.9608563439999976e-07
9750,0.02610633,7.744223920999995e-07,0.02552657,8.061999801e-07,0.02613376,2.986444603999999e-07
9800,0.02609076,7.806057483999983e-07,0.02551698,8.074190816000002e-07,0.026124599999999998,2.973867199999999e-07
9850,0.02607868,7.831631616000001e-07,0.02551073,8.105614661000002e-07,0.026114160000000004,2.978381144000002e-07
9900,0.026070080000000002,7.850767115999999e-07,0.025501829999999996,8.154442281000003e-07,0.026101970000000002,2.9737930609999934e-07
9950,0.02605575,7.916883324999996e-07,0.0254925,8.187705059999994e-07,0.026090419999999996,2.9785819559999993e-07
10000,0.02604341,7.890809649000004e-07,0.02548192,8.262495775999998e-07,0.02607976,2.9913287640000015e-07
